Herbivore_species;Site;Season;Body_weight;CN;CP;NP;feces_ID;unit;component_name;component_mean
EB;K;S;500;18.70215209;106.5644762;5.697979336;25;mg/g;P;4.000852834
EB;K;S;500;18.95901825;152.8323666;8.061196239;26;mg/g;C;449.1790158
EB;K;S;500;18.95901825;152.8323666;8.061196239;26;mg/g;N;23.69210315
EB;K;S;500;18.95901825;152.8323666;8.061196239;26;mg/g;P;2.93903069
EB;K;S;500;21.39441113;107.1536198;5.008486523;27;mg/g;C;301.909322
EB;K;S;500;21.39441113;107.1536198;5.008486523;27;mg/g;N;14.11159766
EB;K;S;500;21.39441113;107.1536198;5.008486523;27;mg/g;P;2.817537312
EB;K;S;500;17.2383782;131.1594797;7.608574207;28;mg/g;C;459.6610118
EB;K;S;500;17.2383782;131.1594797;7.608574207;28;mg/g;N;26.66498011
EB;K;S;500;17.2383782;131.1594797;7.608574207;28;mg/g;P;3.504596181
EB;K;S;500;30.52943718;105.2950637;3.448968385;29;mg/g;C;433.2706776
EB;K;S;500;30.52943718;105.2950637;3.448968385;29;mg/g;N;14.19189863
EB;K;S;500;30.52943718;105.2950637;3.448968385;29;mg/g;P;4.114824214
EB;K;W;500;40.9421058;189.7765511;4.635241577;30;mg/g;C;435.0287508
EB;K;W;500;40.9421058;189.7765511;4.635241577;30;mg/g;N;10.62546106
EB;K;W;500;40.9421058;189.7765511;4.635241577;30;mg/g;P;2.292320881
EB;K;W;500;42.35813418;270.0044677;6.374323915;31;mg/g;C;457.8229878
EB;K;W;500;42.35813418;270.0044677;6.374323915;31;mg/g;N;10.80838419
EB;K;W;500;42.35813418;270.0044677;6.374323915;31;mg/g;P;1.695612638
EB;K;W;500;36.38221819;252.8064007;6.948625272;32;mg/g;C;491.6305482
EB;K;W;500;36.38221819;252.8064007;6.948625272;32;mg/g;N;13.51293496
EB;K;W;500;36.38221819;252.8064007;6.948625272;32;mg/g;P;1.944691854
EB;K;W;500;39.02601293;118.0529624;3.02498138;33;mg/g;C;396.3075344
EB;K;W;500;39.02601293;118.0529624;3.02498138;33;mg/g;N;10.15495831
EB;K;W;500;39.02601293;118.0529624;3.02498138;33;mg/g;P;3.357031676
EB;K;W;500;42.09826338;234.1148287;5.561151693;34;mg/g;C;434.4161548
EB;K;W;500;42.09826338;234.1148287;5.561151693;34;mg/g;N;10.31909917
EB;K;W;500;42.09826338;234.1148287;5.561151693;34;mg/g;P;1.855568728
EB;K;W;500;37.72931162;281.7142136;7.46672021;35;mg/g;C;457.2075274
EB;K;W;500;37.72931162;281.7142136;7.46672021;35;mg/g;N;12.11809884
EB;K;W;500;37.72931162;281.7142136;7.46672021;35;mg/g;P;1.622948028
EH;O;S;167;14.63835484;66.59029453;4.549028581;36;mg/g;C;366.4738762
EH;O;S;167;14.63835484;66.59029453;4.549028581;36;mg/g;N;25.03518191
EH;O;S;167;14.63835484;66.59029453;4.549028581;36;mg/g;P;5.503412754
EH;O;S;167;12.93429089;36.47744774;2.820212415;37;mg/g;C;326.4468556
EH;O;S;167;12.93429089;36.47744774;2.820212415;37;mg/g;N;25.23886763
EH;O;S;167;12.93429089;36.47744774;2.820212415;37;mg/g;P;8.949278959
EH;O;S;167;14.65414091;73.19603488;4.994904533;38;mg/g;C;365.844778
EH;O;S;167;14.65414091;73.19603488;4.994904533;38;mg/g;N;24.9652832
EH;O;S;167;14.65414091;73.19603488;4.994904533;38;mg/g;P;4.998150222
EH;O;S;167;13.61442988;384.6836979;28.25558625;39;mg/g;C;389.8284884
EH;O;S;167;13.61442988;384.6836979;28.25558625;39;mg/g;N;28.63347873
EH;O;S;167;13.61442988;384.6836979;28.25558625;39;mg/g;P;1.01337408
EH;O;S;167;12.12230037;51.22404134;4.225604034;40;mg/g;C;307.044676
EH;O;S;167;12.12230037;51.22404134;4.225604034;40;mg/g;N;25.32891173
EH;O;S;167;12.12230037;51.22404134;4.225604034;40;mg/g;P;5.99415173
EH;O;W;167;20.96631376;123.7889311;5.904181943;41;mg/g;C;359.667021
EH;O;W;167;20.96631376;123.7889311;5.904181943;41;mg/g;N;17.15451868
EH;O;W;167;20.96631376;123.7889311;5.904181943;41;mg/g;P;2.905486119
EH;O;W;167;20.07631822;141.1436146;7.03035353;42;mg/g;C;300.539517
EH;O;W;167;20.07631822;141.1436146;7.03035353;42;mg/g;N;14.96985223
EH;O;W;167;20.07631822;141.1436146;7.03035353;42;mg/g;P;2.129317134
EH;O;W;167;23.86439026;210.8317587;8.834575549;43;mg/g;C;437.439095
EH;O;W;167;23.86439026;210.8317587;8.834575549;43;mg/g;N;18.33020204
EH;O;W;167;23.86439026;210.8317587;8.834575549;43;mg/g;P;2.074825433
EH;O;W;167;24.12114191;184.164139;7.634967686;44;mg/g;C;442.6086398
EH;O;W;167;24.12114191;184.164139;7.634967686;44;mg/g;N;18.34940657
EH;O;W;167;24.12114191;184.164139;7.634967686;44;mg/g;P;2.403337817
EH;O;W;167;22.12273505;115.9832966;5.242719599;45;mg/g;C;323.9853815
EH;O;W;167;22.12273505;115.9832966;5.242719599;45;mg/g;N;14.64490628
EH;O;W;167;22.12273505;115.9832966;5.242719599;45;mg/g;P;2.793379658
EH;O;W;167;16.23251278;76.47051133;4.710947244;46;mg/g;C;279.2067826
EH;O;W;167;16.23251278;76.47051133;4.710947244;46;mg/g;N;17.2004659
EH;O;W;167;16.23251278;76.47051133;4.710947244;46;mg/g;P;3.65116929
EH;O;W;167;17.12830624;32.19684347;1.879744735;47;mg/g;C;147.6182184
EH;O;W;167;17.12830624;32.19684347;1.879744735;47;mg/g;N;8.618378043
EH;O;W;167;17.12830624;32.19684347;1.879744735;47;mg/g;P;4.58486617
EH;O;W;167;15.98517788;117.1245601;7.327072679;48;mg/g;C;299.4904069
EH;O;W;167;15.98517788;117.1245601;7.327072679;48;mg/g;N;18.73550668
EH;O;W;167;15.98517788;117.1245601;7.327072679;48;mg/g;P;2.557024818
EH;O;W;167;16.14186841;64.36604806;3.987521546;49;mg/g;C;274.3166642
EH;O;W;167;16.14186841;64.36604806;3.987521546;49;mg/g;N;16.99410857
EH;O;W;167;16.14186841;64.36604806;3.987521546;49;mg/g;P;4.261822381
EH;O;W;167;16.61416287;62.6407758;3.770323928;50;mg/g;C;287.5518356
EH;O;W;167;16.61416287;62.6407758;3.770323928;50;mg/g;N;17.30763312
EH;O;W;167;16.61416287;62.6407758;3.770323928;50;mg/g;P;4.590489691
EZ;ZW;S;117;24.79411397;39.53520829;1.594540073;51;mg/g;C;532.6596502
EZ;ZW;S;117;24.79411397;39.53520829;1.594540073;51;mg/g;N;21.48331055
EZ;ZW;S;117;24.79411397;39.53520829;1.594540073;51;mg/g;P;13.47304525
EZ;ZW;S;117;24.28681123;200.8649235;8.27053505;52;mg/g;C;530.4872225
EZ;ZW;S;117;24.28681123;200.8649235;8.27053505;52;mg/g;N;21.84260492
EZ;ZW;S;117;24.28681123;200.8649235;8.27053505;52;mg/g;P;2.641014734
EZ;ZW;S;117;22.87011883;60.00713598;2.623822658;53;mg/g;C;524.6510208
EZ;ZW;S;117;22.87011883;60.00713598;2.623822658;53;mg/g;N;22.94045889
EZ;ZW;S;117;22.87011883;60.00713598;2.623822658;53;mg/g;P;8.743143832
EZ;ZW;S;117;21.89877031;83.20785238;3.799658666;54;mg/g;C;515.3057216
EZ;ZW;S;117;21.89877031;83.20785238;3.799658666;54;mg/g;N;23.53126291
EZ;ZW;S;117;21.89877031;83.20785238;3.799658666;54;mg/g;P;6.192993892
EZ;ZW;S;117;23.26339304;62.32717432;2.679195344;55;mg/g;C;499.7450019
EZ;ZW;S;117;23.26339304;62.32717432;2.679195344;55;mg/g;N;21.48203407
EZ;ZW;S;117;23.26339304;62.32717432;2.679195344;55;mg/g;P;8.018091746
EZ;ZW;W;117;17.20167678;53.24430812;3.095297558;56;mg/g;C;393.8016829
EZ;ZW;W;117;17.20167678;53.24430812;3.095297558;56;mg/g;N;22.89321489
EZ;ZW;W;117;17.20167678;53.24430812;3.095297558;56;mg/g;P;7.396127339
EZ;ZW;W;117;18.52058835;106.8482622;5.769161337;57;mg/g;C;411.0090518
EZ;ZW;W;117;18.52058835;106.8482622;5.769161337;57;mg/g;N;22.19200838
EZ;ZW;W;117;18.52058835;106.8482622;5.769161337;57;mg/g;P;3.846661081
EZ;ZW;W;117;16.17064644;28.81543328;1.781959267;58;mg/g;C;445.7979328
EZ;ZW;W;117;16.17064644;28.81543328;1.781959267;58;mg/g;N;27.56834332
EZ;ZW;W;117;16.17064644;28.81543328;1.781959267;58;mg/g;P;15.47080443
EZ;ZW;W;117;14.61049739;34.01963284;2.328437693;59;mg/g;C;339.093317
EZ;ZW;W;117;14.61049739;34.01963284;2.328437693;59;mg/g;N;23.20888249
EZ;ZW;W;117;14.61049739;34.01963284;2.328437693;59;mg/g;P;9.967577211
EZ;ZW;W;117;14.32550189;34.63352606;2.417613451;60;mg/g;C;424.1495992
EZ;ZW;W;117;14.32550189;34.63352606;2.417613451;60;mg/g;N;29.60800972
EZ;ZW;W;117;14.32550189;34.63352606;2.417613451;60;mg/g;P;12.24679227
G;K;S;5;18.41876406;343.1106461;18.62832082;61;mg/g;C;452.6503445
G;K;S;5;18.41876406;343.1106461;18.62832082;61;mg/g;N;24.57550045
G;K;S;5;18.41876406;343.1106461;18.62832082;61;mg/g;P;1.319254735
G;K;S;5;25.51239841;142.5032997;5.585648882;62;mg/g;C;261.6218671
G;K;S;5;25.51239841;142.5032997;5.585648882;62;mg/g;N;10.25469511
G;K;S;5;25.51239841;142.5032997;5.585648882;62;mg/g;P;1.835900416
G;K;S;5;20.92756938;202.7387145;9.687637914;63;mg/g;C;352.6086635
G;K;S;5;20.92756938;202.7387145;9.687637914;63;mg/g;N;16.84900225
G;K;S;5;20.92756938;202.7387145;9.687637914;63;mg/g;P;1.739227085
G;K;S;5;19.89543412;120.0289221;6.032988342;64;mg/g;C;342.7286413
G;K;S;5;19.89543412;120.0289221;6.032988342;64;mg/g;N;17.22649726
G;K;S;5;19.89543412;120.0289221;6.032988342;64;mg/g;P;2.855383813
G;K;S;5;24.49261556;194.1617792;7.927359931;65;mg/g;C;383.8773319
G;K;S;5;24.49261556;194.1617792;7.927359931;65;mg/g;N;15.67318651
G;K;S;5;24.49261556;194.1617792;7.927359931;65;mg/g;P;1.977100403
HA;ZW;W;4;18.39671059;87.47738128;4.755055577;66;mg/g;C;487.0471229
HA;ZW;W;4;18.39671059;87.47738128;4.755055577;66;mg/g;N;26.47468527
HA;ZW;W;4;18.39671059;87.47738128;4.755055577;66;mg/g;P;5.567692079
HA;ZW;W;4;23.5086797;301.911544;12.84255636;67;mg/g;C;489.319448
HA;ZW;W;4;23.5086797;301.911544;12.84255636;67;mg/g;N;20.81441639
HA;ZW;W;4;23.5086797;301.911544;12.84255636;67;mg/g;P;1.620737788
HA;ZW;W;4;17.02490947;72.2212992;4.242095932;68;mg/g;C;478.3771501
HA;ZW;W;4;17.02490947;72.2212992;4.242095932;68;mg/g;N;28.09866043
HA;ZW;W;4;17.02490947;72.2212992;4.242095932;68;mg/g;P;6.62376827
HA;ZW;W;4;25.03221443;378.0770992;15.10362178;69;mg/g;C;495.3639145
HA;ZW;W;4;25.03221443;378.0770992;15.10362178;69;mg/g;N;19.78905685
HA;ZW;W;4;25.03221443;378.0770992;15.10362178;69;mg/g;P;1.310219306
HA;ZW;W;4;29.88427074;393.7264092;13.17503822;70;mg/g;C;509.2931923
HA;ZW;W;4;29.88427074;393.7264092;13.17503822;70;mg/g;N;17.04218238
HA;ZW;W;4;29.88427074;393.7264092;13.17503822;70;mg/g;P;1.293520527
HR;O;S;900;14.14133775;262.9850161;18.59689803;71;mg/g;C;251.6905602
HR;O;S;900;14.14133775;262.9850161;18.59689803;71;mg/g;N;17.79821433
HR;O;S;900;14.14133775;262.9850161;18.59689803;71;mg/g;P;0.957052854
HR;O;S;900;12.9872565;69.63902728;5.362104558;72;mg/g;C;268.9479492
HR;O;S;900;12.9872565;69.63902728;5.362104558;72;mg/g;N;20.70860379
HR;O;S;900;12.9872565;69.63902728;5.362104558;72;mg/g;P;3.862029091
HR;O;S;900;13.987372;48.99370165;3.502709562;73;mg/g;C;262.7307501
HR;O;S;900;13.987372;48.99370165;3.502709562;73;mg/g;N;18.7834248
HR;O;S;900;13.987372;48.99370165;3.502709562;73;mg/g;P;5.362541332
HR;O;S;900;15.15075153;45.76484521;3.020632021;74;mg/g;C;239.4757078
HR;O;S;900;15.15075153;45.76484521;3.020632021;74;mg/g;N;15.80619333
HR;O;S;900;15.15075153;45.76484521;3.020632021;74;mg/g;P;5.232743751
HR;O;S;900;17.59512898;76.8286238;4.366471192;75;mg/g;C;237.136507
HR;O;S;900;17.59512898;76.8286238;4.366471192;75;mg/g;N;13.47739521
HR;O;S;900;17.59512898;76.8286238;4.366471192;75;mg/g;P;3.086564555
HR;O;W;900;30.02599312;1164.315663;38.77692432;76;mg/g;C;382.8656045
HR;O;W;900;30.02599312;1164.315663;38.77692432;76;mg/g;N;12.75113875
HR;O;W;900;30.02599312;1164.315663;38.77692432;76;mg/g;P;0.328833165
HR;O;W;900;21.74703551;164.7396525;7.575269394;77;mg/g;C;322.021643
HR;O;W;900;21.74703551;164.7396525;7.575269394;77;mg/g;N;14.80761103
HR;O;W;900;21.74703551;164.7396525;7.575269394;77;mg/g;P;1.954730619
HR;O;W;900;27.58957898;100.0194777;3.625262922;78;mg/g;C;347.618533
HR;O;W;900;27.58957898;100.0194777;3.625262922;78;mg/g;N;12.59963167
HR;O;W;900;27.58957898;100.0194777;3.625262922;78;mg/g;P;3.47550838
HR;O;W;900;26.19591054;216.6286036;8.269558078;79;mg/g;C;346.7438813
HR;O;W;900;26.19591054;216.6286036;8.269558078;79;mg/g;N;13.23656533
HR;O;W;900;26.19591054;216.6286036;8.269558078;79;mg/g;P;1.600637568
HR;O;W;900;38.52600991;250.9662149;6.514202106;80;mg/g;C;401.5499796
HR;O;W;900;38.52600991;250.9662149;6.514202106;80;mg/g;N;10.42282812
HR;O;W;900;38.52600991;250.9662149;6.514202106;80;mg/g;P;1.600016081
KO;K;S;2;19.6047754;193.8327867;9.887018991;81;mg/g;C;405.5811465
KO;K;S;2;19.6047754;193.8327867;9.887018991;81;mg/g;N;20.68787518
KO;K;S;2;19.6047754;193.8327867;9.887018991;81;mg/g;P;2.092427981
KO;K;S;2;21.91612193;121.9129609;5.562706819;82;mg/g;C;484.3112374
KO;K;S;2;21.91612193;121.9129609;5.562706819;82;mg/g;N;22.09840039
KO;K;S;2;21.91612193;121.9129609;5.562706819;82;mg/g;P;3.972598433
KO;K;S;2;21.22840966;298.1840574;14.04646236;83;mg/g;C;452.6524833
KO;K;S;2;21.22840966;298.1840574;14.04646236;83;mg/g;N;21.3229578
KO;K;S;2;21.22840966;298.1840574;14.04646236;83;mg/g;P;1.518030465
KO;K;S;2;12.99106772;113.3081587;8.722005087;84;mg/g;C;364.2584042
KO;K;S;2;12.99106772;113.3081587;8.722005087;84;mg/g;N;28.0391429
KO;K;S;2;12.99106772;113.3081587;8.722005087;84;mg/g;P;3.214758834
KO;K;S;2;17.02520965;194.7494777;11.43888867;85;mg/g;C;368.8454208
KO;K;S;2;17.02520965;194.7494777;11.43888867;85;mg/g;N;21.66466249
KO;K;S;2;17.02520965;194.7494777;11.43888867;85;mg/g;P;1.89394819
KO;K;W;2;26.95709271;326.8707237;12.1255926;86;mg/g;C;440.921329
KO;K;W;2;26.95709271;326.8707237;12.1255926;86;mg/g;N;16.35641253
KO;K;W;2;26.95709271;326.8707237;12.1255926;86;mg/g;P;1.34891655
KO;K;W;2;23.45759123;588.4935826;25.08755382;87;mg/g;C;435.5863814
KO;K;W;2;23.45759123;588.4935826;25.08755382;87;mg/g;N;18.56910103
KO;K;W;2;23.45759123;588.4935826;25.08755382;87;mg/g;P;0.740171846
KO;K;W;2;28.57428052;448.504719;15.69609841;88;mg/g;C;446.0397281
KO;K;W;2;28.57428052;448.504719;15.69609841;88;mg/g;N;15.60983234
KO;K;W;2;28.57428052;448.504719;15.69609841;88;mg/g;P;0.99450398
KO;K;W;2;27.34355382;544.8361043;19.92557763;89;mg/g;C;448.0860633
KO;K;W;2;27.34355382;544.8361043;19.92557763;89;mg/g;N;16.38726503
KO;K;W;2;27.34355382;544.8361043;19.92557763;89;mg/g;P;0.822423587
KO;K;W;2;24.70841798;281.3707377;11.38764683;90;mg/g;C;453.512698
KO;K;W;2;24.70841798;281.3707377;11.38764683;90;mg/g;N;18.35458257
KO;K;W;2;24.70841798;281.3707377;11.38764683;90;mg/g;P;1.611797665
KO;K;W;2;28.88069586;689.7144528;23.88150397;91;mg/g;C;477.8254604
KO;K;W;2;28.88069586;689.7144528;23.88150397;91;mg/g;N;16.54480428
KO;K;W;2;28.88069586;689.7144528;23.88150397;91;mg/g;P;0.692787368
KO;K;W;2;27.77612157;708.4000284;25.50392165;92;mg/g;C;491.8517633
KO;K;W;2;27.77612157;708.4000284;25.50392165;92;mg/g;N;17.70771927
KO;K;W;2;27.77612157;708.4000284;25.50392165;92;mg/g;P;0.694313585
KO;K;W;2;26.7581853;346.9570375;12.96638892;93;mg/g;C;403.4433807
KO;K;W;2;26.7581853;346.9570375;12.96638892;93;mg/g;N;15.07738197
KO;K;W;2;26.7581853;346.9570375;12.96638892;93;mg/g;P;1.162805008
KO;K;W;2;26.15756342;294.1434157;11.24506174;94;mg/g;C;390.8042708
KO;K;W;2;26.15756342;294.1434157;11.24506174;94;mg/g;N;14.94039275
KO;K;W;2;26.15756342;294.1434157;11.24506174;94;mg/g;P;1.328618116
KO;K;W;2;23.35169769;387.0474935;16.5747047;95;mg/g;C;393.12023
KO;K;W;2;23.35169769;387.0474935;16.5747047;95;mg/g;N;16.83476016
KO;K;W;2;23.35169769;387.0474935;16.5747047;95;mg/g;P;1.0156899
KP;K;S;250;25.30499379;158.6268102;6.26859708;96;mg/g;C;476.0011701
KP;K;S;250;25.30499379;158.6268102;6.26859708;96;mg/g;N;18.81056261
KP;K;S;250;25.30499379;158.6268102;6.26859708;96;mg/g;P;3.000761155
KP;K;S;250;25.82684503;151.1598346;5.852818432;97;mg/g;C;471.0382068
KP;K;S;250;25.82684503;151.1598346;5.852818432;97;mg/g;N;18.23831778
KP;K;S;250;25.82684503;151.1598346;5.852818432;97;mg/g;P;3.116159845
KP;K;S;250;25.96514483;145.0572422;5.586614021;98;mg/g;C;469.1599569
KP;K;S;250;25.96514483;145.0572422;5.586614021;98;mg/g;N;18.06883651
KP;K;S;250;25.96514483;145.0572422;5.586614021;98;mg/g;P;3.23430909
KP;K;S;250;23.52168221;159.4985543;6.780916128;99;mg/g;C;469.1396617
KP;K;S;250;23.52168221;159.4985543;6.780916128;99;mg/g;N;19.94498767
KP;K;S;250;23.52168221;159.4985543;6.780916128;99;mg/g;P;2.941341154
KP;K;S;250;26.17464046;132.4967188;5.062026314;100;mg/g;C;447.4884082
KP;K;S;250;26.17464046;132.4967188;5.062026314;100;mg/g;N;17.09625807
KP;K;S;250;26.17464046;132.4967188;5.062026314;100;mg/g;P;3.377354642
KP;K;S;250;26.48873411;137.0602924;5.174286239;101;mg/g;C;427.5103704
KP;K;S;250;26.48873411;137.0602924;5.174286239;101;mg/g;N;16.13932809
KP;K;S;250;26.48873411;137.0602924;5.174286239;101;mg/g;P;3.119140948
KP;K;S;250;32.20319383;184.0023377;5.713791579;102;mg/g;C;447.6460553
KP;K;S;250;32.20319383;184.0023377;5.713791579;102;mg/g;N;13.90067264
KP;K;S;250;32.20319383;184.0023377;5.713791579;102;mg/g;P;2.432828087
KP;K;S;250;25.71722237;126.9919759;4.938012902;103;mg/g;C;390.5020552
KP;K;S;250;25.71722237;126.9919759;4.938012902;103;mg/g;N;15.18445692
KP;K;S;250;25.71722237;126.9919759;4.938012902;103;mg/g;P;3.075013618
KP;K;S;250;24.09512097;166.2359233;6.89915288;104;mg/g;C;485.8559362
KP;K;S;250;24.09512097;166.2359233;6.89915288;104;mg/g;N;20.16407956
KP;K;S;250;24.09512097;166.2359233;6.89915288;104;mg/g;P;2.922689192
KP;K;W;250;46.61000461;448.3927769;9.620097243;105;mg/g;C;481.4264731
KP;K;W;250;46.61000461;448.3927769;9.620097243;105;mg/g;N;10.32882269
KP;K;W;250;46.61000461;448.3927769;9.620097243;105;mg/g;P;1.073671339
KP;K;W;250;41.71535346;286.4490752;6.86675412;106;mg/g;C;464.0197258
KP;K;W;250;41.71535346;286.4490752;6.86675412;106;mg/g;N;11.12347583
KP;K;W;250;41.71535346;286.4490752;6.86675412;106;mg/g;P;1.619903033
KP;K;W;250;48.85289916;409.798287;8.388412848;107;mg/g;C;454.3376515
KP;K;W;250;48.85289916;409.798287;8.388412848;107;mg/g;N;9.300116457
KP;K;W;250;48.85289916;409.798287;8.388412848;107;mg/g;P;1.108686068
KP;K;W;250;41.64663627;323.7423138;7.773552506;108;mg/g;C;476.711602
KP;K;W;250;41.64663627;323.7423138;7.773552506;108;mg/g;N;11.44658116
KP;K;W;250;41.64663627;323.7423138;7.773552506;108;mg/g;P;1.472503228
KP;K;W;250;42.35007123;409.2950286;9.664565293;109;mg/g;C;486.9690299
KP;K;W;250;42.35007123;409.2950286;9.664565293;109;mg/g;N;11.49865905
KP;K;W;250;42.35007123;409.2950286;9.664565293;109;mg/g;P;1.189775091
KP;O;S;250;15.20234135;69.42861209;4.566968369;110;mg/g;C;220.9982831
