"user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"agraulis_vanillae","Agraulis_vanillae","Catalogue of Life",0.988,"Agraulis vanillae"
"ailuroedus_crassirostris","Ailuroedus_crassirostris","Catalogue of Life",0.988,"Ailuroedus crassirostris"
"ailuropoda_melanoleuca","Ailuropoda_melanoleuca","Catalogue of Life",0.988,"Ailuropoda melanoleuca"
"ailurops_ursinus","Ailurops_ursinus","Catalogue of Life",0.988,"Ailurops ursinus"
"ailurus_fulgens","Ailurus_fulgens","Catalogue of Life",0.988,"Ailurus fulgens"
"aimophila_aestivalis","Aimophila_aestivalis","Catalogue of Life",0.988,"Aimophila aestivalis"
"aimophila_ruficeps","Aimophila_ruficeps","Catalogue of Life",0.988,"Aimophila ruficeps"
"aiptasia_pallida","Aiptasia_pallida","ITIS",0.988,"Aiptasia pallida"
"aix_galericulata","Aix_galericulata","Catalogue of Life",0.988,"Aix galericulata"
"aix_sponsa","Aix_sponsa","Catalogue of Life",0.988,"Aix sponsa"
"ajaia_ajaja","Ajaia_ajaja","Catalogue of Life",0.988,"Ajaia ajaja"
"akodon_azarae","Akodon_azarae","Catalogue of Life",0.988,"Akodon azarae"
"akodon_cursor","Akodon_cursor","Catalogue of Life",0.988,"Akodon cursor"
"akodon_montensis","Akodon_montensis","Catalogue of Life",0.988,"Akodon montensis"
"akodon_philipmyersi","Akodon_philipmyersi","NCBI",0.988,"Akodon philipmyersi"
"alaria_americana","Alaria_americana","NCBI",0.988,"Alaria americana"
"alasmidonta_heterodon","Alasmidonta_heterodon","Catalogue of Life",0.988,"Alasmidonta heterodon"
"alasmidonta_marginata","Alasmidonta_marginata","Catalogue of Life",0.988,"Alasmidonta marginata"
"alasmidonta_viridis","Alasmidonta_viridis","Catalogue of Life",0.988,"Alasmidonta viridis"
"alauda_arvensis","Alauda_arvensis","Catalogue of Life",0.988,"Alauda arvensis"
"alaus_oculatus","Alaus_oculatus","ITIS",0.988,"Alaus oculatus"
"albula_vulpes","Albula_vulpes","Catalogue of Life",0.988,"Albula vulpes"
"alca_torda","Alca_torda","Catalogue of Life",0.988,"Alca torda"
"alcedo_atthis","Alcedo_atthis","Catalogue of Life",0.988,"Alcedo atthis"
"alcelaphus_buselaphus","Alcelaphus_buselaphus","Catalogue of Life",0.988,"Alcelaphus buselaphus"
"alces_alces","Alces_alces","Catalogue of Life",0.988,"Alces alces"
"alces_americanus","Alces_americanus","Catalogue of Life",0.988,"Alces americanus"
"alectoris_chukar","Alectoris_chukar","Catalogue of Life",0.988,"Alectoris chukar"
"alepisaurus_ferox","Alepisaurus_ferox","Catalogue of Life",0.988,"Alepisaurus ferox"
