"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Calloplesiops altivelis","YES","YES",NA,"","","","","","","","","","","","","","","","","YES","","","","","","","","","","YES","",NA,"",NA,"","","","","","","","","","","","","","","","","","","No special status","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callorhinchus milii","YES","",NA,"","YES","","","","","","","","","","","","","","","","","","","","","","YES","","YES","YES","",NA,"",NA,"","","","","","","","","","","","","","","","","","","Least Concern","","YES","YES","",3.5,NA,NA,NA,NA,NA,NA,NA
"Callorhinus ursinus","YES","YES",NA,"","YES","","","","","","","","","","","","","","","YES","","","","","","","YES","","","","",NA,"YES",NA,"","","","","","","","","","","","","","","","","","","Vulnerable","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus adamsi","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus baluensis","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus caniceps","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus erythraeus","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.272,NA,NA,NA,NA,NA,NA,NA
"Callosciurus finlaysonii","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","YES","YES","","","","","YES",NA,"","","","","","","","","Least Concern","YES","","","YES",0.278,NA,NA,NA,NA,NA,NA,NA
"Callosciurus melanogaster","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus nigrovittatus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus notatus","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","YES","YES","YES","","","YES","YES",NA,"","","","","","","","","Least Concern","YES","","","YES",0.2095,NA,NA,NA,NA,NA,NA,NA
"Callosciurus orestes","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Callosciurus prevostii","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","","YES","YES","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","",0.5,NA,NA,NA,NA,NA,NA,NA
"Calocitta formosa","","","","","","","","","","","YES","","","","","YES","","YES","YES","","","",NA,"","YES","YES","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.209,NA,NA,NA,NA,NA,NA,NA
"Calomys boliviae","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys callidus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys callosus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys expulsus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys hummelincki","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys laucha","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys lepidus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys musculinus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys sorellus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys tener","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomys venustus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calomyscus bailwardi","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","YES","","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.0204,NA,NA,NA,NA,NA,NA,NA
"Calomyscus mystax","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Caloprymnus campestris","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Extinct","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Calopteryx dimidiata","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Calosoma sycophanta","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Calothorax lucifer","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Caluromys derbianus","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","","","",NA,"","YES","","","","","","","","","","YES","","","","YES","YES","","YES","",NA,"","","","","","","","","Least Concern","YES","","","",0.3075,NA,NA,NA,NA,NA,NA,NA
"Caluromys lanatus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Caluromys philander","","","","","","","","","","","YES","","","","","","YES","","","","","",NA,"","YES","","","","","","","","","","","","","","YES","YES","","","YES",NA,"","","","","","","","","Least Concern","YES","","","",0.25,NA,NA,NA,NA,NA,NA,NA
"Caluromysiops irrupta","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","YES","YES","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.445,NA,NA,NA,NA,NA,NA,NA
"Calvia quatuordecimguttata","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Calypte anna","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","YES","YES","","YES",NA,"","","","","","","","","Least Concern","YES","","YES","",0.0043,NA,NA,NA,NA,NA,NA,NA
"Calypte costae","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.003,NA,NA,NA,NA,NA,NA,NA
"Calyptogena magnifica","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","YES","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Calyptophractus retusus","","","","","","","","","","","YES","","","","","","","","","","YES","",NA,"","YES","YES","YES","YES","","","","","","","","YES","","YES","YES","","","","",NA,"","","","","","","","","Data Deficient","YES","","YES","",1,NA,NA,NA,NA,NA,NA,NA
"Cambarus bartonii","","","","","","","","","","","YES","","","","","","","YES","","","YES","",NA,"","YES","","YES","","YES","YES","","","","","","","","","","","","","",NA,"","YES","","","","YES","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Cambarus diogenes","YES","","","YES","","","","","","","YES","","","YES","","","","","","","","",NA,"","YES","","YES","","YES","","","","","","YES","","","","","","","","",NA,"","","","","","YES","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Camelus bactrianus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","YES","YES","","","","",NA,"","","","","","","","","No special status","YES","","","",475,NA,NA,NA,NA,NA,NA,NA
"Camelus dromedarius","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","",NA,"","","","","","","","","No special status","YES","","YES","",495,NA,NA,NA,NA,NA,NA,NA
"Campeloma decisum","","","","","","","","","","","","","","YES","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","YES","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Campephilus principalis","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Critically Endangered","YES","","","YES",0.51,NA,NA,NA,NA,NA,NA,NA
"Camponotus pennsylvanicus","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","YES","YES","","","","","","","","","","","","","YES","YES","","","",NA,"","","","","YES","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Campostoma anomalum","","","","","","","YES","","","YES","","","","","","","","","","","","",NA,"","YES","","","","","YES","","","","","","","","","","","","","",NA,"","YES","","","","","","","Data Deficient","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Campylopterus hemileucurus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","YES","YES","","","","","","","","","","","","","","YES","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.0105,NA,NA,NA,NA,NA,NA,NA
"Campylorhynchus brunneicapillus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Canachites canadensis","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","YES","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cancer antennarius","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cancer irroratus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Data Deficient","","YES","","",0.1085,NA,NA,NA,NA,NA,NA,NA
"Cancer magister","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"YES","","","YES","","","YES","","","","YES","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Canis adustus","","","","","","","","","","","YES","","","","","YES","YES","","","","","",NA,"YES","YES","","","","","","","","","","","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",9.5,NA,NA,NA,NA,NA,NA,NA
"Canis aureus","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","YES","YES","",NA,"YES","YES","","","","","","","","","","","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","",9,NA,NA,NA,NA,NA,NA,NA
"Canis latrans","","","","","","","","","","","YES","","","","","YES","YES","","YES","","","",NA,"YES","YES","YES","","YES","","","","","","","YES","","","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",14,NA,NA,NA,NA,NA,NA,NA
"Canis lupus","YES","","","","","","","","","","","","","","","","YES","","","","","",NA,"YES","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",51.5,NA,NA,NA,NA,NA,NA,NA
"Canis lupus dingo","YES","","","","","","","","","","","","","","","YES","YES","","YES","","","",NA,"YES","","","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Vulnerable","YES","","","",14.5,NA,NA,NA,NA,NA,NA,NA
"Canis lupus familiaris","","","","","","","","","","","YES","","","","","YES","YES","YES","YES","YES","YES","",NA,"YES","YES","YES","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",35.5,NA,NA,NA,NA,NA,NA,NA
"Canis mesomelas","","","","","","","","","","","YES","","","","","YES","YES","","YES","","","",NA,"YES","YES","YES","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",7.5,NA,NA,NA,NA,NA,NA,NA
"Canis rufus","YES","","","","","","","","","","","","","","","YES","YES","","","","","",NA,"YES","","","","","","","","","","","","","","","YES","","","","",NA,"","","","","","","","","Critically Endangered","YES","","","YES",23.5,NA,NA,NA,NA,NA,NA,NA
"Canis simensis","YES","","","","","","","","","","","","","","","YES","YES","","","","YES","",NA,"YES","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Endangered","YES","","","YES",15.25,NA,NA,NA,NA,NA,NA,NA
"Cannomys badius","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",2.25,NA,NA,NA,NA,NA,NA,NA
"Caperea marginata","YES","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Data Deficient","YES","","","",4500,NA,NA,NA,NA,NA,NA,NA
"Capra caucasica","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Endangered","YES","","","YES",82.5,NA,NA,NA,NA,NA,NA,NA
"Capra caucasica cylindricornis","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","","","","","","",NA,"","","","","","","","","Vulnerable","YES","","","YES",98,NA,NA,NA,NA,NA,NA,NA
"Capra falconeri","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","YES","","","","","","",NA,"","","","","","","","","Endangered","YES","","","YES",71,NA,NA,NA,NA,NA,NA,NA
"Capra hircus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","",NA,"","","","","","","","","No special status","YES","","","YES",45,NA,NA,NA,NA,NA,NA,NA
"Capra ibex","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","YES","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",82.5,NA,NA,NA,NA,NA,NA,NA
"Capra nubiana","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","YES","YES","","","","YES","",NA,"","","","","","","","","Vulnerable","YES","","","YES",47.5,NA,NA,NA,NA,NA,NA,NA
"Capra pyrenaica","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","YES","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",57.5,NA,NA,NA,NA,NA,NA,NA
"Capra sibirica","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","YES","","YES","","","YES","",NA,"YES","","","","","","","","Least Concern","YES","","","YES",65,NA,NA,NA,NA,NA,NA,NA
"Capra walie","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","",NA,"YES","","","","","","","","Endangered","YES","","","",102.5,NA,NA,NA,NA,NA,NA,NA
"Capreolus capreolus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",26,NA,NA,NA,NA,NA,NA,NA
"Capreolus pygargus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis crispus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","YES","YES","YES","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","YES",37,NA,NA,NA,NA,NA,NA,NA
"Capricornis rubidus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Capricornis sumatraensis","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","",NA,"","","","","","","","","Vulnerable","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA
"Caprimulgus carolinensis","YES","","","YES","","","","","","","","","","","","YES","","YES","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.11,NA,NA,NA,NA,NA,NA,NA
"Caprimulgus europaeus","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","YES","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.071,NA,NA,NA,NA,NA,NA,NA
"Caprimulgus vociferus","YES","","","YES","","","","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.0534,NA,NA,NA,NA,NA,NA,NA
"Caprolagus hispidus","","","","","","","YES","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","YES","YES","","","","","","",NA,"","","","","","","","","Endangered","YES","","","",2.5,NA,NA,NA,NA,NA,NA,NA
"Capromys pilorides","","","","","","","","","","","YES","","","","","","","","YES","","","",NA,"","YES","","","","","","","","","","YES","","YES","","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","",7,NA,NA,NA,NA,NA,NA,NA
"Caracal caracal","YES","","","","","","","","","","","","","","","YES","YES","","YES","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",13.5,NA,NA,NA,NA,NA,NA,NA
"Caracara cheriway","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","No special status","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carapus bermudensis","YES","","","","","","","","","","","","","","","","","","","YES","","",NA,"YES","","","YES","","YES","YES","","","YES","YES","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carassius auratus","YES","","","","","","YES","","","","YES","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","","","",3,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus albimarginatus","YES","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","","YES","","",162.2,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus amblyrhynchos","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","","YES","YES","",18.535,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus falciformis","YES","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","YES","","YES","",262,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus leucas","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Near Threatened","","YES","YES","",160,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus limbatus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Vulnerable","","YES","YES","",65,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus longimanus","YES","YES","","","YES","","","","","","","","","YES","","","","","","YES","","",NA,"","","","YES","","","","","","YES","","","","","","","","","","",NA,"","","","","","","","","Vulnerable","","","","",170,NA,NA,NA,NA,NA,NA,NA
"Carcharhinus plumbeus","YES","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Vulnerable","","YES","YES","",67.5,NA,NA,NA,NA,NA,NA,NA
"Carcharias taurus","YES","YES","","","","","","","","","","","","","","","","","","YES","","",NA,"","","","YES","","","YES","","","","","","","","","","","","","",NA,"","","","","","","","","Critically Endangered","","YES","YES","",102.5,NA,NA,NA,NA,NA,NA,NA
"Carcharodon carcharias","YES","YES","","","YES","","","","","","","","","","","YES","YES","","YES","YES","","",NA,"","","","YES","","","","","","YES","","","","","","","","","","",NA,"","","","","","","","","Vulnerable","YES","","","",3000,NA,NA,NA,NA,NA,NA,NA
"Carcinus maenas","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cardinalis cardinalis","","","","","","","YES","","","","","","","","","","","","","","","",NA,"YES","YES","","","","","","","","","","","","","YES","YES","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.045,NA,NA,NA,NA,NA,NA,NA
"Cardinalis sinuatus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.032,NA,NA,NA,NA,NA,NA,NA
"Cardiocranius paradoxus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","YES","","","YES","","","","YES","",NA,"","","","","","","","","Data Deficient","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Cardioderma cor","YES","","","YES","","","","","","","","","","","","","YES","YES","","","","",NA,"","YES","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.028,NA,NA,NA,NA,NA,NA,NA
"Cardisoma guanhumi","","","","","","","","","","","YES","","","","","","","","","","","",NA,"YES","YES","YES","","","","","","","","","YES","","","","YES","","","","",NA,"","","","","","YES","YES","","Not Evaluated","","YES","YES","",0.4,NA,NA,NA,NA,NA,NA,NA
"Carduelis tristis","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","YES","","","","","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.0155,NA,NA,NA,NA,NA,NA,NA
"Caretta caretta","","","","","","","","","","","YES","","","","","","","","","YES","YES","",NA,"","YES","","YES","","YES","YES","YES","YES","YES","","YES","","","","","","","","",NA,"","YES","YES","","","","","","Endangered","","YES","YES","",135,NA,NA,NA,NA,NA,NA,NA
"Carettochelys insculpta","YES","","","YES","YES","","YES","YES","","","YES","","","","","","","","","","","",NA,"","YES","","YES","","","YES","","","","","YES","","","","YES","","","YES","",NA,"","","","","","","","","Vulnerable","","YES","","",22.5,NA,NA,NA,NA,NA,NA,NA
"Carollia brevicauda","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carollia castanea","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carollia perspicillata","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","Least Concern","YES","","","",0.015,NA,NA,NA,NA,NA,NA,NA
"Carollia subrufa","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carpiodes carpio","","","","","","","","","","","YES","","","YES","","","","","","","","",NA,"","YES","","","","","YES","","","","YES","","","","","","","","","",NA,"","YES","","YES","","YES","","YES","No special status","","YES","YES","",0.9073,NA,NA,NA,NA,NA,NA,NA
"Carpiodes cyprinus","","","","","","","","","","","YES","","","","","","","","","","","",NA,"","YES","","YES","","","YES","","","","","YES","","","","","","","","",NA,"","YES","","","","","","","No special status","","YES","YES","",6.18,NA,NA,NA,NA,NA,NA,NA
"Carpitalpa arendsi","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carpodacus mexicanus","","","","","","","YES","YES","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","YES","YES","","","YES","",NA,"","","","","","","","","Least Concern","YES","","","",0.0205,NA,NA,NA,NA,NA,NA,NA
"Carpodacus purpureus","","","","","","","YES","","","","","","","","","","","","","","","",NA,"","YES","","","","","","","","","","","","","YES","YES","YES","","YES","",NA,"","","","","","","","","Least Concern","YES","","","YES",0.025,NA,NA,NA,NA,NA,NA,NA
"Carpomys melanurus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carpomys phaeurus","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carterodon sulcidens","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Carukia barnesi","YES","YES","","YES","","YES","","","","","","","","","","","","","","YES","","",NA,"","","","","","","","","","YES","","","","","","","","","","",NA,"","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
