"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Acerodon humilis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acerodon jubatus","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","YES","","","","YES","","","","",NA,"","",NA,"","","","","","Endangered","YES","","","YES",1.125,NA,NA,NA,NA,NA,NA,NA
"Acerodon leucotis","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acerodon lucifer","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Acerodon mackloti","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Achatina fulica","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","YES","","","","","","","","YES","","YES","YES","YES","","","YES","",NA,"YES","YES",NA,"","YES","YES","","","Not Evaluated","","YES","YES","",0.032,NA,NA,NA,NA,NA,NA,NA
"Achatinella mustelina","","",NA,"","","","","","","","","","YES","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","YES","","","","Critically Endangered","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Acinonyx jubatus","YES","",NA,"","","","","","","","","","","",NA,"YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Vulnerable","YES","","","",46.5,NA,NA,NA,NA,NA,NA,NA
"Acipenser fulvescens","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Least Concern","","YES","YES","",90,NA,NA,NA,NA,NA,NA,NA
"Acipenser transmontanus","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","Critically Endangered","","YES","YES","",630,NA,NA,NA,NA,NA,NA,NA
