"species","omnivore","mycophage","detritivore","coprophage","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","bodymass_kg","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_eggs","diet_scav","diet_plant","diet_seed","diet_fruit","diet_nect","diet_detritus","diet_dung","diet_microbes"
"dasyprocta_fuliginosa",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,2.65,0,0,1,1,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dasyprocta_leporina",NA,NA,NA,NA,"",NA,NA,NA,NA,3.265,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dasyprocta_mexicana",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,3.5,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dasyprocta_punctata",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,2.5,0,0,1,1,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dasyprocta_ruatanica",NA,NA,NA,NA,"Endangered",1,NA,NA,1,2.3,0,0,1,1,0,0,0,NA,0,NA,0,0,1,1,1,NA,NA,NA
"dasypus_hybridus",NA,NA,NA,NA,"Near Threatened",1,NA,NA,NA,5.5,1,1,0,NA,1,1,1,NA,0,NA,1,1,NA,1,0,NA,NA,NA
"dasypus_novemcinctus",1,1,NA,NA,"Least Concern",1,NA,NA,1,5.5,1,1,0,NA,1,1,1,NA,0,1,1,1,1,1,0,NA,NA,NA
"dasypus_septemcinctus",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.47,1,1,0,NA,1,1,1,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dasyuroides_byrnei",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,0.105,1,1,0,NA,1,1,1,NA,0,1,1,0,NA,NA,0,NA,NA,NA
"dasyurus_geoffroii",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,1.1,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dasyurus_hallucatus",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,0.6,1,1,0,NA,1,1,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dasyurus_maculatus",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,2.65,1,1,0,NA,1,1,1,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dasyurus_viverrinus",NA,NA,NA,NA,"Near Threatened",1,NA,NA,NA,1.075,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"daubentonia_madagascariensis",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,2.5925,1,1,1,1,1,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"deinagkistrodon_acutus",NA,NA,NA,NA,"Not Evaluated",NA,NA,1,NA,NA,1,0,0,NA,0,1,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"deirochelys_reticularia",1,NA,NA,NA,"No special status",NA,1,1,NA,NA,0,0,0,NA,1,0,1,1,0,NA,0,1,NA,NA,0,NA,NA,NA
"delphinapterus_leucas",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,1425,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"delphinus_delphis",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,118,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"deltamys_kempi",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"demodex_folliculorum",NA,NA,NA,NA,"No special status",NA,NA,NA,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dendragapus_obscurus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,1.14,0,0,1,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dendraster_excentricus",1,NA,1,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,NA
"dendroaspis_polylepis",NA,NA,NA,NA,"Least Concern",NA,NA,1,NA,NA,1,0,0,NA,0,1,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrobates_auratus",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrobates_leucomelas",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,0.003,1,1,0,NA,1,0,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrobates_tinctorius",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,0.003,1,1,0,NA,1,0,0,NA,0,1,0,0,NA,NA,0,NA,NA,NA
"dendrocopos_leucotos",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.1085,1,1,0,NA,1,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"dendroctonus_ponderosae",NA,1,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dendrogale_murina",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.045,0,0,0,NA,1,1,1,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"dendrohyrax_arboreus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,2.27,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dendrohyrax_dorsalis",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,3,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_caerulescens",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0095,1,1,0,NA,1,0,0,NA,0,NA,1,0,NA,1,1,NA,NA,NA
"dendroica_cerulea",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_chrysoparia",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_coronata",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0115,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_fusca",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0105,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_kirtlandii",NA,NA,NA,NA,"Near Threatened",1,NA,NA,NA,0.0155,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_magnolia",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.008,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"dendroica_palmarum",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0101,0,0,0,NA,1,0,0,NA,0,NA,0,0,1,1,1,NA,NA,NA
"dendroica_pensylvanica",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.009,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendroica_petechia",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.016,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"dendroica_pinus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0119,1,1,0,NA,1,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"dendroica_virens",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0085,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,1,1,NA,NA,NA
"dendrolagus_bennettianus",NA,NA,NA,NA,"Near Threatened",1,NA,NA,NA,10.5,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrolagus_goodfellowi",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,7.4,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrolagus_inustus",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,11.5,0,0,0,NA,0,0,0,NA,0,NA,0,1,NA,1,0,NA,NA,NA
"dendrolagus_lumholtzi",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,NA
"dendrolagus_matschiei",NA,NA,NA,NA,"Endangered",1,NA,NA,1,9.5,0,0,1,NA,1,1,0,NA,0,1,0,1,1,1,0,NA,NA,NA
"dendrolagus_scottae",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,10,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dendromus_melanotis",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0125,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendromus_mystacalis",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.012,0,0,0,NA,1,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"dendronotus_frondosus",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dendrortyx_barbatus",1,NA,NA,NA,"Vulnerable",1,NA,NA,NA,0.43,0,0,0,NA,1,0,0,NA,0,NA,0,0,1,1,0,NA,NA,NA
"dermacentor_andersoni",NA,NA,NA,NA,"Data Deficient
          
          
            No special status",1,NA,NA,NA,0.0004,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dermacentor_variabilis",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dermatemys_mawii",NA,NA,NA,NA,"Critically Endangered",NA,1,NA,NA,20,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dermatobia_hominis",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dermatolepis_dermatolepis",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,12.5,1,0,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"dermochelys_coriacea",NA,NA,NA,NA,"Critically Endangered",NA,1,1,NA,575,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"desmana_moschata",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"desmodus_rotundus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0325,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"desmognathus_fuscus",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"desmognathus_ochrophaeus",NA,NA,NA,NA,"Least Concern",NA,1,NA,NA,0.0006,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"desmognathus_wrighti",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diadema_antillarum",1,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"diadema_savignyi",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,0.12,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,NA
"diadophis_punctatus",NA,NA,NA,NA,"Least Concern",NA,NA,1,NA,NA,1,0,0,NA,1,0,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diaemus_youngi",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.04,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"diapheromera_femorata",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,1,NA,NA,NA
"dicamptodon_ensatus",NA,NA,NA,NA,"Near Threatened",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dicamptodon_tenebrosus",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,0.068,1,0,0,NA,1,1,1,1,0,1,0,0,NA,NA,0,NA,NA,NA
"dicentrarchus_labrax",NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,9.5,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dicerorhinus_sumatrensis",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,1400,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"diceros_bicornis",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,1100,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"diclidurus_albus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.02,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dicopomorpha_echmepterygis",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,1,0,0,NA,0,0,0,NA,0,1,0,0,NA,NA,0,NA,NA,NA
"dicrocoelium_dendriticum",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dicrostonyx_groenlandicus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.071,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dicrurus_paradiseus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.1,1,1,1,NA,1,0,0,NA,0,NA,0,0,NA,NA,1,NA,NA,NA
"didelphis_albiventris",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.625,1,1,0,NA,1,1,1,NA,0,NA,0,1,1,1,0,NA,NA,NA
"didelphis_aurita",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.29,0,0,0,NA,1,1,1,1,0,NA,0,0,NA,1,0,NA,NA,NA
"didelphis_imperfecta",NA,NA,NA,NA,"Lower Risk - Least Concern",1,NA,NA,NA,NA,1,1,0,NA,1,1,1,NA,0,NA,0,1,1,1,0,NA,NA,NA
"didelphis_marsupialis",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,1.53,0,0,0,NA,1,1,1,NA,0,NA,1,1,NA,1,1,NA,NA,NA
"didelphis_pernigra",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,NA,0,0,0,NA,1,1,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"didelphis_virginiana",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,3.95,0,0,0,NA,1,1,1,NA,0,NA,1,1,1,1,0,NA,NA,NA
"dinomys_branickii",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,12.5,0,0,1,1,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dioctophyma_renale",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"diodon_holocanthus",NA,NA,NA,NA,"Not Evaluated",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diodon_hystrix",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,2.8,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diodora_aspera",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diomedea_epomophora",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,9,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"diomedea_exulans",NA,NA,NA,NA,"Vulnerable",1,NA,NA,1,8.13,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"diopatra_cuprea",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diphylla_ecaudata",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.035,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diphyllobothrium_latum",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"diphyllobothrium_mansonoides",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"diphyllodes_magnificus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.159,0,0,1,1,1,0,0,NA,0,NA,0,0,NA,1,1,NA,NA,NA
"diploria_labyrinthiformis",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,1
"dipodomys_californicus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,NA,0,0,1,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dipodomys_compactus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.052,0,0,1,NA,1,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"dipodomys_deserti",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.1155,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"dipodomys_elator",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,0.0807,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,NA,NA
"dipodomys_heermanni",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.075,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_ingens",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_merriami",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.045,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_microps",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.055,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,NA,0,NA,1,NA
"dipodomys_nitratoides",NA,NA,NA,NA,"Vulnerable",1,NA,NA,NA,0.042,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_ordii",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0755,0,0,1,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"dipodomys_spectabilis",NA,NA,NA,NA,"Near Threatened",1,NA,NA,NA,0.145,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_stephensi",NA,NA,NA,NA,"Endangered",1,NA,NA,NA,0.065,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipodomys_venustus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0825,0,0,1,NA,0,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"dipsochelys_dussumieri",NA,NA,NA,NA,"Vulnerable",NA,1,1,NA,205,0,0,1,1,1,0,0,NA,0,NA,1,1,1,1,1,NA,NA,NA
"dipsosaurus_dorsalis",NA,NA,NA,1,"Least Concern",NA,NA,NA,NA,0.0695,0,0,1,NA,1,0,0,NA,0,NA,0,1,NA,1,1,NA,1,NA
"dipturus_laevis",NA,NA,NA,NA,"Endangered",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dipylidium_caninum",NA,NA,NA,NA,"Not Evaluated",NA,NA,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dirofilaria_immitis",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dispholidus_typus",NA,NA,NA,NA,"No special status",NA,NA,1,NA,NA,1,0,0,NA,0,1,1,NA,0,1,0,0,NA,NA,0,NA,NA,NA
"distoechurus_pennatus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.0515,1,1,1,NA,1,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"diuraphis_noxia",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dolichonyx_oryzivorus",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.043,1,1,1,NA,1,0,0,NA,0,NA,0,0,1,NA,0,NA,NA,NA
"dolichotis_patagonum",NA,NA,NA,1,"Near Threatened",1,NA,NA,1,8.12,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,1,1,NA,1,NA
"dolichotis_salinicola",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,2.05,0,0,1,NA,0,0,0,NA,0,NA,0,1,1,1,1,NA,NA,NA
"dolichovespula_arenaria",NA,NA,NA,NA,"No special status",NA,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dologale_dybowskii",NA,NA,NA,NA,"Data Deficient",1,NA,NA,NA,0.35,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dolomedes_triton",NA,NA,NA,NA,"No special status",NA,1,NA,NA,0.001,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"donax_variabilis",NA,NA,1,NA,"Not Evaluated",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"dorcopsis_atrata",NA,NA,NA,NA,"Critically Endangered",1,NA,NA,1,2.05,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dorcopsis_luctuosa",NA,NA,NA,NA,"Vulnerable",1,NA,NA,1,7.6,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,1,1,NA,NA,NA
"dorcopsulus_macleayi",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,4,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dorosoma_cepedianum",NA,NA,NA,NA,"No special status",NA,NA,NA,NA,1.089,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dosidicus_gigas",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,50,1,1,0,NA,1,0,0,1,0,NA,0,0,NA,NA,0,NA,NA,NA
"draco_volans",NA,NA,NA,NA,"Not Evaluated",NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dracunculus_insignis",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
"dreissena_bugensis",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,0,1,0,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dreissena_polymorpha",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,0,1,0,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,1
"dromaius_novaehollandiae",1,NA,NA,1,"Least Concern",1,NA,NA,NA,38,1,1,1,1,1,1,1,NA,0,NA,0,1,1,1,0,NA,1,NA
"dromiciops_gliroides",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.029,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"drosophila_melanogaster",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,0,0,1,1,0,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"drymarchon_couperi",NA,NA,NA,NA,"Least Concern",NA,NA,1,NA,0.024,1,0,0,NA,0,1,1,1,0,1,0,0,NA,NA,0,NA,NA,NA
"dryocampa_rubicunda",NA,NA,NA,NA,"Not Evaluated",NA,1,NA,1,NA,0,0,1,NA,0,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"dryocopus_pileatus",NA,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.364,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dryomys_nitedula",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.026,0,0,0,NA,1,1,0,NA,0,1,0,1,1,1,0,NA,NA,NA
"dugesia_tigrina",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,1,1,0,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"dugong_dugon",NA,NA,NA,NA,"Vulnerable",1,NA,NA,1,315,0,0,1,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,NA,NA,NA
"duliticola_hoiseni",NA,1,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,1
"dumetella_carolinensis",1,NA,NA,NA,"Least Concern",1,NA,NA,NA,0.0395,0,0,0,NA,1,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"dusicyon_australis",NA,NA,NA,NA,"Extinct",1,NA,NA,1,NA,1,0,0,NA,1,1,1,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"duttaphrynus_melanostictus",NA,NA,NA,NA,"Least Concern",NA,1,1,NA,NA,1,1,0,NA,1,0,1,NA,0,1,0,0,NA,NA,0,NA,NA,NA
"dyacopterus_spadiceus",NA,NA,NA,NA,"Near Threatened",1,NA,NA,1,0.09,0,0,1,1,0,0,0,NA,0,NA,0,0,NA,1,0,NA,NA,NA
"dynastes_hercules",NA,NA,NA,NA,"Not Evaluated",NA,1,1,NA,NA,0,0,1,1,0,0,0,NA,0,NA,0,1,NA,1,0,NA,NA,NA
"dytiscus_marginalis",NA,NA,NA,NA,"No special status",NA,1,NA,NA,0.03,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"echeneis_naucrates",NA,NA,NA,NA,"No special status",NA,NA,NA,NA,0.002,0,0,0,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA
"echimys_semivillosus",NA,NA,NA,NA,"Least Concern",1,NA,NA,1,0.3,0,0,1,1,0,0,0,NA,0,NA,0,1,1,1,0,NA,NA,NA
"echinarachnius_parma",NA,NA,1,NA,"No special status",NA,1,1,NA,0.0175,0,0,0,NA,1,0,0,NA,0,NA,0,1,NA,NA,0,1,NA,NA
"echinococcus_granulosus",NA,NA,NA,NA,"No special status",NA,1,1,NA,NA,1,0,0,NA,0,0,0,NA,0,NA,1,0,NA,NA,0,NA,NA,NA
