Reference Name,Number of records from each reference
"McCarty, J.P., 1996",20
"Ricklefs, R.E., 2010a",20
"Wright, G.S., 2009",20
"Branco, J.O., Augusto, H., Fracasso, A., 2009",19
"Braun, Pratt, and Mares, 2010",19
"Gaikhorst, G., McLaughlin, J., Larkin, B. and M. McPharlin, 2009",19
"Lariviere, S., 2002",19
"Margalida, A., Arroyo, B.E., Bortolotti, G.R., et al, 2006",19
"Rowland, P., 2008",19
"Spotorno, A.E., Zuleta, C.A., Vallardares, J.P., et al, 2004",19
"Jesus, 2012",18
"Koch, A., Gaulke, M., Bohme, W., 2010",18
"Lariviere, S., Seddon, P.J., 2001",18
"Luiselli, L. and T. Diagne, 2013",18
"Lurz, P.W.W., Gurnell, J., Magris, L., 2005",18
"Male, T.D., Fancy, S.G., Ralph, C.J., 1998",18
"Tanner, W.W., Krogh, J.E., 1973",18
"Ziegler, Rutz, Oberreuter, and Holst, 2010",18
"Auliya, 2010",17
"Barreto, G.R., Garcia-Rangel, S., 2005",17
"Jefferson, T., M. Webber, and R. Pitman, 2008",17
"McCay, T.S., 2001",17
"Paradiso, J.L., Nowak, R.M., 1972",17
"Waengsothorn, Nabhitabhata, and Moonchan, 2007",17
"Barry, R.E., Shoshani, J., 2000",16
"Chruszcz, B., Barclay, R.M.R., 2001",16
"Clarkson, K.E., Laniawe, L.P., 2000",16
"Colwell, M.A., Jehl, Jr., J.R., 1994",16
"Hunt, J.L., Morris, M.E., Best, T.L., 2004",16
"Hwang, Y.T., Lariviere, S., 2001",16
"Meshaka, 2011",16
"Theissinger et al., 2009",16
"Byrd, G.V., Williams, J.C., 1993",15
"Castleberry, S.B., Mengak, M.T., Ford, W.M., 2006",15
"Ceballos, G., Zarza, H., Steele, M.A., 2002",15
"Clark Jr., H.O., Murdoch, J.D., Newman, D.P., et al, 2009",15
"Cole, F. and D. Wilson, 2006",15
"Degenhardt, W.G., Painter, C.W., Price, A.H., 2005",15
"Gaulke, 2010",15
"Goldberg, S.R. and K.R. Beaman, 2012",15
"Johnson, S.R., Campbell, R.W., 1995",15
"Keddy-Hector, D.P., 2000",15
"Lawlor, T.E., 1982",15
"McClung, M.R., Seddon, P.J., Massaro, M., et al, 2004",15
"Padilla, M., Dowler, R.C., Downer, C.C., 2010",15
"Quinn, J.S., Startek-Foote, J.M., 2000",15
"Atanasov, 2012b",14
"B. Kot, 2010",14
"Bloch et al., 2012",14
"Eshelman, B.D., Sonnemann, C.S., 2000",14
"Hart, E.B., 1992",14
"Hayssen, V., 2009a",14
"Lowther, P.E., Stotz, D.F., 1999",14
"Lunney, Hutchings, and Hochuli, 2009",14
"Marinho-Filho, Rodrigues, and Juarez, 2002",14
"Moldovan, 2008",14
"Monakhov, V.G., 2011",14
"Moskoff, W., 2002",14
"Ridley, M., 1978",14
"Santana, E.M., Jantz, H.E., Best, T.L., 2010",14
"Storer, R.W., Nuechterlein, G.L., 1992",14
"Thompson, C.W., Choate, J.R., Genoways, H.H., et al, 2011",14
