Reference Name,Number of records from each reference
"Lanser, 2013",3
"Li and Ng, 2010",3
"MacCulloch et al., 2009",3
"Mancina, C.A., 2005",3
"Margalida, A., Gonzalez, L.M., Sanchez, R., et al, 2007",3
"Marjorie, K.C.T., 1975",3
"Marks, J.S., Leasure, S.M., 1992",3
"Mclennan, J.A., Dew, L., Miles, J., et al, 2004",3
"Morin, M.P., Conant, S., Conant, P., 1997",3
"Navarro, D., Wilson, D.E., 1982",3
"Olifiers, N., Vieira, M.V., and C.E.V. Grelle, 2004",3
"Oliveira, A.T., Cruz, W.R., Pantoja-Lima, J. et al., 2011",3
"Palmer, C., Taylor, R. and Burbidge, A., 2003",3
"Parton, W.S., 2009",3
"Platt, S.G. and J.B. Thorbjarnarson, 2000",3
"Prins, H.H.T. and L.J. Gordon, 2014",3
"Ramesh and Bhupathy, 2010",3
"Remes, V., 2010",3
"Santos, M., Aguirre, L.F., Vazquez, L.B., et al, 2003",3
"Schilliger, L., Betremieux, O., Rocher, J. et al., 2009",3
"Seebeck, J.H. and R.W. Rose, 1998",3
"Shanawany, M.M., Dingle, J., 1999",3
"Shine, R. and J. Covacevich, 1983",3
"Silas, Vijayakumaran, and Rajagopalan, 1984",3
"Sinclair, J.R., 2007",3
"Stuart-Smith, J., Swain, R., Stuart-Smith, R.D., et al, 2007",3
"Teta, P., Pardinas, U.F.J., Udrizar Sauthier, D.E., et al, 2009",3
"Tindle, R.W., Tindle, L.E., Vagenas, D., et al, 2013",3
"Trauth, S.E., Cox Jr., R.L., Meshaka, W.E. et al., 1994",3
"Van Dyck, S. 1982",3
"Vitt, L.J., Ohmart, R.D., 1974",3
"Voigt, 2003",3
"Voss et al., 2013",3
"Watkins, L.C., 1972",3
"Watkins, L.C., 1977",3
"Weimerskirch and Lys, 2000",3
"Willis and Brigham, 2005",3
"Wilson, 2012",3
"Ahrestani et al., 2011",2
"Anderson et al., 1988",2
"Araujo et al., 2010",2
"Aubret, 2013",2
"Barclay, R.M.R., Fullard, J.H., and D.S. Jacobs, 1999",2
"Barlow, M.L., Dowding, J.E., 2002",2
"Barnett, 1999",2
"Barros, T., Jimenez-Oraa, M., Heredia, H.J., and A.E. Seijas, 2010",2
"Bedford, G.S. and K.A. Christian, 2001",2
"Bell and Fenton, 1986",2
"Bonaccorso, Winkelmann, and Byrnes, 2005",2
"Bonnici, 2010",2
"Booth, W., Smith, C.F., Eskridge, P.H., Hoss, S.K. et al., 2012",2
"Branch, 1998",2
Britannica Educational Publishing 2011,2
"Brockmann, T., Hoffmann, M. and E. Ziemssen, 2013",2
"Brown, 2002",2
"Burt, W.H., 1980",2
"Bustard, 1971",2
"Caceres, 2005",2
"Caceres, N.C., Napoli, R.P., Wellington, H.L. et al. 2007",2
"Casale, P., Mazaris, A. and D. Freggi, 2011",2
"Castelblanco-Martinez, N., 2010",2
"Chen, I., Watson, A., and L-S. Chou, 2011",2
"Cink, C.L., 2002",2
"Clairmont, 2013",2
"Clark, J.L., 2009",2
"Cogswell, H.L., 1977",2
"Colket, E., Wilson, D.E., 1998",2
"Corlett, 2010",2
"Corlett, R.T., 2011",2
"Costello, R. and A. Rosenberger, 2013",2
"Cramer, M.J., Willig, M.R., Jones, C., 2001",2
"Crick, H.Q.P., Robinson, R.A., Appleton, G.F., et al, 2002",2
"Crome, F.H.J., Brown, H.E., 1979",2
"Cryan, P.M. and B.O. Wolf, 2003",2
"Curry, R.L., Peterson, A.T., Langen, T.A., 2002",2
"Daniels, C.B., 2011",2
"de Villa-Meza, A., Avila-Flores, R., Cuaron, A.D., et al, 2011",2
"Dearborn, D.C., MacDade, L.S., Robinson, S., et al., 2009",2
"Debey, L.B. and N.D. Pyenson, 2013",2
"DeGregorio, B.A., Nordberg, E.J., Stepanoff, K.E. et al., 2010",2
"Dodd, 2002",2
"Drummond, B.A., Leonard, M.L., 2009",2
"Durant, D., 2003",2
"Dwyer, Q., Perez, M., 2007",2
"Eisemberg, C.C., Rose, M., Yaru, B. and A. Georges, 2011",2
"El Mouden, E.H., Znari, M. and R.P. Brown, 1999",2
"Fantin, Farias, Monjelo, and Hrbek, 2010",2
"Fernandez, J.A., Garcia-Campusano, F., Hafner, M.S., 2010",2
"Flinders et al., 2002",2
"Frey, J.K., Cervantes, F.A., 1997",2
"Frick et al., 2013",2
"Frydlova et al., 2013",2
"Galindo-Galindo et al., 2000",2
"Garcia, P.F.J., Merkle, M.S., Barclay, R.M.R., 1993",2
"Gauger, V.H., 1999",2
"Genoways, H.H., Baker, R.J., 1972",2
"Greene, S., McConnachie, S., Secor, S., and M. Perrin, 2013",2
"Gressler, D.T., Santos, L.R., Paiva, L.V., et al, 2012",2
"Guay,P.J., Iwaniuk, A.N., 2008",2
"Headland, T.N. and H.W. Greene, 2011",2
"Heathcote, 2010",2
"Hedenstrom et al., 2007",2
"Heideman, Deoraj, and Bronson, 1992",2
"Henry, M. and K.E. Stoner, 2011",2
"Hice and Velazco, 2012",2
"Hocking, P.M., 2009",2
"Hussain, S.A., 1999",2
"Ito, Y., 1980",2
"Jeglinski et al., 2012",2
"Jiang, H.X., 2010",2
"Jimenez, S., Domingo, A., Abreu, M., et al, 2011",2
"Johnson, M.J., Van Riper III, C., Pearson, K.M., 2002",2
"Kays, R.W. and D.E. Wilson, 2009",2
"Kear, J., 2005",2
"King, D.R., Pianka, E.R., 2007",2
"Krist, M., 2009",2
"Kuo, C-H. and J. Fredric, 2004",2
"Lambertucci,S.A., Trejo, A., Martino, S.D., et al, 2009",2
"Lambio, A.L., 2010",2
"Lariviere, S., 2001b",2
"Lickel, 2010",2
"Litzgus, J.D. and T.A. Mousseau, 2003",2
"Luiselli, Angelici, and Akani, 2000",2
"Magnusson, W.E. and A.P. Lima, 1991",2
"Magnusson, W.E., and T.M. Sanaiotti, 1995",2
"Mair, L., Beckley, L., 2012",2
"Mares, M.A., Ernest, K.A., and D.D. Gettinger, 1986",2
"Marquez-M., 1994",2
"Martin, J.W., Carlson, B.A., 1998",2
"Masin et al., 2014",2
"McCann, 2011",2
"McClellan, D.A., Rogers, D.S., 1997",2
"McGregor, 1909",2
"Medina et al., 2010",2
"Meszaros, L.A., 2010",2
"Meylan, A.B. and M. Donnelly, 1999",2
"Moll, E.O., Platt, K., Platt, S.G., Praschag, P. and P. Paul van Dijk, 2009",2
Montana Field Guide,2
"Montevecchi, W.A., Stenhouse, I.J., 2002",2
"Morrison, K.W., Hipfner, J.M., Gjerdrum, C., et al, 2009",2
"Mortola, J.P., 2009",2
"Murphy, M.S., Fleischer, R.C., 1986",2
"Murphy, M.S.; Fleischer, R.C., 1986",2
"Murphy, T.G., Rohwer, V.G., Scholes, E., 2010",2
"Newton, I., 2011",2
"Noble, D.W.A., Keogh, J.S., and M.J. Whiting, 2013",2
"Noguez, A.A. and A. Ramirez-Bautista, 2008",2
"Ochoa-Acuna, H., Francis, J.M., Boness, D.J., 1998",2
"Oelschlager, H.H.A., Ridgway, S.H., and M. Knauth, 2010",2
"Olivier, P.I., Van Aarde, R.J., and S.M. Ferreira, 2009",2
"Oniki, Y., 1970",2
"Ouboter, P.E. and G.M.T. Peeters, 1993",2
"Pain, D.J., Cunningham, A.A., Donald, P.F., 2003",2
"Paquette, S.R., Louis, E.E. Jr., and F-J. Lapointe, 2010",2
"Parrott, D., Roy, S., Baker, R., et al, 2009",2
"Perez et al., 2011",2
"Peron, G., Gimenez, O., Charmantier, A., et al, 2010",2
"Poiaini, A., Jermiin, L.S., 1994",2
"Ponganis, P.J., Stockard, T.K., Meir, J.U., et al, 2009",2
"Rafferty, 2011b",2
"Ramos, et al. 2000",2
"Riccialdelli et al., 2013",2
"Robin, Dickman, and Martin, 2011",2
"Royle, N.J., Smiseth, P.T., Kolliker, M., 2012",2
"Ryan, T.P., Collins, C.T., 2000",2
"Saber and Kamal, 2010",2
"Sales, J., 2009",2
"Salihoglu, B., Fraser, W.R., Hofmann, E.E., 2001",2
"Sazima, M., Buzato, S., and I. Sazima, 1999",2
"Schettino et al., 2010",2
"Schikora, 2012",2
"Schwartz, C.C., 1997",2
"Secor, 2009",2
"Secor, S.M., Phillips, J.A., 1997",2
"Semedo, T.B.F., Ribeiro, L.R., and R.V. Rossi, 2013",2
"Serrat et al., 2007",2
"Seymour, R.S., Runciman, S., Baudinette, R.V., 2008",2
"Sherbrooke, W.C., 2003",2
"Silva et al., 2011",2
"Simpson, K.N.G., 2008",2
"Slip, D.J. and R. Shine, 1988",2
"Smith, F.A., Lyons, S.K., 2013",2
"Sobrero, R., Campos, V.E., Giannoni, S.M., et al, 2010",2
"Solmsen, E.H., Schliemann, H., 2008",2
"Stahlschmidt, Z.R. and D.F. DeNardo, 2009",2
"Starck, J.M., Sutter, E., 2000",2
"Tamarin, R.H., Kunz, T.H., 1974",2
"Tarwater, C.E., Ricklefs, R.E., Maddox, J.D., et al, 2011",2
"Tellez, G., Ortega, J., 1999",2
"Tieleman, B.I., Williams, J.B., Ricklefs, R.E., 2004",2
"Timmermans, S.T.A., Craigie, G.E. and K.E. Jones, 2004",2
"Velasco and Ayarzaguena, 2010",2
"Villalobos, H.A., and M.T. Saborio M., 2007",2
"Villamarin-Jurado, F. and E. Suarez, 2007",2
"Vogt, Platt, and Rainwater, 2009",2
"Votier, S.C., Bearhop, S., Ratcliffer, N., et al, 2004",2
"Warburton et al., 2003",2
"Ward, A., 2004",2
"Waring et al., 2013",2
"Watson, C., Provis, J., and S. Herculano-Houzel, 2012",2
"Weatherhead, P.J., Brown, G.P., Prosser, M.R., 1999",2
"Webster, M.D., 1999",2
"Weller, F., 2011",2
"Welton, L.J., Siler, C.D., Bennett, D., et al, 2010",2
"Willson, Dorcas, and Snow, 2011",2
"Wilms et al., 2010",2
"Wood, K.A., 2012",2
"Woolley and Valente, 1986",2
"Wursig, B. and M. Wursig, 2009",2
"Ackermann, Brink, Vrahimis, and de Klerk, 2010",1
"Alho, C.J.R, Padua, L.F.M., 1982",1
"Allen, B.M., Brownell, R.L., and J.G. Mead, 2011",1
"Ancel, A., Beaulieu, M., Gilbert, C., 2013",1
"Ascher, J.S., Pickering, J., 2014",1
"Auffenberg, W., 1994",1
"Baard, 1995",1
"Banzato et al., 2012",1
"Barboza, N.N., Mussart, N.B., Koza, G.A., and J.A. Coppo, 2012",1
"Barnhill, R.A., Weyer, D., Young, W.F., et al, 2005",1
"Barshep, Y., 2011",1
"Bartholomew, G.A., Dawson, W.R., and R.C. Lasiewski, 1970",1
"Bartlett, P.P. and E. Wagner, 1997",1
"Batistella, A.M. and R.C. Vogt, 2008",1
"Beasley et al., 2013",1
"Bhola et al., 2012",1
"Blake et al., 2012",1
"Bonnevie, B.T., Connan, M., Mcquaid, C.D., 2012",1
"Bowler, J.K., 1975",1
"Boyle, W.A., 2006",1
"Bryan, T.S., Tucker-Bryan, B., 2009",1
"Burgos, A.G.Z, 2003",1
"Burns and Easley, 1977",1
"Buss, D.M., Hawley, P.H., 2010",1
"Campos, Ojeda, Monge and Dacar, 2001",1
"Chiszar, D., Krauss, S., Shipley, B., et al, 2009",1
"Choate, J.R., 1973",1
"Cintra, 1988",1
"Corbalan, V. and R. Ojeda, 2004",1
"Cosstos, E.D., 2010",1
"Crichton, E.G. and P.H. Krutzsch, 2000",1
"Cunha, A.A. and M.V. Vieira, 2002",1
"Curtis, O.E., Rosenfield, R.N., Bielefeldt, J., 2006",1
"Davis, Jr., W.E., Kricher, J., 2000",1
"Dawson et al., 1989",1
"Day, R.H., Kuletz, K.J., Nigro, D.A., 1999",1
"de Carvalho, C.T., 1968",1
"Delciellos, A.C. and M.V. Vieira, 2006",1
"Depenbusch, N.T., 2011",1
"Dickman, 1996",1
"Dickman, 2003",1
"Dijk, R.E., Szentirmai, I., Szekely, T., 2007",1
"Doody, Georges, and Young, 2006",1
"Dryden, G.L, Green, B., Wikramanayake, E.D., et al, 1992",1
"Ellis, R. 2012",1
"Enge, Krysko, and Talley, 2004",1
"Enkerlin-Hoeflich, E.C., Hogan, K.M., 1997",1
"Farke, A.A., Alicea, J., 2009",1
"Flores, Abdala, and Giannini, 2013",1
"Forsyth, D.M., Wilmshurst, J.M., Allen, R.B., et al, 2010",1
"Franz, R., Soliva, C.R., Kreuzer, M., Hatt, J-M. et al., 2011",1
"Fry, C.H., 2010",1
"Fukuda, D., Tisen, O.B., Momose, K., and S. Sakai, 2009",1
"Garamszegi, L.Z., Eens, M., Hurtrez-Bousses, S., et al. 2005",1
"Gavrilov, V.M., 2012",1
"Geiser and Baudinette, 1990",1
"Geiser, F. and G. Kortner, 2010",1
"Goncalves, 2013",1
"Gonzalez, L.M., Oria, J., Margalida, A., et al, 2006",1
"Graham, S.A., 2012",1
"Greenlaw, J.S., Rising, J.D., 1994",1
"Grenier, 2011",1
"Grzybowski, J.A., 1995",1
"Guarino, Di Gia, and Sindaco, 2010",1
"Guzman, 2008",1
"Halstead, B.J., Wylie, G.D., Casazzra, M.L., 2011",1
"Hassel, Personal Communication",1
"Haythornthwaite and Dickman, 2006",1
"Hayward, G.D., Hayward, P.H., 1993",1
"Herkert, J.R., Vickery, P.D., Kroodsma, D.E., 2002",1
"Hickey and Fenton, 1990",1
"Holman, 2012",1
"Houston, C.S., Smith, D.G., Rohner, C., 1998",1
"Huffman, KJ., Nelson, J., Clarey, J. and L. Krubitzer, 1999",1
"Hutton, I., Priddel, D., 2002",1
"IUCN/SSC, 2002",1
"Jefimow, M., 2007",1
"Johnson, M.A., Caton, J.L., Cohen, R.E. et al., 2010",1
"Johnson, S.R., Cowan, I.M., 1974",1
"Jones, et al. 2003",1
"Jones, I.L., 1993",1
"Julien, J.R., Gauthier, G., Morrison, R.I.G., 2013",1
"Kerry, K., Clarke, J., Else, G., 1993",1
"Khan, J.J., Richardson, J.M.L., and G.J. Tattersall, 2010",1
"Kochert, M.N., Steenhof, K., Mcintyre, C.L., et al, 2002",1
"Koehler, C.E. and R.M.R. Barclay, 2000",1
"Kunz, H.K. and M.B. Fenton 2006",1
"Lahti, M.E., Beck, D.D., Cottrell, T.R., 2010",1
"Latta, S., Rimmer, C., Keith, A., et al, 2010",1
"Lavers, J., Hipfner, M., Chapdelaine, G., et al, 2009",1
"Lee, T.E., Dominguez, D.J., 2000",1
"Leshem, Ar, and Ackerman, 1991",1
"Libertini, G., 2012",1
"Lowther, P.E., Kroodsma, D.E., Farley, G.H., 2000",1
"Luque, 2009",1
"MacSwiney, M.C.G., Hernandez-Betancourt, S., Avila-Flores, R., 2009",1
"Madsen, T., Shine, R., 1993",1
"Mallory, M.L., Allard, K.A., Braune, B.M., et al, 2012",1
"Mancina, C.A., Borroto-Paez, R. and L. Garcia-Rivera, 2004",1
"Manson, K. and J. Knight, 2011",1
"Marks, J.S., Evans, D.L., Holt, D.W., 1994",1
"Mbatchou, V.C., Sackey, J., and I. Sackey, 2011",1
"McCormack, J.E., Brown, J.L., 2008",1
"McFarlane, D.A. and K.L. Garrett, 1989",1
"Mclean, J.A. and J.R. Speakman, 1999",1
"Megysi, J.L., O'Daniel, D.L., 1997",1
"Miller, K.E., Meyer, K.D., 2002",1
"MobileReference, 2009",1
"Monros, J.S., Belda, E.J., Barba, E., 2002",1
"Moore, P.J., Larsen, E.J., Charteris, M., et al, 2012",1
"Morrill, 2011",1
"Mountain, M.J., 1991",1
"Murphy et al., 2012",1
"Naranjo, L.G., 1986",1
"Nelson, S.K., 1997",1
"Norberg et al., 1993",1
"Nowak, R. M. 2005",1
"Opiang, 2009",1
"Ortega, J., Vite-De Leon, B., Tinajero-Espitia, A., et al, 2008",1
"Ouboter, P.E. and L.M.R. Nanhoe, 1989",1
"Packer, J.B., Lee Jr., T.E., 2007",1
"Panigrahy, G.K. and B.K. Patnaik, 1973",1
"Perez, 2001",1
"Peters, A., Verhoeven, K.J.F., and H. Strijbosch, 1994",1
"Phillips, B.T., Jackson, S.M., 2003",1
"Platt, S.G., Sigler, L., Rainwater, T.R., 2010",1
"Post, W., Post, W., Greenlaw, J.S., 2009",1
"Prades, Lastica, and Acorda, 2013",1
"Priddel, D., Wheeler, R., 2003",1
"Puente-Rolon, A.R. and F.J. Bird-Pico, 2004",1
"Rasmussen, J.L., Sealy, S.G., Cannings, R.J., 2008",1
"Reed, J.M., Oring, L.W., Gray, E.M., 2013",1
"Reilly, et al. 2001",1
"Remor de Souza, R., Vogt, R.C., 1994",1
"Renaud, M.L., 1995",1
"Roots, C., 2006",1
"Rossi et al., 2010",1
"Rozsa, L., 1997",1
"Ruckstuhl, K. and P. Neuhaus, 2005",1
"Rydell et al., 2002",1
"Santos-Filho et al., 2012",1
"Santos-Filho, M., Peres, C.A., da Silva, D.J. and T.M. Sanaiotti, 2012",1
"Schreiber, B.A., Schreiber, R.W., 2009",1
"Schreiber, E.A., Doherty, P.F., Schenk, G.A., 2004",1
"Scofield, R.P., Ashwell, K.W.S., 2009",1
"Shanker et al., 2004",1
"Shine, R. and T. Madsen, 1997",1
"Shine, R., 1992",1
"Sibly, R.M., Brown J.H., Kodric-Brown, A., 2012",1
"Silveira, L.F., Silveria, V.J., 1998",1
"Simmons, R.E., 1997",1
"Smirina, E.M. asnd A.Y. Tsellarius, 1996",1
"Snodgrass, J.J., Leonard, W.R., and M.L. Robertson, 2007",1
"Soligo and Martin, 2006",1
"Standen, 2008",1
"Stone and Purvis, 1992",1
"Subach, Scharf, and Ovadia, 2009",1
"Sweeney, 1960",1
"Szentirmai, I., Szekely, T., Komdeur, J., 2007",1
"Taylor, M.E., 1972",1
"Theiler, G.R., Gardenal, C.N., and A. Blanco, 2001",1
"Tholon, P., Queiroz, S.A., 2007",1
"Tidemann, S., Gosler, A., 2010",1
"Tingay, R.E., Katzner, T.E., 2010",1
"Trauth, 1984",1
"Trumble et al., 2013",1
"Tweit, R.C., Finch, D.M., 1994",1
"Ujvari, Shine, and Madsen, 2010",1
"Unwin, 2011",1
"Urfi, A.J., Meganathan, T., Kalam, A., 2007",1
"Uzum, N., Ilgaz, C., Kumlutas, Y., Gumus, C., and A. Avci, 2014",1
"Van Houtan et al., 2009",1
"Verts, B.J. and L.N. Carraway, 1998",1
"Vickery, P.D., 1996",1
"Vieira, M.V., 1997",1
"Vincent, S.E., Brandley, M.C., Herrel, A., and M.E. Alfaro, 2009",1
"Voigt et al., 2003",1
"Warham, J., 1971",1
"Warner, R.M., 1982",1
"Weidensaul, S., Robinson, T.R., Sargent, R.R., et al, 2013",1
"Welch, K.C. Jr, Herrera M., L. G., and R. K. Suarez, 2008",1
"Wnek, 2010",1
"Woolfenden, G.E., Fitzpatrick, J.W., 1996",1
"Yensen, E., Seymour, K.L., 2000",1
"Ziesemann, B., Brunton, D.H., Castro, I.C., 2011",1
"Zortea, 2003",1
(blank),26
