Original Name,,,,,,Transformed Name,,
Acris, , , ,->, ,Echis, , 
Ablepharus,boulengeri, , ,->, ,Morethia,boulengeri, 
Ablepharus,boutoni, , ,->, ,Cryptoblepharus,boutonii, 
Ablepharus,boutonii, , ,->, ,Cryptoblepharus,boutonii, 
Ablepharus,brandti, , ,->, ,Ablepharus,pannonicus, 
Ablepharus,broomensis, , ,->, ,Proablepharus,tenuis, 
Ablepharus,burnetti, , ,->, ,Lygisaurus,foliorum, 
Ablepharus,butleri, , ,->, ,Morethia,butleri, 
Ablepharus,cabindae, , ,->, ,Panaspis,cabindae, 
Ablepharus,distinguendus, , ,->, ,Lerista,distinguenda, 
Ablepharus,duruarum, , ,->, ,Afroablepharus,duruarum, 
Ablepharus,egeriae, , ,->, ,Cryptoblepharus,egeriae, 
Ablepharus,eximius, , ,->, ,Cryptoblepharus,eximius, 
Ablepharus,festae, , ,->, ,Ablepharus,pannonicus, 
Ablepharus,gloriosus, , ,->, ,Cryptoblepharus,gloriosus, 
Ablepharus,greyi, , ,->, ,Menetia,greyii, 
Ablepharus,heteropus, , ,->, ,Lygisaurus,aeratus, 
Ablepharus,heterurus, , ,->, ,Cryptoblepharus,poecilopleurus, 
Ablepharus,intermedius, , ,->, ,Cryptoblepharus,keiensis, 
Ablepharus,kinghorni, , ,->, ,Proablepharus,kinghorni, 
Ablepharus,kitaibeli, , ,->, ,Ablepharus,kitaibelii, 
Ablepharus,kitaibelli, , ,->, ,Ablepharus,kitaibelii,kitaibelii
Ablepharus,kucenkoi, , ,->, ,Asymblepharus,alaicus, 
Ablepharus,massaiensis, , ,->, ,Afroablepharus,wahlbergi, 
Ablepharus,megalurus, , ,->, ,Panaspis,megalurus, 
Ablepharus,menestriesii, , ,->, ,Ablepharus,bivittatus, 
Ablepharus,moeruensis, , ,->, ,Afroablepharus,seydeli, 
Ablepharus,muelleri, , ,->, ,Lerista,muelleri, 
Ablepharus,nigropunctatus, , ,->, ,Cryptoblepharus,nigropunctatus, 
Ablepharus,ornatus, , ,->, ,Notoscincus,ornatus, 
Ablepharus,peroni, , ,->, ,Cryptoblepharus,boutonii, 
Ablepharus,peronii, , ,->, ,Cryptoblepharus,novocaledonicus, 
Ablepharus,persicus, , ,->, ,Ablepharus,pannonicus, 
Ablepharus,poecilopleurus, , ,->, ,Cryptoblepharus,poecilopleurus, 
Ablepharus,pusillus, , ,->, ,Ablepharus,pannonicus, 
Ablepharus,quinquetaeniatus, , ,->, ,Cryptoblepharus,quinquetaeniatus, 
Ablepharus,reginae, , ,->, ,Proablepharus,reginae, 
Ablepharus,rhodonoides, , ,->, ,Lerista,rhodonoides, 
Ablepharus,rutilus, , ,->, ,Cryptoblepharus,rutilus, 
Ablepharus,saposhnikovi, , ,->, ,Asymblepharus,alaicus, 
Ablepharus,seydeli, , ,->, ,Afroablepharus,seydeli, 
Ablepharus,smithi, , ,->, ,Afroablepharus,seydeli, 
Ablepharus,smithii, , ,->, ,Afroablepharus,seydeli, 
Ablepharus,spenceri, , ,->, ,Pseudemoia,spenceri, 
Ablepharus,taeniopleurus, , ,->, ,Morethia,taeniopleura, 
Ablepharus,tancredi, , ,->, ,Panaspis,tancredi, 
Ablepharus,tenuis, , ,->, ,Proablepharus,tenuis, 
Ablepharus,timidus, , ,->, ,Lerista,muelleri, 
Ablepharus,turkestanicus, , ,->, ,Ablepharus,deserti, 
Ablepharus,virgatus, , ,->, ,Cryptoblepharus,virgatus, 
Ablepharus,wahlbergi, , ,->, ,Afroablepharus,wahlbergi, 
Ablepharus,wahlbergii, , ,->, ,Afroablepharus,wahlbergi, 
Ablepharus,walbergii, , ,->, ,Afroablepharus,wahlbergi, 
Ablepharus,wilsoni, , ,->, ,Afroablepharus,wilsoni, 
Ablepharus,wotjulum, , ,->, ,Notoscincus,ornatus, 
Abronia,deppei, , ,->, ,Abronia,deppii, 
Abronia,deppi, , ,->, ,Abronia,martindelcampoi, 
Abronia,kalaina, , ,->, ,Abronia,fuscolabialis, 
Abronia,oaxaca, , ,->, ,Abronia,oaxacae, 
Abronia,taeniatus, , ,->, ,Abronia,taeniata, 
Acalyptophis,peroni, , ,->, ,Hydrophis,peronii, 
Acalyptophis,peronii, , ,->, ,Hydrophis,peronii, 
