"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Atherurus africanus","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","","","","","","YES","","YES",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","YES",2900,NA,NA,NA,NA,NA,NA,NA,"atherurus_africanus"
"Atherurus macrourus","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","","","","","","YES","","YES",NA,"","","","","","Carrion, Insects","","","","","","",NA,"","YES","YES","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers","YES","YES","YES","YES","YES","","","YES","","",NA,"","","","","","","","","YES","","","YES",2650,NA,NA,NA,NA,NA,NA,NA,"atherurus_macrourus"
"Atilax paludinosus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","YES","","","",3300,NA,NA,NA,NA,NA,NA,NA,"atilax_paludinosus"
"Atlantoxerus getulus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"atlantoxerus_getulus"
"Atlides halesus","Herbivore, Herbivore: Folivore, Herbivore: Nectarivore","","","","","","","YES","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","Leaves, Nectar","YES","","","","","YES","","","","",NA,"","","","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"atlides_halesus"
"Atractoscion nobilis","Carnivore, Carnivore: Piscivore","YES","YES","","","","","","","",NA,"","","","","","Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","",NA,"","","","","YES","","YES","YES","","","YES","YES","","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","",41000,NA,NA,NA,NA,NA,NA,NA,"atractoscion_nobilis"
"Atractosteus spatula","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Piscivore","YES","YES","","","","","","","",NA,"","","","","","Birds, Mammals, Amphibians, Reptiles, Fish, Carrion, Aquatic Crustaceans","YES","YES","YES","YES","YES","",NA,"","YES","","","","","","YES","","","","","","","","","","","","","","","",NA,"","","","","","","","","","YES","YES","",137000,NA,NA,NA,NA,NA,NA,NA,"atractosteus_spatula"
"Atrax robustus","","","","","","","","","","",NA,"","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"atrax_robustus"
"Atta sexdens","Herbivore, Herbivore: Eats sap or other plant foods, Mycophage","","","","","","","YES","","",NA,"","","YES","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","Fungus","YES","","","","","YES","YES","",0.02,NA,NA,NA,NA,NA,NA,NA,"atta_sexdens"
"Atta texana","Mycophage","","","","","","","","","",NA,"","","YES","","","","","","","","","",NA,"","","","","","","","","","","","","Sap or other plant fluids","","","","","","","","","YES","",NA,"","","","Fungus","YES","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"atta_texana"
