"species_raw","primary_diet","carnivore","carnivore:piscivore","carnivore:sanguivore","carnivore:insectivore","carnivore:molluscivore","carnivore:eats_other_marine_invertebrates","herbivore","herbivore:frugivore","herbivore:lignivore","herbivore:algivore","omnivore","planktivore","mycophage","detritivore","coprophage","animal_foods","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non_insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","plant_foods","leaves","roots_and_tubers","wood_bark_or_stems","seeds_grains_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","other_foods","fungus","detritus","dung","microbes","endothermic","ectothermic","heterothermic","homoiothermic","mass_average_g","mass_adult_average_g","mass_adult_female_average_g","mass_adult_male_average_g","mass_embryo_average_g","mass_weanling_average_g","mass_female_average_g","mass_male_average_g","species"
"Abditomys latidens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abditomys_latidens"
"Abeomelomys sevia","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abeomelomys_sevia"
"Abrawayaomys ruschii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrawayaomys_ruschii"
"Abrocoma bennettii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrocoma_bennettii"
"Abrocoma boliviensis","Herbivore, Herbivore: Folivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",NA,NA,NA,NA,NA,NA,NA,NA,"abrocoma_boliviensis"
"Abrocoma cinerea","Herbivore, Herbivore: Granivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",250,NA,NA,NA,NA,NA,NA,NA,"abrocoma_cinerea"
"Abrothrix andinus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_andinus"
"Abrothrix illuteus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_illuteus"
"Abrothrix jelskii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_jelskii"
"Abrothrix lanosus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_lanosus"
"Abrothrix longipilis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_longipilis"
"Abrothrix olivaceus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_olivaceus"
"Abrothrix sanborni","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"abrothrix_sanborni"
"Acanthaster planci","Carnivore, Carnivore: Eats other marine invertebrates, Carnivore: Scavenger, Herbivore, Herbivore: Algivore, Detritivore","YES","",NA,"","","YES","YES","","","YES","","","","YES",NA,"Cnidarians, Other Marine Invertebrates","","","","","","","","","","","","","","","","","YES","YES","","Algae","","","","","","","","","",NA,"","YES",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"acanthaster_planci"
"Acanthorhynchus tenuirostris","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","","","","YES","","","YES",11,NA,NA,NA,NA,NA,NA,NA,"acanthorhynchus_tenuirostris"
"Acanthurus coeruleus","Herbivore, Herbivore: Algivore","","",NA,"","","","YES","","","YES","","","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"acanthurus_coeruleus"
"Acanthurus triostegus","Herbivore, Herbivore: Algivore","","",NA,"","","","YES","","","YES","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Algae","","","","","","","","","",NA,"","YES",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"acanthurus_triostegus"
"Acartia tonsa","Carnivore, Carnivore: Eats non-insect arthropods, Herbivore, Herbivore: Algivore, Omnivore, Planktivore","YES","",NA,"","","","YES","","","YES","YES","YES","","",NA,"Other Marine Invertebrates, Zooplankton","","","","","","","","","","","","","","","","","","YES","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Microbes","","","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"acartia_tonsa"
"Accipiter cooperii","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",423,NA,NA,NA,NA,NA,NA,NA,"accipiter_cooperii"
"Accipiter gentilis","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Reptiles, Insects","YES","YES","","YES","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",997.5,NA,NA,NA,NA,NA,NA,NA,"accipiter_gentilis"
"Accipiter nisus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Carrion, Insects","YES","YES","YES","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",226,NA,NA,NA,NA,NA,NA,NA,"accipiter_nisus"
"Accipiter striatus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",152.5,NA,NA,NA,NA,NA,NA,NA,"accipiter_striatus"
"Acerodon celebensis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acerodon_celebensis"
"Acerodon humilis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acerodon_humilis"
"Acerodon jubatus","Herbivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Fruit","YES","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",1125,NA,NA,NA,NA,NA,NA,NA,"acerodon_jubatus"
"Acerodon leucotis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acerodon_leucotis"
"Acerodon lucifer","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acerodon_lucifer"
"Acerodon mackloti","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acerodon_mackloti"
"Achatina fulica","Herbivore, Herbivore: Folivore, Herbivore: Frugivore","","",NA,"","","","YES","YES","","","","","","",NA,"Mollusks","","","","","","","","","","","","YES","","","","","","","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts, Fruit, Flowers, Lichens, Algae","YES","","YES","YES","YES","","","YES","",NA,"YES","YES",NA,"","Fungus, Detritus","YES","YES","","","","YES","YES","",32,NA,NA,NA,NA,NA,NA,NA,"achatina_fulica"
"Achatinella mustelina","Mycophage","","",NA,"","","","","","","","","","YES","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","Fungus","YES","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"achatinella_mustelina"
"Acinonyx jubatus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",46500,NA,NA,NA,NA,NA,NA,NA,"acinonyx_jubatus"
"Acipenser fulvescens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",90000,NA,NA,NA,NA,NA,NA,NA,"acipenser_fulvescens"
"Acipenser transmontanus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",630000,NA,NA,NA,NA,NA,NA,NA,"acipenser_transmontanus"
"Acomys cahirinus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","","","","","","","YES","YES","YES","YES","","","","","","","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",50,NA,NA,NA,NA,NA,NA,NA,"acomys_cahirinus"
"Acomys cineraceus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_cineraceus"
"Acomys kempi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_kempi"
"Acomys louisae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_louisae"
"Acomys minous","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_minous"
"Acomys percivali","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_percivali"
"Acomys russatus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",45,NA,NA,NA,NA,NA,NA,NA,"acomys_russatus"
"Acomys spinosissimus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_spinosissimus"
"Acomys subspinosus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_subspinosus"
"Acomys wilsoni","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acomys_wilsoni"
"Aconaemys fuscus","Herbivore, Herbivore: Folivore, Herbivore: Granivore, Herbivore: Lignivore","","",NA,"","","","YES","","YES","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","YES","YES","YES","YES","","","","","",NA,"","",NA,"","Dung","","","YES","","YES","","","YES",50,NA,NA,NA,NA,NA,NA,NA,"aconaemys_fuscus"
"Aconaemys sagei","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aconaemys_sagei"
"Acridotheres tristis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Fish, Eggs, Carrion, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans","YES","YES","YES","YES","YES","YES","","","YES","YES","YES","","YES","YES","YES","","","","","Seeds, grains, and nuts, Fruit, Nectar, Flowers","","","","YES","YES","YES","","YES","",NA,"","",NA,"","","","","","","YES","","","YES",112.5,NA,NA,NA,NA,NA,NA,NA,"acridotheres_tristis"
"Acris crepitans","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"acris_crepitans"
"Acris gryllus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","","","","","YES","YES","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"acris_gryllus"
"Acrobates pygmaeus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",13,NA,NA,NA,NA,NA,NA,NA,"acrobates_pygmaeus"
"Acrocephalus arundinaceus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Mollusks","","","YES","","YES","","","","","YES","YES","YES","","","","","","","","Fruit","","","","","YES","","","","",NA,"","",NA,"","","","","","","YES","","","YES",36,NA,NA,NA,NA,NA,NA,NA,"acrocephalus_arundinaceus"
"Acrochordus arafurae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"acrochordus_arafurae"
"Acrochordus granulatus","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods","YES","YES",NA,"","","","","","","","","","","",NA,"Fish, Mollusks, Aquatic Crustaceans","","","","","YES","","","","","","","YES","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","YES","",130,NA,NA,NA,NA,NA,NA,NA,"acrochordus_granulatus"
"Acrochordus javanicus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",6500,NA,NA,NA,NA,NA,NA,NA,"acrochordus_javanicus"
"Acropora cervicornis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"acropora_cervicornis"
"Acropora millepora","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore","","",NA,"","","","YES","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"acropora_millepora"
"Acropora palmata","Herbivore, Herbivore: Eats sap or other plant foods, Planktivore","","",NA,"","","","YES","","","","","YES","","",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Sap or other plant fluids, Phytoplankton","","","","","","","","","YES",NA,"","",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"acropora_palmata"
"Actias luna","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves","YES","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"actias_luna"
"Actinia equina","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Eats other marine invertebrates","YES","",NA,"YES","YES","YES","","","","","","","","",NA,"Mollusks, Other Marine Invertebrates","","","","","","","","","","","","YES","","","","","","YES","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",0.42,NA,NA,NA,NA,NA,NA,NA,"actinia_equina"
"Actinonaias ligamentina","Planktivore, Detritivore","","",NA,"","","","","","","","","YES","","YES",NA,"Zooplankton","","","","","","","","","","","","","","","","","","","YES","Algae, Phytoplankton","","","","","","","","","",NA,"","YES",NA,"YES","Detritus, Microbes","","YES","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"actinonaias_ligamentina"
"Actitis hypoleucos","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms, Aquatic or Marine Worms, Aquatic Crustaceans, Other Marine Invertebrates","","","YES","","YES","","","","","YES","YES","","YES","YES","YES","","","YES","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",40,NA,NA,NA,NA,NA,NA,NA,"actitis_hypoleucos"
"Actitis macularius","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore","YES","",NA,"YES","YES","","","","","","","","","",NA,"Amphibians, Fish, Carrion, Insects, Terrestrial Non-insect Arthropods, Mollusks, Terrestrial Worms","","","YES","","YES","","","","YES","YES","YES","YES","YES","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",42,NA,NA,NA,NA,NA,NA,NA,"actitis_macularius"
"Adalia bipunctata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"adalia_bipunctata"
"Addax nasomaculatus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems, Flowers","YES","","YES","","","","","YES","",NA,"","",NA,"","","","","","","YES","","","YES",92500,NA,NA,NA,NA,NA,NA,NA,"addax_nasomaculatus"
"Aechmophorus occidentalis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",1400,NA,NA,NA,NA,NA,NA,NA,"aechmophorus_occidentalis"
"Aedes albopictus","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","Nectar","","","","","","YES","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"aedes_albopictus"
"Aedes triseriatus","Herbivore, Herbivore: Nectarivore","","",NA,"","","","YES","","","","","","","",NA,"Blood","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","Detritus, Microbes","","YES","","YES","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"aedes_triseriatus"
"Aegithalos caudatus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Seeds, grains, and nuts","","","","YES","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",8,NA,NA,NA,NA,NA,NA,NA,"aegithalos_caudatus"
"Aegolius acadicus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",87.5,NA,NA,NA,NA,NA,NA,NA,"aegolius_acadicus"
"Aegolius funereus","Carnivore, Carnivore: Eats terrestrial vertebrates","YES","",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Insects","YES","YES","","","","","","","","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",154,NA,NA,NA,NA,NA,NA,NA,"aegolius_funereus"
"Aegypius monachus","Carnivore, Carnivore: Scavenger","YES","",NA,"","","","","","","","","","","",NA,"Mammals, Reptiles, Carrion, Insects","","YES","","YES","","","","","YES","YES","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",8170,NA,NA,NA,NA,NA,NA,NA,"aegypius_monachus"
"Aepeomys lugens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aepeomys_lugens"
"Aepyceros melampus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",52500,NA,NA,NA,NA,NA,NA,NA,"aepyceros_melampus"
"Aepyprymnus rufescens","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","",2.48,NA,NA,NA,NA,NA,NA,NA,"aepyprymnus_rufescens"
"Aeromys tephromelas","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aeromys_tephromelas"
"Aeromys thomasi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aeromys_thomasi"
"Aeropedellus clavatus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Leaves, Pollen, Flowers","YES","","","","","","YES","YES","",NA,"","",NA,"","Fungus","YES","","","","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA,"aeropedellus_clavatus"
"Aeshna canadensis","Carnivore, Carnivore: Insectivore, Carnivore: Molluscivore","YES","",NA,"YES","YES","","","","","","","","","",NA,"Amphibians, Fish, Eggs, Insects, Mollusks, Zooplankton","","","YES","","YES","YES","","","","YES","","YES","","","","","","","YES","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"aeshna_canadensis"
"Aeshna umbrosa","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Amphibians, Fish, Insects, Aquatic Crustaceans","","","YES","","YES","","","","","YES","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"aeshna_umbrosa"
"Aethalops aequalis","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethalops_aequalis"
"Aethalops alecto","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethalops_alecto"
"Aethia cristatella","Carnivore, Carnivore: Piscivore, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates, Planktivore","YES","YES",NA,"","","YES","","","","","","YES","","",NA,"Fish, Mollusks, Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","YES","","","","","","","YES","","","YES","","","YES","YES","Phytoplankton","","","","","","","","","",NA,"","",NA,"YES","","","","","","YES","","","YES",260,NA,NA,NA,NA,NA,NA,NA,"aethia_cristatella"
"Aethia pusilla","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Aquatic Crustaceans","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","YES","","","YES",86,NA,NA,NA,NA,NA,NA,NA,"aethia_pusilla"
"Aethomys chrysophilus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethomys_chrysophilus"
"Aethomys hindei","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethomys_hindei"
"Aethomys ineptus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethomys_ineptus"
"Aethomys kaiseri","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethomys_kaiseri"
"Aethomys nyikae","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"aethomys_nyikae"
"Aetobatus narinari","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","",NA,"","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Echinoderms","","","","","YES","","","","","","","YES","","YES","YES","YES","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","YES","",230000,NA,NA,NA,NA,NA,NA,NA,"aetobatus_narinari"
"Agalychnis callidryas","","","",NA,"","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","",NA,"","","","","","","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA,"agalychnis_callidryas"
