"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
2489005,"Acridotheres tristis (Linnaeus, 1766)","species","ACCEPTED","EXACT","Acridotheres tristis",98,"Animalia","Chordata","Passeriformes","Sturnidae","Acridotheres","Acridotheres tristis",1,44,212,729,9350,2489003,2489005,FALSE,"Aves",NA,NA
2427616,"Acris crepitans Baird, 1854","species","ACCEPTED","EXACT","Acris crepitans",98,"Animalia","Chordata","Anura","Hylidae","Acris","Acris crepitans",1,44,131,952,6735,2427609,2427616,FALSE,"Amphibia",NA,NA
2427618,"Acris gryllus (LeConte, 1825)","species","ACCEPTED","EXACT","Acris gryllus",98,"Animalia","Chordata","Anura","Hylidae","Acris","Acris gryllus",1,44,131,952,6735,2427609,2427618,FALSE,"Amphibia",NA,NA
5219960,"Acrobates pygmaeus (Shaw, 1793)","species","ACCEPTED","EXACT","Acrobates pygmaeus",98,"Animalia","Chordata","Diprotodontia","Acrobatidae","Acrobates","Acrobates pygmaeus",1,44,359,1452,5456,2440105,5219960,FALSE,"Mammalia",NA,NA
2493128,"Acrocephalus arundinaceus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Acrocephalus arundinaceus",98,"Animalia","Chordata","Passeriformes","Acrocephalidae","Acrocephalus","Acrocephalus arundinaceus",1,44,212,729,6101019,2493112,2493128,FALSE,"Aves",NA,NA
2472757,"Acrochordus granulatus (Schneider, 1799)","species","ACCEPTED","EXACT","Acrochordus granulatus",98,"Animalia","Chordata","Squamata","Acrochordidae","Acrochordus","Acrochordus granulatus",1,44,358,715,9200,2472755,2472757,FALSE,"Reptilia",NA,NA
2472764,"Acrochordus javanicus Hornstedt, 1787","species","ACCEPTED","EXACT","Acrochordus javanicus",97,"Animalia","Chordata","Squamata","Acrochordidae","Acrochordus","Acrochordus javanicus",1,44,358,715,9200,2472755,2472764,FALSE,"Reptilia",NA,NA
5184681,"Acropora cervicornis (Lamarck, 1816)","species","ACCEPTED","EXACT","Acropora cervicornis",98,"Animalia","Cnidaria","Scleractinia","Acroporidae","Acropora","Acropora cervicornis",1,43,206,714,8153,7673664,5184681,FALSE,"Anthozoa",NA,NA
5184672,"Acropora millepora (Ehrenberg, 1834)","species","ACCEPTED","EXACT","Acropora millepora",97,"Animalia","Cnidaria","Scleractinia","Acroporidae","Acropora","Acropora millepora",1,43,206,714,8153,7673664,5184672,FALSE,"Anthozoa",NA,NA
5184657,"Acropora palmata (Lamarck, 1816)","species","ACCEPTED","EXACT","Acropora palmata",98,"Animalia","Cnidaria","Scleractinia","Acroporidae","Acropora","Acropora palmata",1,43,206,714,8153,7673664,5184657,FALSE,"Anthozoa",NA,NA
1865668,"Actias luna Linnaeus, 1758","species","ACCEPTED","EXACT","Actias luna",98,"Animalia","Arthropoda","Lepidoptera","Saturniidae","Actias","Actias luna",1,54,216,797,8864,1865647,1865668,FALSE,"Insecta",NA,NA
2256559,"Actinia equina (Linnaeus, 1758)","species","ACCEPTED","EXACT","Actinia equina",98,"Animalia","Cnidaria","Actiniaria","Actiniidae","Actinia","Actinia equina",1,43,206,705,5688,2255717,2256559,FALSE,"Anthozoa",NA,NA
2288295,"Actinonaias ligamentina (Lamarck, 1819)","species","ACCEPTED","EXACT","Actinonaias ligamentina",98,"Animalia","Mollusca","Unionida","Unionidae","Actinonaias","Actinonaias ligamentina",1,52,137,9301143,3461,2288294,2288295,FALSE,"Bivalvia",NA,NA
2481800,"Actitis hypoleucos (Linnaeus, 1758)","species","ACCEPTED","EXACT","Actitis hypoleucos",98,"Animalia","Chordata","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",1,44,212,7192402,5282,2481797,2481800,FALSE,"Aves",NA,NA
2481798,"Actitis macularius (Linnaeus, 1766)","species","ACCEPTED","EXACT","Actitis macularius",98,"Animalia","Chordata","Charadriiformes","Scolopacidae","Actitis","Actitis macularius",1,44,212,7192402,5282,2481797,2481798,FALSE,"Aves",NA,NA
1043097,"Adalia bipunctata (Linnaeus, 1758)","species","ACCEPTED","EXACT","Adalia bipunctata",98,"Animalia","Arthropoda","Coleoptera","Coccinellidae","Adalia","Adalia bipunctata",1,54,216,1470,7782,1043096,1043097,FALSE,"Insecta",NA,NA
2441101,"Addax nasomaculatus (Blainville, 1816)","species","ACCEPTED","EXACT","Addax nasomaculatus",98,"Animalia","Chordata","Artiodactyla","Bovidae","Addax","Addax nasomaculatus",1,44,359,731,9614,7522125,2441101,FALSE,"Mammalia",NA,NA
2482033,"Aechmophorus occidentalis (Lawrence, 1858)","species","ACCEPTED","EXACT","Aechmophorus occidentalis",98,"Animalia","Chordata","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis",1,44,212,7191588,9338,2482031,2482033,FALSE,"Aves",NA,NA
1651430,"Aedes albopictus Skuse, 1894","species","ACCEPTED","EXACT","Aedes albopictus",98,"Animalia","Arthropoda","Diptera","Culicidae","Aedes","Aedes albopictus",1,54,216,811,3346,7924646,1651430,FALSE,"Insecta",NA,NA
1651799,"Aedes triseriatus (Say, 1823)","species","ACCEPTED","EXACT","Aedes triseriatus",98,"Animalia","Arthropoda","Diptera","Culicidae","Aedes","Aedes triseriatus",1,54,216,811,3346,7924646,1651799,FALSE,"Insecta",NA,NA
2495000,"Aegithalos caudatus (Linnaeus, 1758)","species","DOUBTFUL","EXACT","Aegithalos caudatus",97,"Animalia","Chordata","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus",1,44,212,729,2878,9270076,2495000,FALSE,"Aves",NA,NA
5232207,"Aegolius acadicus (J.F.Gmelin, 1788)","species","ACCEPTED","EXACT","Aegolius acadicus",98,"Animalia","Chordata","Strigiformes","Strigidae","Aegolius","Aegolius acadicus",1,44,212,1450,9348,8095667,5232207,FALSE,"Aves",NA,NA
5739298,"Aegolius funereus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Aegolius funereus",98,"Animalia","Chordata","Strigiformes","Strigidae","Aegolius","Aegolius funereus",1,44,212,1450,9348,8095667,5739298,FALSE,"Aves",NA,NA
5229165,"Aegypius monachus (Linnaeus, 1766)","species","ACCEPTED","EXACT","Aegypius monachus",98,"Animalia","Chordata","Accipitriformes","Accipitridae","Aegypius","Aegypius monachus",1,44,212,7191147,2877,2480441,5229165,FALSE,"Aves",NA,NA
2441144,"Aepyceros melampus (Lichtenstein, 1812)","species","ACCEPTED","EXACT","Aepyceros melampus",98,"Animalia","Chordata","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus",1,44,359,731,9614,2441143,2441144,FALSE,"Mammalia",NA,NA
2440030,"Aepyprymnus rufescens (Gray, 1837)","species","ACCEPTED","EXACT","Aepyprymnus rufescens",98,"Animalia","Chordata","Diprotodontia","Potoroidae","Aepyprymnus","Aepyprymnus rufescens",1,44,359,1452,5460,2440029,2440030,FALSE,"Mammalia",NA,NA
1700119,"Aeropedellus clavatus (C.Thomas, 1873)","species","ACCEPTED","EXACT","Aeropedellus clavatus",98,"Animalia","Arthropoda","Orthoptera","Acrididae","Aeropedellus","Aeropedellus clavatus",1,54,216,1458,9394,1700116,1700119,FALSE,"Insecta",NA,NA
1425205,"Aeshna canadensis Walker, 1908","species","ACCEPTED","EXACT","Aeshna canadensis",98,"Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna canadensis",1,54,216,789,4209,1425165,1425205,FALSE,"Insecta",NA,NA
1425250,"Aeshna umbrosa Walker, 1908","species","ACCEPTED","EXACT","Aeshna umbrosa",98,"Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna umbrosa",1,54,216,789,4209,1425165,1425250,FALSE,"Insecta",NA,NA
2481295,"Aethia cristatella (Pallas, 1769)","species","ACCEPTED","EXACT","Aethia cristatella",98,"Animalia","Chordata","Charadriiformes","Alcidae","Aethia","Aethia cristatella",1,44,212,7192402,2985,2481292,2481295,FALSE,"Aves",NA,NA
5229270,"Aethia pusilla (Pallas, 1811)","species","ACCEPTED","EXACT","Aethia pusilla",98,"Animalia","Chordata","Charadriiformes","Alcidae","Aethia","Aethia pusilla",1,44,212,7192402,2985,2481292,5229270,FALSE,"Aves",NA,NA
2419231,"Aetobatus narinari (Euphrasen, 1790)","species","ACCEPTED","EXACT","Aetobatus narinari",98,"Animalia","Chordata","Myliobatiformes","Myliobatidae","Aetobatus","Aetobatus narinari",1,44,121,8214029,2193,2419230,2419231,FALSE,"Elasmobranchii",NA,NA
2428197,"Agalychnis callidryas (Cope, 1862)","species","ACCEPTED","EXACT","Agalychnis callidryas",98,"Animalia","Chordata","Anura","Phyllomedusidae","Agalychnis","Agalychnis callidryas",1,44,131,952,4817115,2428191,2428197,FALSE,"Amphibia",NA,NA
2480836,"Agamia agami (Gmelin, 1789)","species","ACCEPTED","EXACT","Agamia agami",98,"Animalia","Chordata","Pelecaniformes","Ardeidae","Agamia","Agamia agami",1,44,212,7190953,3685,2480835,2480836,FALSE,"Aves",NA,NA
2479544,"Agapornis fischeri Reichenow, 1887","species","ACCEPTED","EXACT","Agapornis fischeri",98,"Animalia","Chordata","Psittaciformes","Psittacidae","Agapornis","Agapornis fischeri",1,44,212,1445,9340,2479538,2479544,FALSE,"Aves",NA,NA
2479553,"Agapornis personatus Reichenow, 1887","species","ACCEPTED","EXACT","Agapornis personatus",98,"Animalia","Chordata","Psittaciformes","Psittacidae","Agapornis","Agapornis personatus",1,44,212,1445,9340,2479538,2479553,FALSE,"Aves",NA,NA
9770031,"Agapornis roseicollis (Vieillot, 1818)","species","ACCEPTED","EXACT","Agapornis roseicollis",98,"Animalia","Chordata","Psittaciformes","Psittacidae","Agapornis","Agapornis roseicollis",1,44,212,1445,9340,2479538,9770031,FALSE,"Aves",NA,NA
1047377,"Agasicles hygrophila Selman & Vogt, 1971","species","ACCEPTED","EXACT","Agasicles hygrophila",98,"Animalia","Arthropoda","Coleoptera","Chrysomelidae","Agasicles","Agasicles hygrophila",1,54,216,1470,7780,1047376,1047377,FALSE,"Insecta",NA,NA
2484481,"Agelaioides badius (Vieillot, 1819)","species","ACCEPTED","EXACT","Agelaioides badius",98,"Animalia","Chordata","Passeriformes","Icteridae","Agelaioides","Agelaioides badius",1,44,212,729,6176,2484480,2484481,FALSE,"Aves",NA,NA
9409198,"Agelaius phoeniceus (Linnaeus, 1766)","species","ACCEPTED","EXACT","Agelaius phoeniceus",98,"Animalia","Chordata","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus",1,44,212,729,6176,2484444,9409198,FALSE,"Aves",NA,NA
2484445,"Agelaius tricolor (Audubon, 1837)","species","ACCEPTED","EXACT","Agelaius tricolor",98,"Animalia","Chordata","Passeriformes","Icteridae","Agelaius","Agelaius tricolor",1,44,212,729,6176,2484444,2484445,FALSE,"Aves",NA,NA
9215881,"Agkistrodon contortrix (Linnaeus, 1766)","species","ACCEPTED","EXACT","Agkistrodon contortrix",98,"Animalia","Chordata","Squamata","Viperidae","Agkistrodon","Agkistrodon contortrix",1,44,358,715,5024,2444622,9215881,FALSE,"Reptilia",NA,NA
9105722,"Agkistrodon piscivorus (Lacépède, 1789)","species","ACCEPTED","EXACT","Agkistrodon piscivorus",97,"Animalia","Chordata","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus",1,44,358,715,5024,2444622,9105722,FALSE,"Reptilia",NA,NA
4535827,"Aglais io (Linnaeus, 1758)","species","ACCEPTED","EXACT","Aglais io",98,"Animalia","Arthropoda","Lepidoptera","Nymphalidae","Aglais","Aglais io",1,54,216,797,7017,1894779,4535827,FALSE,"Insecta",NA,NA
2269484,"Aglantha digitale (O.F.Müller, 1776)","species","ACCEPTED","EXACT","Aglantha digitale",98,"Animalia","Cnidaria","Trachymedusae","Rhopalonematidae","Aglantha","Aglantha digitale",1,43,205,709,3375,2269480,2269484,FALSE,"Hydrozoa",NA,NA
1907711,"Agraulis vanillae Linnaeus, 1758","species","ACCEPTED","EXACT","Agraulis vanillae",98,"Animalia","Arthropoda","Lepidoptera","Nymphalidae","Agraulis","Agraulis vanillae",1,54,216,797,7017,1907701,1907711,FALSE,"Insecta",NA,NA
2494800,"Ailuroedus crassirostris (Paykull, 1815)","species","ACCEPTED","EXACT","Ailuroedus crassirostris",98,"Animalia","Chordata","Passeriformes","Ptilonorhynchidae","Ailuroedus","Ailuroedus crassirostris",1,44,212,729,5276,2494794,2494800,FALSE,"Aves",NA,NA
2433399,"Ailuropoda melanoleuca (David, 1869)","species","ACCEPTED","EXACT","Ailuropoda melanoleuca",98,"Animalia","Chordata","Carnivora","Ursidae","Ailuropoda","Ailuropoda melanoleuca",1,44,359,732,9681,2433398,2433399,FALSE,"Mammalia",NA,NA
5219990,"Ailurops ursinus (Temminck, 1824)","species","ACCEPTED","EXACT","Ailurops ursinus",98,"Animalia","Chordata","Diprotodontia","Phalangeridae","Ailurops","Ailurops ursinus",1,44,359,1452,5459,2440292,5219990,FALSE,"Mammalia",NA,NA
5219446,"Ailurus fulgens F.G.Cuvier, 1825","species","ACCEPTED","EXACT","Ailurus fulgens",98,"Animalia","Chordata","Carnivora","Ailuridae","Ailurus","Ailurus fulgens",1,44,359,732,9673,3240045,5219446,FALSE,"Mammalia",NA,NA
2491946,"Aimophila aestivalis (M.H.K.Lichtenstein, 1823)","species","SYNONYM","EXACT","Aimophila aestivalis",98,"Animalia","Chordata","Passeriformes","Emberizidae","Peucaea","Peucaea aestivalis",1,44,212,729,9608,7341543,7341544,TRUE,"Aves",7341544,NA
2491961,"Aimophila ruficeps (Cassin, 1852)","species","ACCEPTED","EXACT","Aimophila ruficeps",98,"Animalia","Chordata","Passeriformes","Emberizidae","Aimophila","Aimophila ruficeps",1,44,212,729,9608,2491916,2491961,FALSE,"Aves",NA,NA
2257270,"Aiptasia pallida (Agassiz, 1864)","species","SYNONYM","EXACT","Aiptasia pallida",98,"Animalia","Cnidaria","Actiniaria","Aiptasiidae","Exaiptasia","Exaiptasia diaphana",1,43,206,705,9204,7850140,10638056,TRUE,"Anthozoa",10638056,NA
2498388,"Aix galericulata (Linnaeus, 1758)","species","ACCEPTED","EXACT","Aix galericulata",98,"Animalia","Chordata","Anseriformes","Anatidae","Aix","Aix galericulata",1,44,212,1108,2986,2498386,2498388,FALSE,"Aves",NA,NA
2498387,"Aix sponsa (Linnaeus, 1758)","species","ACCEPTED","EXACT","Aix sponsa",98,"Animalia","Chordata","Anseriformes","Anatidae","Aix","Aix sponsa",1,44,212,1108,2986,2498386,2498387,FALSE,"Aves",NA,NA
2480804,"Ajaia ajaja (Linnaeus, 1758)","species","SYNONYM","EXACT","Ajaia ajaja",98,"Animalia","Chordata","Pelecaniformes","Threskiornithidae","Platalea","Platalea ajaja",1,44,212,7190953,5288,2480798,2480803,TRUE,"Aves",2480803,NA
2437878,"Akodon azarae (Fischer, 1829)","species","ACCEPTED","EXACT","Akodon azarae",98,"Animalia","Chordata","Rodentia","Cricetidae","Akodon","Akodon azarae",1,44,359,1459,3240723,7791043,2437878,FALSE,"Mammalia",NA,NA
2437913,"Akodon cursor (Winge, 1887)","species","ACCEPTED","EXACT","Akodon cursor",98,"Animalia","Chordata","Rodentia","Cricetidae","Akodon","Akodon cursor",1,44,359,1459,3240723,7791043,2437913,FALSE,"Mammalia",NA,NA
4265083,"Akodon montensis Thomas, 1913","species","ACCEPTED","EXACT","Akodon montensis",98,"Animalia","Chordata","Rodentia","Cricetidae","Akodon","Akodon montensis",1,44,359,1459,3240723,7791043,4265083,FALSE,"Mammalia",NA,NA
4828888,"Akodon philipmyersi Pardiñas, D'Elia, Cirignoli & Suarez, 2005","species","ACCEPTED","EXACT","Akodon philipmyersi",98,"Animalia","Chordata","Rodentia","Cricetidae","Akodon","Akodon philipmyersi",1,44,359,1459,3240723,7791043,4828888,FALSE,"Mammalia",NA,NA
8948532,"Alaria americana","species","ACCEPTED","EXACT","Alaria americana",98,"Animalia","Platyhelminthes","Diplostomida","Diplostomidae","Alaria","Alaria americana",1,108,345,7393567,4859572,2503603,8948532,FALSE,"Trematoda",NA,NA
2287885,"Alasmidonta heterodon (I.Lea, 1829)","species","ACCEPTED","EXACT","Alasmidonta heterodon",97,"Animalia","Mollusca","Unionida","Unionidae","Alasmidonta","Alasmidonta heterodon",1,52,137,9301143,3461,2287884,2287885,FALSE,"Bivalvia",NA,NA
2287889,"Alasmidonta marginata Say, 1818","species","ACCEPTED","EXACT","Alasmidonta marginata",97,"Animalia","Mollusca","Unionida","Unionidae","Alasmidonta","Alasmidonta marginata",1,52,137,9301143,3461,2287884,2287889,FALSE,"Bivalvia",NA,NA
2287894,"Alasmidonta viridis (Rafinesque, 1820)","species","ACCEPTED","EXACT","Alasmidonta viridis",97,"Animalia","Mollusca","Unionida","Unionidae","Alasmidonta","Alasmidonta viridis",1,52,137,9301143,3461,2287884,2287894,FALSE,"Bivalvia",NA,NA
8077224,"Alauda arvensis Linnaeus, 1758","species","ACCEPTED","EXACT","Alauda arvensis",98,"Animalia","Chordata","Passeriformes","Alaudidae","Alauda","Alauda arvensis",1,44,212,729,7211,2490696,8077224,FALSE,"Aves",NA,NA
1162072,"Alaus oculatus (Linnaeus, 1758)","species","ACCEPTED","EXACT","Alaus oculatus",98,"Animalia","Arthropoda","Coleoptera","Elateridae","Alaus","Alaus oculatus",1,54,216,1470,7825,1162071,1162072,FALSE,"Insecta",NA,NA
5204104,"Albula vulpes (Linnaeus, 1758)","species","ACCEPTED","EXACT","Albula vulpes",98,"Animalia","Chordata","Albuliformes","Albulidae","Albula","Albula vulpes",1,44,204,1104,7163,2341074,5204104,FALSE,"Actinopterygii",NA,NA
8277073,"Alca torda Linnaeus, 1758","species","ACCEPTED","EXACT","Alca torda",98,"Animalia","Chordata","Charadriiformes","Alcidae","Alca","Alca torda",1,44,212,7192402,2985,2481308,8277073,FALSE,"Aves",NA,NA
2475532,"Alcedo atthis (Linnaeus, 1758)","species","ACCEPTED","EXACT","Alcedo atthis",98,"Animalia","Chordata","Coraciiformes","Alcedinidae","Alcedo","Alcedo atthis",1,44,212,1447,2984,2475493,2475532,FALSE,"Aves",NA,NA
5220185,"Alcelaphus buselaphus (Pallas, 1766)","species","ACCEPTED","EXACT","Alcelaphus buselaphus",98,"Animalia","Chordata","Artiodactyla","Bovidae","Alcelaphus","Alcelaphus buselaphus",1,44,359,731,9614,2441202,5220185,FALSE,"Mammalia",NA,NA
2440940,"Alces alces (Linnaeus, 1758)","species","ACCEPTED","EXACT","Alces alces",98,"Animalia","Chordata","Artiodactyla","Cervidae","Alces","Alces alces",1,44,359,731,5298,7816758,2440940,FALSE,"Mammalia",NA,NA
4262283,"Alces americanus (Clinton, 1822)","species","ACCEPTED","EXACT","Alces americanus",98,"Animalia","Chordata","Artiodactyla","Cervidae","Alces","Alces americanus",1,44,359,731,5298,7816758,4262283,FALSE,"Mammalia",NA,NA
2474029,"Alectoris chukar (J.E.Gray, 1830)","species","ACCEPTED","EXACT","Alectoris chukar",98,"Animalia","Chordata","Galliformes","Phasianidae","Alectoris","Alectoris chukar",1,44,212,723,9331,2474025,2474029,FALSE,"Aves",NA,NA
2401692,"Alepisaurus ferox Lowe, 1833","species","ACCEPTED","EXACT","Alepisaurus ferox",98,"Animalia","Chordata","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox",1,44,204,497,7178,2401689,2401692,FALSE,"Actinopterygii",NA,NA
2490875,"Alethe choloensis W.L.Sclater, 1927","species","SYNONYM","EXACT","Alethe choloensis",98,"Animalia","Chordata","Passeriformes","Turdidae","Pseudalethe","Pseudalethe choloensis",1,44,212,729,5290,7341370,7341373,TRUE,"Aves",7341373,NA
2439489,"Allactaga elater (Lichtenstein, 1828)","species","ACCEPTED","EXACT","Allactaga elater",98,"Animalia","Chordata","Rodentia","Dipodidae","Allactaga","Allactaga elater",1,44,359,1459,9435,2439481,2439489,FALSE,"Mammalia",NA,NA
2439484,"Allactaga euphratica Thomas, 1881","species","ACCEPTED","EXACT","Allactaga euphratica",98,"Animalia","Chordata","Rodentia","Dipodidae","Allactaga","Allactaga euphratica",1,44,359,1459,9435,2439481,2439484,FALSE,"Mammalia",NA,NA
2439486,"Allactaga tetradactyla (Lichtenstein, 1823)","species","ACCEPTED","EXACT","Allactaga tetradactyla",98,"Animalia","Chordata","Rodentia","Dipodidae","Allactaga","Allactaga tetradactyla",1,44,359,1459,9435,2439481,2439486,FALSE,"Mammalia",NA,NA
2439459,"Allactodipus bobrinskii Kolesnikov, 1937","species","ACCEPTED","EXACT","Allactodipus bobrinskii",98,"Animalia","Chordata","Rodentia","Dipodidae","Allactodipus","Allactodipus bobrinskii",1,44,359,1459,9435,2439458,2439459,FALSE,"Mammalia",NA,NA
2481299,"Alle alle (Linnaeus, 1758)","species","ACCEPTED","EXACT","Alle alle",98,"Animalia","Chordata","Charadriiformes","Alcidae","Alle","Alle alle",1,44,212,7192402,2985,2481298,2481299,FALSE,"Aves",NA,NA
2436620,"Allenopithecus nigroviridis (Pocock, 1907)","species","ACCEPTED","EXACT","Allenopithecus nigroviridis",98,"Animalia","Chordata","Primates","Cercopithecidae","Allenopithecus","Allenopithecus nigroviridis",1,44,359,798,9622,2436619,2436620,FALSE,"Mammalia",NA,NA
2441370,"Alligator mississippiensis (Daudin, 1802)","species","ACCEPTED","EXACT","Alligator mississippiensis",98,"Animalia","Chordata","Crocodylia","Alligatoridae","Alligator","Alligator mississippiensis",1,44,358,704,3238603,2441367,2441370,FALSE,"Reptilia",NA,NA
2441368,"Alligator sinensis Fauvel, 1879","species","ACCEPTED","EXACT","Alligator sinensis",98,"Animalia","Chordata","Crocodylia","Alligatoridae","Alligator","Alligator sinensis",1,44,358,704,3238603,2441367,2441368,FALSE,"Reptilia",NA,NA
2436445,"Allocebus trichotis (Günther, 1875)","species","ACCEPTED","EXACT","Allocebus trichotis",98,"Animalia","Chordata","Primates","Cheirogaleidae","Allocebus","Allocebus trichotis",1,44,359,798,9419,2436444,2436445,FALSE,"Mammalia",NA,NA
