internal_ref_1,internal_ref_2,sample_name,K,K_unit,Mg,Mg_unit,P,P_unit
R108563 ,2207-E0108563,F-2441030-103-g1-1 Hippotragus equinus - Feces,1.76,%,3431,mg/kg,6098,mg/kg
R108564 ,2207-E0108564,F-2441105-103-i1-1 Connochaetes taurinus - Feces,1.17,%,4304,mg/kg,9263,mg/kg
R108565 ,2207-E0108565,F-2434126-103-i1-1 Suricata suricatta - Feces,1.81,%,1179,mg/kg,697,mg/kg
R108566 ,2207-E0108566,F-2435350-103-i3-1 Loxodonta africana - Feces,1.45,%,1823,mg/kg,3241,mg/kg
R108567 ,2207-E0108567,F-5219426-800-i-1 Panthera onca - Feces,598,mg/kg,2011,mg/kg,5.28,%
R108568 ,2207-E0108568,F-5220166-103-i1-1 Oryx gazella - Feces,7422,mg/kg,4070,mg/kg,7892,mg/kg
R108569 ,2207-E0108569,F-2441225-568-g1-1 Potamochoerus porcus - Feces,1.11,%,3078,mg/kg,1.43,%
R108570 ,2207-E0108570,F-2433480-800-i1-1 Arctocephalus australis - Feces,1351,mg/kg,9234,mg/kg,10.6,%
R108571 ,2207-E0108571,F-2460820-619-i1-1 Heloderma horridum - Feces,2231,mg/kg,758,mg/kg,2.43,%
R108572 ,2207-E0108572,F-2438569-568-g1-1 Phloeomys pallidus - Feces,1.79,%,3527,mg/kg,1.75,%
R108573 ,2207-E0108573,F-5220160-103-g2-1 Kobus ellipsiprymnus - Feces,1.8,%,3119,mg/kg,5357,mg/kg
R108574 ,2207-E0108574,F-2440880-800-i-1 Ceratotherium simum - Feces,1.45,%,1089,mg/kg,2144,mg/kg
R108575 ,2207-E0108575,F-2435023-568-i1-1 Felis manul - Feces,1500,mg/kg,4427,mg/kg,5.5,%
R108576 ,2207-E0108576,F-2435270-103-g1-1 Acinonyx jubatus - Feces,3564,mg/kg,6080,mg/kg,6.01,%
R108577 ,2207-E0108577,F-5221988-800-i1-1 Furcifer pardalis - Feces,1.7,%,1287,mg/kg,8666,mg/kg
R108578 ,2207-E0108578,F-5219446-103-g1-1 Ailurus fulgens - Feces,1.05,%,1300,mg/kg,410,mg/kg
R108579 ,2207-E0108579,F-2435350-103-i2-1 Loxodonta africana - Feces,1.89,%,1903,mg/kg,5311,mg/kg
R108580 ,2207-E0108580,F-2436441-925-i1-1 Gorilla gorilla - Feces,1.21,%,3020,mg/kg,1.4,%
R108581 ,2207-E0108581,F-9306956-103-i3-1 Giraffa giraffa angolensis - Feces,6815,mg/kg,2850,mg/kg,7924,mg/kg
R108582 ,2207-E0108582,F-5225715-103-i1-1 Aspidites ramsayi - Feces,2.47,%,356,mg/kg,525,mg/kg
R108583 ,2207-E0108583,F-2495150-103-g1-1 Struthio camelus - Feces,1.43,%,3691,mg/kg,6961,mg/kg
R108584 ,2207-E0108584,F-5219426-800-i-3 Panthera onca - Feces,1097,mg/kg,5883,mg/kg,11.3,%
R108585 ,2207-E0108585,F-2465380-299-i3-1 Python regius - Feces,9050,mg/kg,3179,mg/kg,4.87,%
R108586 ,2207-E0108586,F-5219439-568-i1-1 Panthera pardus japonensis - Feces,919,mg/kg,1392,mg/kg,3.8,%
R108587 ,2207-E0108587,F-2434126-103-g1-1 Suricata suricatta - Feces,9660,mg/kg,1883,mg/kg,1567,mg/kg
R108588 ,2207-E0108588,F-5219404-103-g1-1 Panthera leo - Feces,2002,mg/kg,8558,mg/kg,8.78,%
R108589 ,2207-E0108589,F-5220166-103-i2-1 Oryx gazella - Feces,6680,mg/kg,3179,mg/kg,7761,mg/kg
R108590 ,2207-E0108590,F-5220162-103-g1-1 Kobus leche - Feces,1.73,%,3099,mg/kg,1.01,%
R108591 ,2207-E0108591,F-5960862-800-i1-1 Vipera berus - Feces,2.58,%,3496,mg/kg,4.39,%
R108592 ,2207-E0108592,F-5219293-568-i1-1 Vulpes corsac - Feces,7276,mg/kg,2354,mg/kg,1.37,%
R108593 ,2207-E0108593,F-5219426-103-i1-1 Panthera onca - Feces,1670,mg/kg,1.73,%,12.1,%
R108594 ,2207-E0108594,F-5219420-103-i2-1 Panthera tigris altaica - Feces,994,mg/kg,5413,mg/kg,12.8,%
R108595 ,2207-E0108595,F-5219426-800-i-2 Panthera onca - Feces,7529,mg/kg,2139,mg/kg,4334,mg/kg
R108596 ,2207-E0108596,F-2465380-299-i2-1 Python regius - Feces,2967,mg/kg,3743,mg/kg,6.87,%
R108597 ,2207-E0108597,F-5219420-103-i1-1 Panthera tigris altaica - Feces,1605,mg/kg,7011,mg/kg,13.5,%
R108598 ,2207-E0108598,F-2465128-800-i1-1 Sanzinia madagascariensis - Feces,5006,mg/kg,6053,mg/kg,2.28,%
R108599 ,2207-E0108599,F-5787061-103-g1-1 Tragelaphus oryx - Feces,7391,mg/kg,5920,mg/kg,8087,mg/kg
R108600 ,2207-E0108600,F-5217956-800-i1-1 Trachycephalus resinifictrix - Feces,1.33,%,2140,mg/kg,11207,mg/kg
R108601 ,2207-E0108601,F-2465380-299-i1-1 Python regius - Feces,1.02,%,3870,mg/kg,6.92,%
R108602 ,2207-E0108602,F-5219446-925-i2-1 Ailurus fulgens - Feces,9955,mg/kg,2196,mg/kg,8586,mg/kg
R108603 ,2207-E0108603,F-2465380-299-i4-1 Python regius - Feces,4324,mg/kg,4906,mg/kg,7.07,%
R108604 ,2207-E0108604,F-5220164-568-g1-1 Oryx leucoryx - Feces,2345,mg/kg,2712,mg/kg,4237,mg/kg
R108605 ,2207-E0108605,F-5220192-925-i1-1 Vicugna vicugna - Feces,8712,mg/kg,6750,mg/kg,1.44,%
R108606 ,2207-E0108606,F-2434444-800-i1-1 Speothos venaticus - Feces,3951,mg/kg,4831,mg/kg,2.12,%
R108607 ,2207-E0108607,F-249513-568-g1-1 Dromaius novaehollandiae - Feces,2.34,%,4110,mg/kg,2120,mg/kg
R108608 ,2207-E0108608,F-2435296-800-i1-1 Trichechus manatus - Feces,5976,mg/kg,4256,mg/kg,1.34,%
R108609 ,2207-E0108609,F-9055455-103-g1-1 Camelus dromedarius - Feces,1.78,%,2773,mg/kg,5144,mg/kg
R108610 ,2207-E0108610,F-2435238-568-g1-1 Uncia uncia - Feces,1013,mg/kg,3147,mg/kg,2.84,%
R108611 ,2207-E0108611,F-2440940-637-i1-1 Alces alces - Feces,2063,mg/kg,5711,mg/kg,9511,mg/kg
R108612 ,2207-E0108612,F-2495150-823-i-1 Struthio camelus - Feces,9529,mg/kg,7419,mg/kg,6264,mg/kg
R108613 ,2207-E0108613,F-2436441-925-i4-1 Gorilla gorilla - Feces,7712,mg/kg,3353,mg/kg,1.08,%
R108614 ,2207-E0108614,F-2441055-927-i1-1 Capra ibex - Feces,3755,mg/kg,2157,mg/kg,6693,mg/kg
R108615 ,2207-E0108615,F-5220165-103-g1-1 Oryx dammah - Feces,4815,mg/kg,5027,mg/kg,9033,mg/kg
R108616 ,2207-E0108616,F-5220165-103-g2-1 Oryx dammah - Feces,1704,mg/kg,5051,mg/kg,8194,mg/kg
R108617 ,2207-E0108617,F-5220160-103-g1-1 Kobus ellipsiprymnus - Feces,1.58,%,3853,mg/kg,6280,mg/kg
R108618 ,2207-E0108618,F-2440894-823-i-1 Equus grevyi - Feces,1.06,%,1859,mg/kg,2988,mg/kg
R108619 ,2207-E0108619,F-6066824-637-i1-1 Erethizon dorsatus - Feces,7198,mg/kg,5528,mg/kg,2.22,%
R108620 ,2207-E0108620,F-2434450-925-i1-1 Chrysocyon brachyurus - Feces,5773,mg/kg,2979,mg/kg,1.67,%
R108622 ,2207-E0108622,F-2441205-800-g1-1 Giraffa camelopardalis - Feces,7408,mg/kg,3354,mg/kg,7952,mg/kg
R108623 ,2207-E0108623,F-5219362-927-i1-1 Genetta genetta - Feces,183,mg/kg,788,mg/kg,1.5,%
R108624 ,2207-E0108624,F-5220190-103-g1-1 Lama glama - Feces,7085,mg/kg,3252,mg/kg,4667,mg/kg
R108625 ,2207-E0108625,F-2440880-925-i2-1 Ceratotherium simum - Feces,9071,mg/kg,1414,mg/kg,4195,mg/kg
R108626 ,2207-E0108626,F-2435350-103-i4-1 Loxodonta africana - Feces,1.94,%,2104,mg/kg,5256,mg/kg
R108627 ,2207-E0108627,F-2434615-637-i1-1 Arctictis binturong - Feces,2.42,%,3148,mg/kg,2.38,%
R108628 ,2207-E0108628,F-5219446-637-i1-1 Ailurus fulgens - Feces,1.28,%,2263,mg/kg,3122,mg/kg
R108629 ,2207-E0108629,F-2441215-568-g1-1 Sus cebifrons - Feces,1.11,%,4084,mg/kg,1.55,%
R108630 ,2207-E0108630,F-2441205-925-i3-1 Giraffa camelopardalis - Feces,5472,mg/kg,2699,mg/kg,5045,mg/kg
R108631 ,2207-E0108631,F-2433536-103-g1-1 Nasua nasua - Feces,5781,mg/kg,4054,mg/kg,1.78,%
R108632 ,2207-E0108632,F-2441050-568-g1-1 Capra falconeri - Feces,4221,mg/kg,3049,mg/kg,7159,mg/kg
R108633 ,2207-E0108633,F-5219446-637-i2-1 Ailurus fulgens - Feces,1.17,%,2394,mg/kg,734,mg/kg
R108634 ,2207-E0108634,F-2436346-909-i1-1 Myrmecophaga tridactyla - Feces,6207,mg/kg,2233,mg/kg,1.41,%
R108635 ,2207-E0108635,F-5219963-103-g1-1 Macropus rufus - Feces,5983,mg/kg,3417,mg/kg,6290,mg/kg
R108636 ,2207-E0108636,F-8285095-103-g1-1 Salvator rufescens - Feces,1.34,%,235,mg/kg,653,mg/kg
R108637 ,2207-E0108637,F-5219446-925-i1-1 Ailurus fulgens - Feces,1.03,%,2194,mg/kg,7922,mg/kg
R108638 ,2207-E0108638,F-2441019-103-g1-1 Bos grunniens - Feces,2121,mg/kg,3112,mg/kg,4491,mg/kg
R108639 ,2207-E0108639,F-2436346-909-i2-1 Myrmecophaga tridactyla - Feces,3940,mg/kg,1810,mg/kg,7885,mg/kg
R108640 ,2207-E0108640,F-2441008-568-g1-1 Pseudois nayaur - Feces,2288,mg/kg,2823,mg/kg,4939,mg/kg
R108641 ,2207-E0108641,F-5218887-927-i1-1 Martes foina - Feces,4645,mg/kg,2416,mg/kg,2.98,%
R108642 ,2207-E0108642,F-2436441-925-i2-1 Gorilla gorilla - Feces,8821,mg/kg,2585,mg/kg,8687,mg/kg
R108643 ,2207-E0108643,F-2440911-637-i1-1 Pudu puda - Feces,1329,mg/kg,6921,mg/kg,9298,mg/kg
R108644 ,2207-E0108644,F-5219446-637-i3-1 Ailurus fulgens - Feces,1.97,%,3695,mg/kg,9992,mg/kg
R108645 ,2207-E0108645,F-2437582-568-g1-1 Dasyprocta azarae - Feces,2.34,%,4096,mg/kg,2.19,%
R108646 ,2207-E0108646,F-2441533-103-g1-1 Centrochelys sulcata - Feces,6.02,%,3414,mg/kg,5821,mg/kg
R108647 ,2207-E0108647,F-2495134-103-g1-1 Dromaius novaehollandiae - Feces,2.93,%,2935,mg/kg,4041,mg/kg
R108648 ,2207-E0108648,F-2423146-619-g1-1 Rhaebo guttatus - Feces,1.73,%,2304,mg/kg,1.6,%
R108649 ,2207-E0108649,F-9055455-103-i2-1 Camelus dromedarius - Feces,1.58,%,2110,mg/kg,5615,mg/kg
R108650 ,2207-E0108650,F-1866570-334-i2-1 Antheraea pylyphemus - Feces,4571,mg/kg,1604,mg/kg,1105,mg/kg
R108651 ,2207-E0108651,F-2468542-800-i1-1 Timon lepidus - Feces,1.41,%,5221,mg/kg,1.58,%
R108652 ,2207-E0108652,F-2441454-800-g1-1 Lestudo hermanni - Feces,3586,mg/kg,1.11,%,3.26,%
R108653 ,2207-E0108653,F-5220113-909-i2-1 Rhinoceros unicornis - Feces,1.61,%,1787,mg/kg,4631,mg/kg
R108654 ,2207-E0108654,F-2441064-823-i-1 Antidorcas marsupialis - Feces,3689,mg/kg,6789,mg/kg,7713,mg/kg
R108655 ,2207-E0108655,F-2466109-103-g1-1 Uromastyx acanthinura - Feces,3256,mg/kg,1176,mg/kg,2243,mg/kg
R108656 ,2207-E0108656,F-2440946-637-i1-1 Muntiacus reevesi - Feces,2249,mg/kg,7260,mg/kg,8710,mg/kg
R108657 ,2207-E0108657,F-2435350-909-i2-1 Loxodonta africana - Feces,1.02,%,1563,mg/kg,3251,mg/kg
R108658 ,2207-E0108658,F-5219981-568-g1-1 Macropus giganteus - Feces,7264,mg/kg,2279,mg/kg,3959,mg/kg
R108659 ,2207-E0108659,F-2434450-925-i2-1 Chrysocyon brachyurus - Feces,1.48,%,6110,mg/kg,9020,mg/kg
R108660 ,2207-E0108660,F-2441105-823-i-1 Connochaetes taurinus - Feces,1.75,%,5809,mg/kg,4499,mg/kg
R108661 ,2207-E0108661,F-2441205-925-i1-1 Giraffa camelopardalis - Feces,6572,mg/kg,4176,mg/kg,9199,mg/kg
R108662 ,2207-E0108662,F-2440880-823-i2-1 Ceratotherium simum - Feces,8004,mg/kg,1182,mg/kg,1838,mg/kg
R108663 ,2207-E0108663,F-4267377-568-g1-1 Equus caballus przewalskii - Feces,1.65,%,2076,mg/kg,3806,mg/kg
