"species_names","body_mass","diet","source_body_mass","comments"
"bos_taurus",NA,NA,NA,NA
"dama_dama",NA,NA,NA,NA
"bison_bonasus",NA,NA,NA,NA
"cervus_elaphus",NA,NA,NA,NA
"sus_scrofa",NA,NA,NA,NA
"lepus_europaeus",NA,NA,NA,NA
"oryctolagus_cuniculus",NA,NA,NA,NA
"equus_caballus",NA,NA,NA,NA
"capreolus_capreolus",NA,NA,NA,NA
"ovis_aries",NA,NA,NA,NA
"syncerus_caffer",NA,NA,NA,NA
"tragelaphus_scriptus",NA,NA,NA,NA
"loxodonta_africana",NA,NA,NA,NA
"giraffa_camelopardalis",NA,NA,NA,NA
"sylvicapra_grimmia",NA,NA,NA,NA
"lepus_saxatilis",NA,NA,NA,NA
"alcelaphus_lichtensteinii",NA,NA,NA,NA
"thryonomys_swinderianus",NA,NA,NA,NA
"cephalophus_natalensis",NA,NA,NA,NA
"redunca_redunca",NA,NA,NA,NA
"neotragus_moschatus",NA,NA,NA,NA
"phacochoerus_africanus",NA,NA,NA,NA
"kobus_ellipsiprymnus",NA,NA,NA,NA
"connochaetes_taurinus",NA,NA,NA,NA
"equus_quagga",NA,NA,NA,NA
"equus_africanus",NA,NA,NA,NA
"pteropus_rodricensis",NA,NA,NA,NA
"desmodus_rotundus",NA,NA,NA,NA
"tadarida_brasiliensis",NA,NA,NA,NA
"aepyceros_melampus",NA,NA,NA,NA
"rangifer_tarandus",NA,NA,NA,NA
"ovis_canadensis",NA,NA,NA,NA
"madoqua_kirkii",NA,NA,NA,NA
"taurotragus_oryx",NA,NA,NA,NA
"tragelaphus_strepsiceros",NA,NA,NA,NA
"eudorcas_rufifrons",NA,NA,NA,NA
"equus_grevyi",NA,NA,NA,NA
"lynx_lynx",NA,NA,NA,NA
"canis_lupus",NA,NA,NA,NA
"vulpes_vulpes",NA,NA,NA,NA
"ursus_arctos",NA,NA,NA,NA
"cervus_nippon",NA,NA,NA,NA
"camelus_dromedarius",NA,NA,NA,NA
"odocoileus_hemionus",NA,NA,NA,NA
"rupicapra_pyrenaica",NA,NA,NA,NA
"pteropus_vampyrus",NA,NA,NA,NA
"taphozous_melanopogon",NA,NA,NA,NA
"rhinopoma_hardwickii",NA,NA,NA,NA
"rhinopoma_microphyllum",NA,NA,NA,NA
"scotophilus_heathii",NA,NA,NA,NA
"scotophilus_kuhlii",NA,NA,NA,NA
"taphozous_nudiventris",NA,NA,NA,NA
"lyroderma_lyra",NA,NA,NA,NA
"mustela_vison",NA,NA,NA,NA
