"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Choerodon fasciatus","2383012","2383012","Perciformes","Labridae","Choerodon","ACCEPTED","Choerodon fasciatus","Carnivore, Carnivore: Eats non-insect arthropods, Carnivore: Molluscivore, Carnivore: Vermivore","YES","","","","YES","","","","","","","",NA,"",NA,"Fish, Mollusks, Aquatic or Marine Worms, Aquatic Crustaceans, Echinoderms","","","","","YES","","","","","","","YES","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","","","choerodon_fasciatus",NA
"Choeronycteris mexicana","2433207","2433207","Chiroptera","Phyllostomidae","Choeronycteris","ACCEPTED","Choeronycteris mexicana","Herbivore, Herbivore: Frugivore, Herbivore: Nectarivore","","","","","","","YES","YES","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Fruit, Nectar, Pollen","","","","","YES","YES","YES","","","","","","","","","","",NA,NA,"YES","","","","choeronycteris_mexicana",0.025
"Choloepus didactylus","5219519","5219519","Pilosa","Megalonychidae","Choloepus","ACCEPTED","Choloepus didactylus","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","choloepus_didactylus",6
"Choloepus hoffmanni","5219520","5219520","Pilosa","Megalonychidae","Choloepus","ACCEPTED","Choloepus hoffmanni","Herbivore, Herbivore: Folivore","","","","","","","YES","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","Leaves, Wood, bark, or stems, Fruit, Flowers, Algae","YES","","YES","","YES","","","YES","","","","YES","","","","","",NA,NA,"YES","","YES","","choloepus_hoffmanni",6
"Chondestes grammacus","2491651","2491651","Passeriformes","Emberizidae","Chondestes","ACCEPTED","Chondestes grammacus","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","chondestes_grammacus",0.029
"Chordeiles acutipennis","2497052","2497052","Caprimulgiformes","Caprimulgidae","Chordeiles","ACCEPTED","Chordeiles acutipennis","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","chordeiles_acutipennis",NA
"Chordeiles minor","2497035","2497035","Caprimulgiformes","Caprimulgidae","Chordeiles","ACCEPTED","Chordeiles minor","Carnivore, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","chordeiles_minor",0.0815
"Chromis cyanea","5212147","5212147","Perciformes","Pomacentridae","Chromis","ACCEPTED","Chromis cyanea","Carnivore, Carnivore: Eats eggs, Carnivore: Eats non-insect arthropods, Carnivore: Eats other marine invertebrates, Planktivore","YES","","","","","YES","","","","","","YES",NA,"",NA,"Fish, Aquatic Crustaceans, Cnidarians, Other Marine Invertebrates, Zooplankton","","","","","YES","","","","","","","","","","YES","","YES","YES","YES","Algae, Phytoplankton","","","","","","","","","","","","YES","","YES","","","",NA,NA,"","YES","YES","","chromis_cyanea",NA
"Chrosomus cumberlandensis","2365380","2365380","Cypriniformes","Cyprinidae","Chrosomus","ACCEPTED","Chrosomus cumberlandensis","Herbivore, Herbivore: Algivore","","","","","","","YES","","","YES","","",NA,"",NA,"Insects","","","","","","","","","","YES","","","","","","","","","","Algae","","","","","","","","","","","","YES","","","","","",NA,NA,"","YES","YES","","chrosomus_cumberlandensis",NA
"Chrosomus erythrogaster","2365382","2365382","Cypriniformes","Cyprinidae","Chrosomus","ACCEPTED","Chrosomus erythrogaster","Carnivore, Carnivore: Insectivore, Herbivore, Herbivore: Algivore, Detritivore","YES","","","YES","","","YES","","","YES","","",NA,"YES",NA,"Insects, Other Marine Invertebrates","","","","","","","","","","YES","","","","","","","","YES","","Algae","","","","","","","","","","","","YES","","","Detritus","","YES",NA,NA,"","","","","chrosomus_erythrogaster",NA
"Chrotogale owstoni","2434674","2434674","Carnivora","Viverridae","Chrotogale","ACCEPTED","Chrotogale owstoni","Carnivore, Carnivore: Vermivore","YES","","","","","","","","","","","",NA,"",NA,"Mammals, Amphibians, Reptiles, Insects, Terrestrial Non-insect Arthropods","","YES","YES","YES","","","","","","YES","YES","","","","","","","","","Fruit","","","","","YES","","","","","","","","","","","","",NA,NA,"YES","","","","chrotogale_owstoni",2.5
"Chrotopterus auritus","5218753","5218753","Chiroptera","Phyllostomidae","Chrotopterus","ACCEPTED","Chrotopterus auritus","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","","","YES","","","","","","","","",NA,"",NA,"Birds, Mammals, Amphibians, Reptiles, Insects","YES","YES","YES","YES","","","","","","YES","","","","","","","","","","Fruit","","","","","YES","","","","","","","","","","","","",NA,NA,"YES","","","YES","chrotopterus_auritus",0.0855
"Chrysaora hysoscella","5185425","5185425","Semaeostomeae","Pelagiidae","Chrysaora","ACCEPTED","Chrysaora hysoscella","Carnivore, Carnivore: Eats non-insect arthropods, Planktivore","YES","","","","","","","","","","","YES",NA,"",NA,"Aquatic Crustaceans, Other Marine Invertebrates, Zooplankton","","","","","","","","","","","","","","","YES","","","YES","YES","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","chrysaora_hysoscella",1.3
"Chrysaora quinquecirrha","5185413","5185413","Semaeostomeae","Pelagiidae","Chrysaora","ACCEPTED","Chrysaora quinquecirrha","Carnivore, Carnivore: Piscivore, Carnivore: Eats eggs, Carnivore: Eats non-insect arthropods, Carnivore: Vermivore, Carnivore: Eats other marine invertebrates, Planktivore","YES","YES","","","","YES","","","","","","YES",NA,"",NA,"Fish, Eggs, Aquatic or Marine Worms, Aquatic Crustaceans, Cnidarians, Zooplankton","","","","","YES","YES","","","","","","","","YES","YES","","YES","","YES","","","","","","","","","","","","","","","","","","",NA,NA,"","YES","YES","","chrysaora_quinquecirrha",NA
"Chrysemys picta","2443133","2443133","Testudines","Emydidae","Chrysemys","ACCEPTED","Chrysemys picta","Omnivore","","","","","","","","","","","YES","",NA,"",NA,"Fish, Carrion, Insects, Aquatic Crustaceans","","","","","YES","","","","YES","YES","","","","","YES","","","","","Leaves, Algae, Macroalgae","YES","","","","","","","","","","","YES","YES","","","","",NA,NA,"","YES","YES","","chrysemys_picta",0.0575
"Chrysochloris stuhlmanni","2432178","2432178","Afrosoricida","Chrysochloridae","Chrysochloris","ACCEPTED","Chrysochloris stuhlmanni","","","","","","","","","","","","","",NA,"",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"YES","","","","chrysochloris_stuhlmanni",NA
