Family,Genus,CommonName,Species,Species (ITIS),Habitat_Forest,Habitat_Savanna,Habitat_Shrubland,Habitat_Grassland,Habitat_Wetlands,Habitat_Rocky areas,Habitat_Desert,Refs1,Refs2
Indriidae,Avahi,Southern_Woolly_Lemur,Avahi_meridionalis,Avahi_meridionalis,1,0,0,0,0,0,0,227,NA
Indriidae,Avahi,Masoala_Woolly_Lemur,Avahi_mooreorum,Avahi_mooreorum,1,0,0,0,0,0,0,227,NA
Indriidae,Avahi,Western_Woolly_Lemur,Avahi_occidentalis,Avahi_occidentalis,1,0,0,0,0,0,0,227,NA
Indriidae,Avahi,Peyrieras_s_Woolly_Lemur,Avahi_peyrierasi,Avahi_peyrierasi,1,0,0,0,0,0,0,227,NA
Indriidae,Avahi,Manombo_Woolly_Lemur,Avahi_ramanantsoavanai,Avahi_ramanantsoavanai,1,0,0,0,0,0,0,227,NA
Indriidae,Avahi,Sambirano_Woolly_Lemur,Avahi_unicolor,Avahi_unicolor,1,0,0,0,0,0,0,227,NA
Atelidae,Brachyteles,Southern_Muriqui,Brachyteles_arachnoides,Brachyteles_arachnoides,1,0,0,0,0,0,0,227,NA
Atelidae,Brachyteles,Northern_Muriqui,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,1,0,0,0,0,0,0,227,NA
Pitheciidae,Cacajao,Ayres_Black_Uakari,NA,Cacajao_ayresi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitheciidae,Cacajao,Bald_Uacari,Cacajao_calvus,Cacajao_calvus,1,0,0,0,0,0,0,227,NA
Pitheciidae,Cacajao,Black_headed_Uacari,NA,Cacajao_hosomi,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitheciidae,Cacajao,Black_headed_Uacari,Cacajao_melanocephalus,Cacajao_melanocephalus,1,0,0,0,0,0,0,227,NA
Pitheciidae,Cacajao,Spix_s_Black_headed_Uacari,Cacajao_ouakary,NA,1,0,1,0,0,0,0,406,NA
Callitrichidae,Callibella,Black_crowned_Dwarf_Marmoset,Callibella_humilis,NA,1,0,0,0,0,0,0,227,NA
