"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
5219746,"Psammomys vexillaris Thomas, 1925","species","ACCEPTED","EXACT","Psammomys vexillaris",98,"Animalia","Chordata","Rodentia","Muridae","Psammomys","Psammomys vexillaris",1,44,359,1459,5510,2437848,5219746,FALSE,"Mammalia",NA,NA
2437935,"Rhombomys opimus (Lichtenstein, 1823)","species","ACCEPTED","EXACT","Rhombomys opimus",98,"Animalia","Chordata","Rodentia","Muridae","Rhombomys","Rhombomys opimus",1,44,359,1459,5510,2437934,2437935,FALSE,"Mammalia",NA,NA
2438045,"Sekeetamys calurus (Thomas, 1892)","species","ACCEPTED","EXACT","Sekeetamys calurus",98,"Animalia","Chordata","Rodentia","Muridae","Sekeetamys","Sekeetamys calurus",1,44,359,1459,5510,2438044,2438045,FALSE,"Mammalia",NA,NA
2438134,"Tatera indica (Hardwicke, 1807)","species","ACCEPTED","EXACT","Tatera indica",98,"Animalia","Chordata","Rodentia","Muridae","Tatera","Tatera indica",1,44,359,1459,5510,2438131,2438134,FALSE,"Mammalia",NA,NA
4264824,"Taterillus tranieri Dobigny, Granjon, B.a.Aniskin & Volobouev, 2003","species","ACCEPTED","EXACT","Taterillus tranieri",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus tranieri",1,44,359,1459,5510,2439211,4264824,FALSE,"Mammalia",NA,NA
2439214,"Taterillus arenarius Robbins, 1974","species","ACCEPTED","EXACT","Taterillus arenarius",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus arenarius",1,44,359,1459,5510,2439211,2439214,FALSE,"Mammalia",NA,NA
2439219,"Taterillus congicus Thomas, 1915","species","ACCEPTED","EXACT","Taterillus congicus",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus congicus",1,44,359,1459,5510,2439211,2439219,FALSE,"Mammalia",NA,NA
2439216,"Taterillus emini (Thomas, 1892)","species","ACCEPTED","EXACT","Taterillus emini",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus emini",1,44,359,1459,5510,2439211,2439216,FALSE,"Mammalia",NA,NA
2439217,"Taterillus pygargus (F.Cuvier, 1838)","species","ACCEPTED","EXACT","Taterillus pygargus",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus pygargus",1,44,359,1459,5510,2439211,2439217,FALSE,"Mammalia",NA,NA
2439213,"Taterillus gracilis (Thomas, 1892)","species","ACCEPTED","EXACT","Taterillus gracilis",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus gracilis",1,44,359,1459,5510,2439211,2439213,FALSE,"Mammalia",NA,NA
2439218,"Taterillus harringtoni (Thomas, 1906)","species","ACCEPTED","EXACT","Taterillus harringtoni",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus harringtoni",1,44,359,1459,5510,2439211,2439218,FALSE,"Mammalia",NA,NA
2439215,"Taterillus lacustris (Thomas & Wroughton, 1907)","species","ACCEPTED","EXACT","Taterillus lacustris",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus lacustris",1,44,359,1459,5510,2439211,2439215,FALSE,"Mammalia",NA,NA
2439212,"Taterillus petteri Sicard, Tranier & Gautun, 1988","species","ACCEPTED","EXACT","Taterillus petteri",98,"Animalia","Chordata","Rodentia","Muridae","Taterillus","Taterillus petteri",1,44,359,1459,5510,2439211,2439212,FALSE,"Mammalia",NA,NA
2438331,"Ammodillus imbellis (de Winton, 1898)","species","ACCEPTED","EXACT","Ammodillus imbellis",98,"Animalia","Chordata","Rodentia","Muridae","Ammodillus","Ammodillus imbellis",1,44,359,1459,5510,2438330,2438331,FALSE,"Mammalia",NA,NA
2438980,"Brachiones przewalskii (Büchner, 1889)","species","ACCEPTED","EXACT","Brachiones przewalskii",98,"Animalia","Chordata","Rodentia","Muridae","Brachiones","Brachiones przewalskii",1,44,359,1459,5510,2438979,2438980,FALSE,"Mammalia",NA,NA
2437685,"Desmodilliscus braueri Wettstein, 1916","species","ACCEPTED","EXACT","Desmodilliscus braueri",98,"Animalia","Chordata","Rodentia","Muridae","Desmodilliscus","Desmodilliscus braueri",1,44,359,1459,5510,2437684,2437685,FALSE,"Mammalia",NA,NA
2437723,"Desmodillus auricularis (A.Smith, 1834)","species","ACCEPTED","EXACT","Desmodillus auricularis",98,"Animalia","Chordata","Rodentia","Muridae","Desmodillus","Desmodillus auricularis",1,44,359,1459,5510,2437722,2437723,FALSE,"Mammalia",NA,NA
4264983,"Dipodillus simoni (Lataste, 1881)","species","ACCEPTED","EXACT","Dipodillus simoni",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus simoni",1,44,359,1459,5510,4264980,4264983,FALSE,"Mammalia",NA,NA
4264981,"Dipodillus maghrebi (Schlitter & Setzer, 1972)","species","ACCEPTED","EXACT","Dipodillus maghrebi",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus maghrebi",1,44,359,1459,5510,4264980,4264981,FALSE,"Mammalia",NA,NA
4264982,"Dipodillus zakariai Cockrum, Vaughn & Vaughn, 1976","species","ACCEPTED","EXACT","Dipodillus zakariai",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus zakariai",1,44,359,1459,5510,4264980,4264982,FALSE,"Mammalia",NA,NA
4264985,"Dipodillus jamesi (Harrison, 1967)","species","ACCEPTED","EXACT","Dipodillus jamesi",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus jamesi",1,44,359,1459,5510,4264980,4264985,FALSE,"Mammalia",NA,NA
4264992,"Dipodillus lowei (Thomas & Hinton, 1923)","species","ACCEPTED","EXACT","Dipodillus lowei",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus lowei",1,44,359,1459,5510,4264980,4264992,FALSE,"Mammalia",NA,NA
4264987,"Dipodillus mackilligini Thomas, 1904","species","ACCEPTED","EXACT","Dipodillus mackilligini",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus mackilligini",1,44,359,1459,5510,4264980,4264987,FALSE,"Mammalia",NA,NA
4264991,"Dipodillus rupicola (Granjon, Aniskin, Volobouev & Sicard, 2002)","species","ACCEPTED","EXACT","Dipodillus rupicola",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus rupicola",1,44,359,1459,5510,4264980,4264991,FALSE,"Mammalia",NA,NA
4264990,"Dipodillus stigmonyx (Heuglin, 1877)","species","ACCEPTED","EXACT","Dipodillus stigmonyx",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus stigmonyx",1,44,359,1459,5510,4264980,4264990,FALSE,"Mammalia",NA,NA
4264993,"Dipodillus dasyurus (Wagner, 1842)","species","ACCEPTED","EXACT","Dipodillus dasyurus",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus dasyurus",1,44,359,1459,5510,4264980,4264993,FALSE,"Mammalia",NA,NA
4264986,"Dipodillus campestris (Levaillant, 1857)","species","ACCEPTED","EXACT","Dipodillus campestris",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus campestris",1,44,359,1459,5510,4264980,4264986,FALSE,"Mammalia",NA,NA
4264989,"Dipodillus bottai (Lataste, 1882)","species","ACCEPTED","EXACT","Dipodillus bottai",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus bottai",1,44,359,1459,5510,4264980,4264989,FALSE,"Mammalia",NA,NA
4264988,"Dipodillus harwoodi (Thomas, 1901)","species","ACCEPTED","EXACT","Dipodillus harwoodi",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus harwoodi",1,44,359,1459,5510,4264980,4264988,FALSE,"Mammalia",NA,NA
4264984,"Dipodillus somalicus (Thomas, 1910)","species","ACCEPTED","EXACT","Dipodillus somalicus",98,"Animalia","Chordata","Rodentia","Muridae","Dipodillus","Dipodillus somalicus",1,44,359,1459,5510,4264980,4264984,FALSE,"Mammalia",NA,NA
4264950,"Gerbilliscus boehmi (Noack, 1887)","species","ACCEPTED","EXACT","Gerbilliscus boehmi",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus boehmi",1,44,359,1459,5510,4264939,4264950,FALSE,"Mammalia",NA,NA
4264941,"Gerbilliscus phillipsi (de Winton, 1898)","species","ACCEPTED","EXACT","Gerbilliscus phillipsi",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus phillipsi",1,44,359,1459,5510,4264939,4264941,FALSE,"Mammalia",NA,NA
4264940,"Gerbilliscus afra (Gray, 1830)","species","ACCEPTED","EXACT","Gerbilliscus afra",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus afra",1,44,359,1459,5510,4264939,4264940,FALSE,"Mammalia",NA,NA
4264944,"Gerbilliscus validus (Bocage, 1890)","species","ACCEPTED","EXACT","Gerbilliscus validus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus validus",1,44,359,1459,5510,4264939,4264944,FALSE,"Mammalia",NA,NA
4264947,"Gerbilliscus robustus (Cretzschmar, 1826)","species","ACCEPTED","EXACT","Gerbilliscus robustus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus robustus",1,44,359,1459,5510,4264939,4264947,FALSE,"Mammalia",NA,NA
4264945,"Gerbilliscus nigricaudus (Peters, 1878)","species","ACCEPTED","EXACT","Gerbilliscus nigricaudus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus nigricaudus",1,44,359,1459,5510,4264939,4264945,FALSE,"Mammalia",NA,NA
4264948,"Gerbilliscus leucogaster (Peters, 1852)","species","ACCEPTED","EXACT","Gerbilliscus leucogaster",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus leucogaster",1,44,359,1459,5510,4264939,4264948,FALSE,"Mammalia",NA,NA
7962917,"Gerbilliscus kempii (Wroughton, 1906)","species","ACCEPTED","FUZZY","Gerbilliscus kempii",96,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus kempii",1,44,359,1459,5510,4264939,7962917,FALSE,"Mammalia",NA,NA
4264946,"Gerbilliscus inclusus (Thomas & Wroughton, 1908)","species","ACCEPTED","EXACT","Gerbilliscus inclusus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus inclusus",1,44,359,1459,5510,4264939,4264946,FALSE,"Mammalia",NA,NA
4264949,"Gerbilliscus guineae (Thomas, 1910)","species","ACCEPTED","EXACT","Gerbilliscus guineae",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus guineae",1,44,359,1459,5510,4264939,4264949,FALSE,"Mammalia",NA,NA
4264943,"Gerbilliscus brantsii (A.Smith, 1836)","species","ACCEPTED","EXACT","Gerbilliscus brantsii",98,"Animalia","Chordata","Rodentia","Muridae","Gerbilliscus","Gerbilliscus brantsii",1,44,359,1459,5510,4264939,4264943,FALSE,"Mammalia",NA,NA
2438750,"Gerbillurus vallinus (Thomas, 1918)","species","ACCEPTED","EXACT","Gerbillurus vallinus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillurus","Gerbillurus vallinus",1,44,359,1459,5510,2438749,2438750,FALSE,"Mammalia",NA,NA
2438753,"Gerbillurus setzeri (Schlitter, 1973)","species","ACCEPTED","EXACT","Gerbillurus setzeri",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillurus","Gerbillurus setzeri",1,44,359,1459,5510,2438749,2438753,FALSE,"Mammalia",NA,NA
2438752,"Gerbillurus tytonis (Bauer & Niethammer, 1960)","species","ACCEPTED","EXACT","Gerbillurus tytonis",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillurus","Gerbillurus tytonis",1,44,359,1459,5510,2438749,2438752,FALSE,"Mammalia",NA,NA
2438751,"Gerbillurus paeba (A.Smith, 1836)","species","ACCEPTED","EXACT","Gerbillurus paeba",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillurus","Gerbillurus paeba",1,44,359,1459,5510,2438749,2438751,FALSE,"Mammalia",NA,NA
2437825,"Gerbillus mauritaniae (Heim de Balsac, 1943)","species","ACCEPTED","EXACT","Gerbillus mauritaniae",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus mauritaniae",1,44,359,1459,5510,2437782,2437825,FALSE,"Mammalia",NA,NA
2437799,"Gerbillus burtoni F.Cuvier, 1838","species","ACCEPTED","EXACT","Gerbillus burtoni",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus burtoni",1,44,359,1459,5510,2437782,2437799,FALSE,"Mammalia",NA,NA
2437830,"Gerbillus cheesmani Thomas, 1919","species","ACCEPTED","EXACT","Gerbillus cheesmani",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus cheesmani",1,44,359,1459,5510,2437782,2437830,FALSE,"Mammalia",NA,NA
2437797,"Gerbillus nancillus Thomas & Hinton, 1923","species","ACCEPTED","EXACT","Gerbillus nancillus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus nancillus",1,44,359,1459,5510,2437782,2437797,FALSE,"Mammalia",NA,NA
2437842,"Gerbillus hoogstraali Lay, 1975","species","ACCEPTED","EXACT","Gerbillus hoogstraali",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus hoogstraali",1,44,359,1459,5510,2437782,2437842,FALSE,"Mammalia",NA,NA
2437838,"Gerbillus gleadowi Murray, 1886","species","ACCEPTED","EXACT","Gerbillus gleadowi",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus gleadowi",1,44,359,1459,5510,2437782,2437838,FALSE,"Mammalia",NA,NA
2437804,"Gerbillus floweri Thomas, 1919","species","ACCEPTED","EXACT","Gerbillus floweri",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus floweri",1,44,359,1459,5510,2437782,2437804,FALSE,"Mammalia",NA,NA
2437787,"Gerbillus gerbillus (Olivier, 1800)","species","ACCEPTED","EXACT","Gerbillus gerbillus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus gerbillus",1,44,359,1459,5510,2437782,2437787,FALSE,"Mammalia",NA,NA
2437834,"Gerbillus dongolanus (Heuglin, 1877)","species","ACCEPTED","EXACT","Gerbillus dongolanus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus dongolanus",1,44,359,1459,5510,2437782,2437834,FALSE,"Mammalia",NA,NA
2437810,"Gerbillus latastei Thomas & Trouessart, 1903","species","ACCEPTED","EXACT","Gerbillus latastei",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus latastei",1,44,359,1459,5510,2437782,2437810,FALSE,"Mammalia",NA,NA
2437837,"Gerbillus aquilus Schlitter & Setzer, 1972","species","ACCEPTED","EXACT","Gerbillus aquilus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus aquilus",1,44,359,1459,5510,2437782,2437837,FALSE,"Mammalia",NA,NA
2437786,"Gerbillus andersoni de Winton, 1902","species","ACCEPTED","EXACT","Gerbillus andersoni",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus andersoni",1,44,359,1459,5510,2437782,2437786,FALSE,"Mammalia",NA,NA
2437833,"Gerbillus agag Thomas, 1903","species","ACCEPTED","EXACT","Gerbillus agag",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus agag",1,44,359,1459,5510,2437782,2437833,FALSE,"Mammalia",NA,NA
2437783,"Gerbillus acticola Thomas, 1918","species","ACCEPTED","EXACT","Gerbillus acticola",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus acticola",1,44,359,1459,5510,2437782,2437783,FALSE,"Mammalia",NA,NA
2437824,"Gerbillus dunni Thomas, 1904","species","ACCEPTED","EXACT","Gerbillus dunni",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus dunni",1,44,359,1459,5510,2437782,2437824,FALSE,"Mammalia",NA,NA
2437832,"Gerbillus pulvinatus Rhoads, 1896","species","ACCEPTED","EXACT","Gerbillus pulvinatus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus pulvinatus",1,44,359,1459,5510,2437782,2437832,FALSE,"Mammalia",NA,NA
2437828,"Gerbillus occiduus Lay, 1975","species","ACCEPTED","EXACT","Gerbillus occiduus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus occiduus",1,44,359,1459,5510,2437782,2437828,FALSE,"Mammalia",NA,NA
2437840,"Gerbillus tarabuli Thomas, 1902","species","ACCEPTED","EXACT","Gerbillus tarabuli",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus tarabuli",1,44,359,1459,5510,2437782,2437840,FALSE,"Mammalia",NA,NA
2437839,"Gerbillus nigeriae Thomas & Hinton, 1920","species","ACCEPTED","EXACT","Gerbillus nigeriae",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus nigeriae",1,44,359,1459,5510,2437782,2437839,FALSE,"Mammalia",NA,NA
2437785,"Gerbillus rosalinda St.Leger, 1929","species","ACCEPTED","EXACT","Gerbillus rosalinda",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus rosalinda",1,44,359,1459,5510,2437782,2437785,FALSE,"Mammalia",NA,NA
2437811,"Gerbillus pyramidum (É.Geoffroy, 1803)","species","ACCEPTED","EXACT","Gerbillus pyramidum",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus pyramidum",1,44,359,1459,5510,2437782,2437811,FALSE,"Mammalia",NA,NA
2437791,"Gerbillus hesperinus Cabrera, 1936","species","ACCEPTED","EXACT","Gerbillus hesperinus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus hesperinus",1,44,359,1459,5510,2437782,2437791,FALSE,"Mammalia",NA,NA
2437809,"Gerbillus perpallidus Setzer, 1958","species","ACCEPTED","EXACT","Gerbillus perpallidus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus perpallidus",1,44,359,1459,5510,2437782,2437809,FALSE,"Mammalia",NA,NA
2437818,"Gerbillus watersi de Winton, 1901","species","ACCEPTED","EXACT","Gerbillus watersi",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus watersi",1,44,359,1459,5510,2437782,2437818,FALSE,"Mammalia",NA,NA
2437796,"Gerbillus garamantis Lataste, 1881","species","ACCEPTED","EXACT","Gerbillus garamantis",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus garamantis",1,44,359,1459,5510,2437782,2437796,FALSE,"Mammalia",NA,NA
2437812,"Gerbillus amoenus (de Winton, 1902)","species","ACCEPTED","EXACT","Gerbillus amoenus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus amoenus",1,44,359,1459,5510,2437782,2437812,FALSE,"Mammalia",NA,NA
2437800,"Gerbillus henleyi (de Winton, 1903)","species","ACCEPTED","EXACT","Gerbillus henleyi",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus henleyi",1,44,359,1459,5510,2437782,2437800,FALSE,"Mammalia",NA,NA
2437829,"Gerbillus vivax (Thomas, 1902)","species","ACCEPTED","EXACT","Gerbillus vivax",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus vivax",1,44,359,1459,5510,2437782,2437829,FALSE,"Mammalia",NA,NA
2437792,"Gerbillus poecilops Yerbury & Thomas, 1895","species","ACCEPTED","EXACT","Gerbillus poecilops",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus poecilops",1,44,359,1459,5510,2437782,2437792,FALSE,"Mammalia",NA,NA
2437814,"Gerbillus mesopotamiae Harrison, 1956","species","ACCEPTED","EXACT","Gerbillus mesopotamiae",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus mesopotamiae",1,44,359,1459,5510,2437782,2437814,FALSE,"Mammalia",NA,NA
2437790,"Gerbillus brockmani (Thomas, 1910)","species","ACCEPTED","EXACT","Gerbillus brockmani",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus brockmani",1,44,359,1459,5510,2437782,2437790,FALSE,"Mammalia",NA,NA
2437822,"Gerbillus pusillus Peters, 1878","species","ACCEPTED","EXACT","Gerbillus pusillus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus pusillus",1,44,359,1459,5510,2437782,2437822,FALSE,"Mammalia",NA,NA
2437813,"Gerbillus famulus Yerbury & Thomas, 1895","species","ACCEPTED","EXACT","Gerbillus famulus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus famulus",1,44,359,1459,5510,2437782,2437813,FALSE,"Mammalia",NA,NA
2437816,"Gerbillus grobbeni Klaptocz, 1909","species","ACCEPTED","EXACT","Gerbillus grobbeni",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus grobbeni",1,44,359,1459,5510,2437782,2437816,FALSE,"Mammalia",NA,NA
2437789,"Gerbillus syrticus Misonne, 1974","species","ACCEPTED","EXACT","Gerbillus syrticus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus syrticus",1,44,359,1459,5510,2437782,2437789,FALSE,"Mammalia",NA,NA
2437843,"Gerbillus principulus (Thomas & Hinton, 1923)","species","ACCEPTED","EXACT","Gerbillus principulus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus principulus",1,44,359,1459,5510,2437782,2437843,FALSE,"Mammalia",NA,NA
2437805,"Gerbillus muriculus (Thomas & Hinton, 1923)","species","ACCEPTED","EXACT","Gerbillus muriculus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus muriculus",1,44,359,1459,5510,2437782,2437805,FALSE,"Mammalia",NA,NA
2437788,"Gerbillus nanus Blanford, 1875","species","ACCEPTED","EXACT","Gerbillus nanus",98,"Animalia","Chordata","Rodentia","Muridae","Gerbillus","Gerbillus nanus",1,44,359,1459,5510,2437782,2437788,FALSE,"Mammalia",NA,NA
5219727,"Meriones tamariscinus (Pallas, 1773)","species","ACCEPTED","EXACT","Meriones tamariscinus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones tamariscinus",1,44,359,1459,5510,2437686,5219727,FALSE,"Mammalia",NA,NA
5219725,"Meriones libycus Lichtenstein, 1823","species","ACCEPTED","EXACT","Meriones libycus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones libycus",1,44,359,1459,5510,2437686,5219725,FALSE,"Mammalia",NA,NA
5219713,"Meriones meridianus (Pallas, 1773)","species","ACCEPTED","EXACT","Meriones meridianus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones meridianus",1,44,359,1459,5510,2437686,5219713,FALSE,"Mammalia",NA,NA
5219723,"Meriones arimalius Cheesman & Hinton, 1924","species","ACCEPTED","EXACT","Meriones arimalius",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones arimalius",1,44,359,1459,5510,2437686,5219723,FALSE,"Mammalia",NA,NA
5219720,"Meriones shawi (Duvernoy, 1842)","species","ACCEPTED","EXACT","Meriones shawi",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones shawi",1,44,359,1459,5510,2437686,5219720,FALSE,"Mammalia",NA,NA
5219724,"Meriones crassus Sundevall, 1842","species","ACCEPTED","EXACT","Meriones crassus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones crassus",1,44,359,1459,5510,2437686,5219724,FALSE,"Mammalia",NA,NA
5219715,"Meriones tristrami Thomas, 1892","species","ACCEPTED","EXACT","Meriones tristrami",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones tristrami",1,44,359,1459,5510,2437686,5219715,FALSE,"Mammalia",NA,NA
5706750,"Meriones grandis Cabrera, 1907","species","ACCEPTED","EXACT","Meriones grandis",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones grandis",1,44,359,1459,5510,2437686,5706750,FALSE,"Mammalia",NA,NA
5219721,"Meriones unguiculatus (Milne-Edwards, 1867)","species","ACCEPTED","EXACT","Meriones unguiculatus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones unguiculatus",1,44,359,1459,5510,2437686,5219721,FALSE,"Mammalia",NA,NA
5219722,"Meriones zarudnyi Heptner, 1937","species","ACCEPTED","EXACT","Meriones zarudnyi",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones zarudnyi",1,44,359,1459,5510,2437686,5219722,FALSE,"Mammalia",NA,NA
5219717,"Meriones dahli Shidlovsky, 1962","species","ACCEPTED","EXACT","Meriones dahli",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones dahli",1,44,359,1459,5510,2437686,5219717,FALSE,"Mammalia",NA,NA
5219716,"Meriones vinogradovi Heptner, 1931","species","ACCEPTED","EXACT","Meriones vinogradovi",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones vinogradovi",1,44,359,1459,5510,2437686,5219716,FALSE,"Mammalia",NA,NA
5219712,"Meriones chengi Wang, 1964","species","ACCEPTED","EXACT","Meriones chengi",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones chengi",1,44,359,1459,5510,2437686,5219712,FALSE,"Mammalia",NA,NA
5219714,"Meriones sacramenti Thomas, 1922","species","ACCEPTED","EXACT","Meriones sacramenti",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones sacramenti",1,44,359,1459,5510,2437686,5219714,FALSE,"Mammalia",NA,NA
5219718,"Meriones hurrianae Jordon, 1867","species","ACCEPTED","EXACT","Meriones hurrianae",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones hurrianae",1,44,359,1459,5510,2437686,5219718,FALSE,"Mammalia",NA,NA
5219726,"Meriones rex Yerbury & Thomas, 1895","species","ACCEPTED","EXACT","Meriones rex",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones rex",1,44,359,1459,5510,2437686,5219726,FALSE,"Mammalia",NA,NA
5219719,"Meriones persicus (Blanford, 1875)","species","ACCEPTED","EXACT","Meriones persicus",98,"Animalia","Chordata","Rodentia","Muridae","Meriones","Meriones persicus",1,44,359,1459,5510,2437686,5219719,FALSE,"Mammalia",NA,NA
2437725,"Microdillus peeli (de Winton, 1898)","species","ACCEPTED","EXACT","Microdillus peeli",98,"Animalia","Chordata","Rodentia","Muridae","Microdillus","Microdillus peeli",1,44,359,1459,5510,2437724,2437725,FALSE,"Mammalia",NA,NA
2437746,"Pachyuromys duprasi Lataste, 1880","species","ACCEPTED","EXACT","Pachyuromys duprasi",98,"Animalia","Chordata","Rodentia","Muridae","Pachyuromys","Pachyuromys duprasi",1,44,359,1459,5510,2437745,2437746,FALSE,"Mammalia",NA,NA
4264894,"Myomyscus angolensis (Bocage, 1890)","species","ACCEPTED","EXACT","Myomyscus angolensis",98,"Animalia","Chordata","Rodentia","Muridae","Myomyscus","Myomyscus angolensis",1,44,359,1459,5510,4264891,4264894,FALSE,"Mammalia",NA,NA
4264893,"Myomyscus yemeni (Sanborn & Hoogstraal, 1953)","species","ACCEPTED","EXACT","Myomyscus yemeni",98,"Animalia","Chordata","Rodentia","Muridae","Myomyscus","Myomyscus yemeni",1,44,359,1459,5510,4264891,4264893,FALSE,"Mammalia",NA,NA
4264895,"Myomyscus verreauxii (A.Smith, 1834)","species","ACCEPTED","EXACT","Myomyscus verreauxii",98,"Animalia","Chordata","Rodentia","Muridae","Myomyscus","Myomyscus verreauxii",1,44,359,1459,5510,4264891,4264895,FALSE,"Mammalia",NA,NA
