"usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
2439854,"Gracilinanus aceramarcae (Tate, 1931)","species","ACCEPTED","EXACT","Gracilinanus aceramarcae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus aceramarcae",1,44,359,783,5455,2439848,2439854,FALSE,"Mammalia",NA,NA
2439853,"Gracilinanus agricolai (Moojen, 1943)","species","ACCEPTED","EXACT","Gracilinanus agricolai",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus agricolai",1,44,359,783,5455,2439848,2439853,FALSE,"Mammalia",NA,NA
2439852,"Gracilinanus agilis (Burmeister, 1854)","species","ACCEPTED","EXACT","Gracilinanus agilis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus agilis",1,44,359,783,5455,2439848,2439852,FALSE,"Mammalia",NA,NA
2439850,"Gracilinanus ignitus Díaz, Flores & Barquez, 2002","species","ACCEPTED","EXACT","Gracilinanus ignitus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus ignitus",1,44,359,783,5455,2439848,2439850,FALSE,"Mammalia",NA,NA
2439984,"Hyladelphys kalinowskii (Hershkovitz, 1992)","species","ACCEPTED","EXACT","Hyladelphys kalinowskii",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Hyladelphys","Hyladelphys kalinowskii",1,44,359,783,5455,2439983,2439984,FALSE,"Mammalia",NA,NA
2439939,"Lestodelphys halli (Thomas, 1921)","species","ACCEPTED","EXACT","Lestodelphys halli",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Lestodelphys","Lestodelphys halli",1,44,359,783,5455,2439938,2439939,FALSE,"Mammalia",NA,NA
2439988,"Lutreolina crassicaudata (Desmarest, 1804)","species","ACCEPTED","EXACT","Lutreolina crassicaudata",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Lutreolina","Lutreolina crassicaudata",1,44,359,783,5455,2439987,2439988,FALSE,"Mammalia",NA,NA
2439873,"Marmosa murina (Linnaeus, 1758)","species","ACCEPTED","EXACT","Marmosa murina",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa murina",1,44,359,783,5455,2439860,2439873,FALSE,"Mammalia",NA,NA
2439874,"Marmosa xerophila Handley & Gordon, 1979","species","ACCEPTED","EXACT","Marmosa xerophila",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa xerophila",1,44,359,783,5455,2439860,2439874,FALSE,"Mammalia",NA,NA
2439861,"Marmosa tyleriana Tate, 1931","species","ACCEPTED","EXACT","Marmosa tyleriana",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa tyleriana",1,44,359,783,5455,2439860,2439861,FALSE,"Mammalia",NA,NA
2439875,"Marmosa rubra Tate, 1931","species","ACCEPTED","EXACT","Marmosa rubra",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa rubra",1,44,359,783,5455,2439860,2439875,FALSE,"Mammalia",NA,NA
2439872,"Marmosa quichua Thomas, 1899","species","ACCEPTED","EXACT","Marmosa quichua",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa quichua",1,44,359,783,5455,2439860,2439872,FALSE,"Mammalia",NA,NA
2439876,"Marmosa mexicana Merriam, 1897","species","ACCEPTED","EXACT","Marmosa mexicana",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa mexicana",1,44,359,783,5455,2439860,2439876,FALSE,"Mammalia",NA,NA
2439871,"Marmosa lepida (Thomas, 1888)","species","ACCEPTED","EXACT","Marmosa lepida",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa lepida",1,44,359,783,5455,2439860,2439871,FALSE,"Mammalia",NA,NA
2439880,"Marmosa andersoni Pine, 1972","species","ACCEPTED","EXACT","Marmosa andersoni",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa andersoni",1,44,359,783,5455,2439860,2439880,FALSE,"Mammalia",NA,NA
2439862,"Marmosa robinsoni Bangs, 1898","species","ACCEPTED","EXACT","Marmosa robinsoni",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosa","Marmosa robinsoni",1,44,359,783,5455,2439860,2439862,FALSE,"Mammalia",NA,NA
2439956,"Marmosops handleyi (Pine, 1981)","species","ACCEPTED","EXACT","Marmosops handleyi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops handleyi",1,44,359,783,5455,2439940,2439956,FALSE,"Mammalia",NA,NA
2439954,"Marmosops juninensis (Tate, 1931)","species","ACCEPTED","EXACT","Marmosops juninensis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops juninensis",1,44,359,783,5455,2439940,2439954,FALSE,"Mammalia",NA,NA
2439941,"Marmosops pinheiroi (Pine, 1981)","species","ACCEPTED","EXACT","Marmosops pinheiroi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops pinheiroi",1,44,359,783,5455,2439940,2439941,FALSE,"Mammalia",NA,NA
2439948,"Marmosops paulensis (Tate, 1931)","species","ACCEPTED","EXACT","Marmosops paulensis",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops paulensis",1,44,359,783,5455,2439940,2439948,FALSE,"Mammalia",NA,NA
2439947,"Marmosops parvidens (Tate, 1931)","species","ACCEPTED","EXACT","Marmosops parvidens",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops parvidens",1,44,359,783,5455,2439940,2439947,FALSE,"Mammalia",NA,NA
2439957,"Marmosops noctivagus (Tschudi, 1844)","species","ACCEPTED","EXACT","Marmosops noctivagus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops noctivagus",1,44,359,783,5455,2439940,2439957,FALSE,"Mammalia",NA,NA
2439943,"Marmosops neblina Gardner, 1990","species","ACCEPTED","EXACT","Marmosops neblina",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops neblina",1,44,359,783,5455,2439940,2439943,FALSE,"Mammalia",NA,NA
2439942,"Marmosops bishopi (Pine, 1981)","species","ACCEPTED","EXACT","Marmosops bishopi",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops bishopi",1,44,359,783,5455,2439940,2439942,FALSE,"Mammalia",NA,NA
2439945,"Marmosops impavidus (Tschudi, 1845)","species","ACCEPTED","EXACT","Marmosops impavidus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops impavidus",1,44,359,783,5455,2439940,2439945,FALSE,"Mammalia",NA,NA
2439953,"Marmosops incanus (Lund, 1840)","species","ACCEPTED","EXACT","Marmosops incanus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops incanus",1,44,359,783,5455,2439940,2439953,FALSE,"Mammalia",NA,NA
2439949,"Marmosops fuscatus (Thomas, 1896)","species","ACCEPTED","EXACT","Marmosops fuscatus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops fuscatus",1,44,359,783,5455,2439940,2439949,FALSE,"Mammalia",NA,NA
2439944,"Marmosops dorothea (Thomas, 1911)","species","ACCEPTED","EXACT","Marmosops dorothea",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops dorothea",1,44,359,783,5455,2439940,2439944,FALSE,"Mammalia",NA,NA
2439955,"Marmosops cracens (Handley & Gordon, 1979)","species","ACCEPTED","EXACT","Marmosops cracens",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops cracens",1,44,359,783,5455,2439940,2439955,FALSE,"Mammalia",NA,NA
2439946,"Marmosops invictus (Goldman, 1912)","species","ACCEPTED","EXACT","Marmosops invictus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Marmosops","Marmosops invictus",1,44,359,783,5455,2439940,2439946,FALSE,"Mammalia",NA,NA
9686324,"Metachirus nudicaudatus (É.Geoffroy Saint-Hilaire, 1803)","species","ACCEPTED","EXACT","Metachirus nudicaudatus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus",1,44,359,783,5455,2439881,9686324,FALSE,"Mammalia",NA,NA
2439898,"Micoureus demerarae (Thomas, 1905)","species","ACCEPTED","EXACT","Micoureus demerarae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus demerarae",1,44,359,783,5455,2439888,2439898,FALSE,"Mammalia",NA,NA
2439890,"Micoureus regina (Thomas, 1898)","species","ACCEPTED","EXACT","Micoureus regina",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus regina",1,44,359,783,5455,2439888,2439890,FALSE,"Mammalia",NA,NA
2439895,"Micoureus paraguayanus (Tate, 1931)","species","ACCEPTED","EXACT","Micoureus paraguayanus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus paraguayanus",1,44,359,783,5455,2439888,2439895,FALSE,"Mammalia",NA,NA
2439904,"Micoureus constantiae (Thomas, 1904)","species","ACCEPTED","EXACT","Micoureus constantiae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus constantiae",1,44,359,783,5455,2439888,2439904,FALSE,"Mammalia",NA,NA
2439894,"Micoureus alstoni (J.A.Allen, 1900)","species","ACCEPTED","EXACT","Micoureus alstoni",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus alstoni",1,44,359,783,5455,2439888,2439894,FALSE,"Mammalia",NA,NA
2439889,"Micoureus phaeus (Thomas, 1899)","species","ACCEPTED","EXACT","Micoureus phaeus",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Micoureus","Micoureus phaeus",1,44,359,783,5455,2439888,2439889,FALSE,"Mammalia",NA,NA
2439972,"Monodelphis emiliae (Thomas, 1912)","species","ACCEPTED","EXACT","Monodelphis emiliae",98,"Animalia","Chordata","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis emiliae",1,44,359,783,5455,7967492,2439972,FALSE,"Mammalia",NA,NA
