"accepted_gbif_id","order","family","status","scientific","diet_inv","diet_vend","diet_vect","diet_vfish","diet_vunk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_planto","diet_source","diet_certainty","bodymass_value","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_5cat","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","nocturnal","bodymass_comment","record_comment"
4264781,"Rodentia","Abrocomidae","ACCEPTED","Abrocoma vaccarum",0,0,0,0,0,0,0,0,0,100,"Ref_2","D1",214.69,"Ref_2","Ref_3",3093,"Abrocomidae","G","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265099,"Rodentia","Cricetidae","ACCEPTED","Abrothrix andinus",30,0,0,0,0,0,0,0,0,70,"Ref_1","ABC",24.91,"Ref_58","1",1659,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265096,"Rodentia","Cricetidae","ACCEPTED","Abrothrix hershkovitzi",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",32.42,"Ref_178","2",1666,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265093,"Rodentia","Cricetidae","ACCEPTED","Abrothrix illuteus",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",47.79,"Ref_58","1",1665,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265098,"Rodentia","Cricetidae","ACCEPTED","Abrothrix jelskii",30,0,0,0,0,0,0,0,0,70,"Ref_1","ABC",34.5,"Ref_58","1",1664,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265095,"Rodentia","Cricetidae","ACCEPTED","Abrothrix lanosus",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",27.83,"Ref_58","1",1663,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265092,"Rodentia","Cricetidae","ACCEPTED","Abrothrix longipilis",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",38.86,"Ref_58","1",1662,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265097,"Rodentia","Cricetidae","ACCEPTED","Abrothrix markhami",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",29.03,"Ref_178","2",1661,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265094,"Rodentia","Cricetidae","ACCEPTED","Abrothrix olivaceus",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",24.52,"Ref_58","1",1660,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265091,"Rodentia","Cricetidae","ACCEPTED","Abrothrix sanborni",30,0,0,0,0,0,0,0,0,70,"Ref_2","D1",24.7,"Ref_58","1",1667,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482313,"Galliformes","Cracidae","ACCEPTED","Aburria aburri",0,0,0,0,0,0,100,0,0,0,"Ref_2","A",1405.08,"Dunning08","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows",8,"BL3","Wattled Guan","FruiNect","Jennifer",0,0,0,0,100,0,0,0,"Ref_2",1,"Jessica",0,NA,NA
