"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","elton_diet_inv","elton_diet_vend","elton_diet_vect","elton_diet_vfish","elton_diet_vunk","elton_diet_scav","elton_diet_fruit","elton_diet_nect","elton_diet_seed","elton_diet_planto","elton_forstrat_value","elton_forstrat_certainty","elton_activity_nocturnal","elton_activity_crepuscular","elton_activity_diurnal","elton_passnonpass","elton_common_name","elton_diet_5cat","elton_forstrat_watbelowsurf","elton_forstrat_wataroundsurf","elton_forstrat_ground","elton_forstrat_understory","elton_forstrat_midhigh","elton_forstrat_canopy","elton_forstrat_aerial","elton_pelagicspecialist","elton_nocturnal","bodymass_kg"
"Neotetracus sinensis","2437164","2437164","Erinaceomorpha","Erinaceidae","Neotetracus","ACCEPTED","neotetracus_sinensis",100,0,0,0,0,0,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29015
"Podogymnura truei","2437119","2437119","Erinaceomorpha","Erinaceidae","Podogymnura","ACCEPTED","podogymnura_truei",80,20,0,0,0,0,0,0,0,0,"G","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114
"Podogymnura aureospinula","2437118","2437118","Erinaceomorpha","Erinaceidae","Podogymnura","ACCEPTED","podogymnura_aureospinula",80,20,0,0,0,0,0,0,0,0,"G","A",1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247
"Solenodon paradoxus","5219470","5219470","Soricomorpha","Solenodontidae","Solenodon","ACCEPTED","solenodon_paradoxus",30,10,20,0,0,0,20,0,0,20,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9
"Solenodon marcanoi","5219468","5219468","Soricomorpha","Solenodontidae","Solenodon","ACCEPTED","solenodon_marcanoi",30,10,20,0,0,0,20,0,0,20,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76485
"Solenodon cubanus","5219469","5219469","Soricomorpha","Solenodontidae","Solenodon","ACCEPTED","solenodon_cubanus",30,10,20,0,0,0,20,0,0,20,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65
"Solenodon arredondoi","5219473","5219473","Soricomorpha","Solenodontidae","Solenodon","ACCEPTED","solenodon_arredondoi",20,10,20,0,0,0,20,0,0,30,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76485
"Crocidura phaeura","2435663","2435663","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_phaeura",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura orii","2435561","2435561","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_orii",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144
"Crocidura nigricans","2435746","2435746","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nigricans",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
"Crocidura nigrofusca","2435680","2435680","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nigrofusca",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01175
"Crocidura nimbae","2435643","2435643","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nimbae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0155
"Crocidura niobe","2435626","2435626","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_niobe",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016
"Crocidura obscurior","2435613","2435613","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_obscurior",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura olivieri","2435579","2435579","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_olivieri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05795
"Crocidura orientalis","2435718","2435718","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_orientalis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0158
"Crocidura nigripes","2435699","2435699","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nigripes",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132
"Crocidura palawanensis","2435529","2435529","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_palawanensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura paradoxura","2435726","2435726","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_paradoxura",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00823
"Crocidura parvipes","2435711","2435711","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_parvipes",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura nigeriae","2435530","2435530","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nigeriae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023
"Crocidura pergrisea","2435678","2435678","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_pergrisea",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101
"Crocidura nana","2435629","2435629","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nana",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura picea","2435641","2435641","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_picea",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura pitmani","2435624","2435624","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_pitmani",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura planiceps","2435611","2435611","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_planiceps",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025
"Crocidura poensis","2435577","2435577","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_poensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01657
"Crocidura pasha","2435695","2435695","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_pasha",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065
"Crocidura miya","2435533","2435533","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_miya",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102
"Crocidura macarthuri","2435535","2435535","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_macarthuri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura zimmermanni","2435665","2435665","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_zimmermanni",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura macmillani","2435756","2435756","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_macmillani",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura macowi","2435735","2435735","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_macowi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura malayana","2435721","2435721","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_malayana",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0127
"Crocidura manengubae","2435706","2435706","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_manengubae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura maquassiensis","2435686","2435686","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_maquassiensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006
"Crocidura mariquensis","2435632","2435632","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_mariquensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01125
"Crocidura maurisca","2435618","2435618","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_maurisca",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014
"Crocidura negligens","2435705","2435705","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_negligens",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura mindorus","2435568","2435568","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_mindorus",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018
"Crocidura nicobarica","2435546","2435546","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nicobarica",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0289
"Crocidura monax","2435748","2435748","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_monax",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016
"Crocidura monticola","2435731","2435731","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_monticola",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0066
"Crocidura montis","2435716","2435716","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_montis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145
"Crocidura muricauda","2435682","2435682","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_muricauda",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura musseri","2435684","2435684","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_musseri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura mutesae","2435649","2435649","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_mutesae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02391
"Crocidura religiosa","8934499","8934499","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_religiosa",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007
"Crocidura nanilla","2435615","2435615","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_nanilla",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065
"Crocidura polia","2435560","2435560","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_polia",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura negrina","2435565","2435565","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_negrina",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01133
"Crocidura maxi","2435604","2435604","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_maxi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00753
"Crocidura vosmaeri","2435675","2435675","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_vosmaeri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura rapax","2435750","2435750","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_rapax",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura theresae","2435749","2435749","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_theresae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0176
"Crocidura thomensis","2435717","2435717","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_thomensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura trichura","2435570","2435570","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_trichura",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura turba","2435704","2435704","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_turba",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145
"Crocidura ultima","2435683","2435683","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_ultima",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016
"Crocidura usambarae","2435669","2435669","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_usambarae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0097
"Crocidura viaria","2435630","2435630","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_viaria",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017
"Crocidura virgata","2435606","2435606","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_virgata",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura tenuis","2435549","2435549","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_tenuis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00943
"Crocidura vorax","2435637","2435637","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_vorax",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura telfordi","2435569","2435569","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_telfordi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura watasei","2435692","2435692","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_watasei",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura whitakeri","2435602","2435602","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_whitakeri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0055
"Crocidura wimmeri","2435566","2435566","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_wimmeri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235
"Crocidura wuchihensis","2435650","2435650","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_wuchihensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0043
"Crocidura xantippe","2435547","2435547","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_xantippe",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura yankariensis","2435531","2435531","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_yankariensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005
"Crocidura zaphiri","2435730","2435730","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_zaphiri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura zarudnyi","2435714","2435714","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_zarudnyi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00671
"Crocidura lucina","2435620","2435620","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_lucina",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura voi","2435616","2435616","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_voi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura silacea","2435536","2435536","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_silacea",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008
"Crocidura raineyi","2435739","2435739","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_raineyi",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145
"Crocidura ramona","2435540","2435540","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_ramona",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura zimmeri","2435702","2435702","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_zimmeri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145
"Crocidura rhoditis","2435691","2435691","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_rhoditis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014
"Crocidura roosevelti","2435674","2435674","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_roosevelti",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura russula","2435654","2435654","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_russula",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0082
"Crocidura selina","2435639","2435639","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_selina",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura serezkyensis","2435621","2435621","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_serezkyensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura shantungensis","2435741","2435741","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_shantungensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura thalia","2435534","2435534","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_thalia",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura sicula","2435553","2435553","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_sicula",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069
"Crocidura pullata","2435761","2435761","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_pullata",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura smithii","2435757","2435757","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_smithii",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura somalica","2435736","2435736","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_somalica",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115
"Crocidura stenocephala","2435707","2435707","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_stenocephala",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021
"Crocidura suaveolens","2435687","2435687","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_suaveolens",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00519
"Crocidura susiana","2435672","2435672","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_susiana",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura tanakae","2435550","2435550","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_tanakae",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01042
"Crocidura tansaniana","2435652","2435652","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_tansaniana",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura tarella","2435636","2435636","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_tarella",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura tarfayensis","2435605","2435605","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_tarfayensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065
"Crocidura sibirica","2435609","2435609","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_sibirica",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura eisentrauti","2435747","2435747","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_eisentrauti",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura floweri","2435628","2435628","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_floweri",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura crossei","2435671","2435671","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_crossei",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069
"Crocidura cyanea","2435651","2435651","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_cyanea",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00935
"Crocidura denti","2435631","2435631","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_denti",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007
"Crocidura desperata","2435617","2435617","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_desperata",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01035
"Crocidura dhofarensis","2435603","2435603","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_dhofarensis",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0058
"Crocidura dolichura","2435567","2435567","Soricomorpha","Soricidae","Crocidura","ACCEPTED","crocidura_dolichura",50,0,10,0,0,40,0,0,0,0,"G","A",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057
