"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Aconaemys fuscus","Aconaemys fuscus",2439653,"ACCEPTED","EXACT","Aconaemys fuscus",2439653,"Rodentia","Octodontidae"
"Aconaemys porteri","Aconaemys porteri",4265002,"ACCEPTED","EXACT","Aconaemys porteri",4265002,"Rodentia","Octodontidae"
"Aconaemys sagei","Aconaemys sagei",2439654,"ACCEPTED","EXACT","Aconaemys sagei",2439654,"Rodentia","Octodontidae"
"Acrobates pygmaeus","Acrobates pygmaeus",5219960,"ACCEPTED","EXACT","Acrobates pygmaeus",5219960,"Diprotodontia","Acrobatidae"
"Addax nasomaculatus","Addax nasomaculatus",2441101,"ACCEPTED","EXACT","Addax nasomaculatus",2441101,"Artiodactyla","Bovidae"
"Aepeomys lugens","Aepeomys lugens",2438733,"ACCEPTED","EXACT","Aepeomys lugens",2438733,"Rodentia","Cricetidae"
"Aepeomys reigi","Aepeomys reigi",4265150,"ACCEPTED","EXACT","Aepeomys reigi",4265150,"Rodentia","Cricetidae"
"Aepyceros melampus","Aepyceros melampus",2441144,"ACCEPTED","EXACT","Aepyceros melampus",2441144,"Artiodactyla","Bovidae"
"Aepypodius arfakianus","Aepypodius arfakianus",2482104,"ACCEPTED","EXACT","Aepypodius arfakianus",2482104,"Galliformes","Megapodiidae"
"Aepypodius bruijnii","Aepypodius bruijnii",2482103,"ACCEPTED","EXACT","Aepypodius bruijnii",2482103,"Galliformes","Megapodiidae"
"Aepyprymnus rufescens","Aepyprymnus rufescens",2440030,"ACCEPTED","EXACT","Aepyprymnus rufescens",2440030,"Diprotodontia","Potoroidae"
"Aeretes melanopterus","Aeretes melanopterus",2437548,"ACCEPTED","EXACT","Aeretes melanopterus",2437548,"Rodentia","Sciuridae"
"Aeromys tephromelas","Aeromys tephromelas",2437384,"ACCEPTED","EXACT","Aeromys tephromelas",2437384,"Rodentia","Sciuridae"
"Aeromys thomasi","Aeromys thomasi",2437383,"ACCEPTED","EXACT","Aeromys thomasi",2437383,"Rodentia","Sciuridae"
"Aethalops aequalis","Aethalops aequalis",4265673,"ACCEPTED","EXACT","Aethalops aequalis",4265673,"Chiroptera","Pteropodidae"
"Aethalops alecto","Aethalops alecto",2432974,"ACCEPTED","EXACT","Aethalops alecto",2432974,"Chiroptera","Pteropodidae"
"Aethomys bocagei","Aethomys bocagei",2438170,"ACCEPTED","EXACT","Aethomys bocagei",2438170,"Rodentia","Muridae"
"Aethomys chrysophilus","Aethomys chrysophilus",2438176,"ACCEPTED","EXACT","Aethomys chrysophilus",2438176,"Rodentia","Muridae"
"Aethomys hindei","Aethomys hindei",2438169,"ACCEPTED","EXACT","Aethomys hindei",2438169,"Rodentia","Muridae"
"Aethomys ineptus","Aethomys ineptus",4264924,"ACCEPTED","EXACT","Aethomys ineptus",4264924,"Rodentia","Muridae"
"Aethomys kaiseri","Aethomys kaiseri",2438175,"ACCEPTED","EXACT","Aethomys kaiseri",2438175,"Rodentia","Muridae"
"Aethomys nyikae","Aethomys nyikae",2438168,"ACCEPTED","EXACT","Aethomys nyikae",2438168,"Rodentia","Muridae"
"Aethomys silindensis","Aethomys silindensis",2438171,"ACCEPTED","EXACT","Aethomys silindensis",2438171,"Rodentia","Muridae"
"Aethomys stannarius","Aethomys stannarius",2438167,"ACCEPTED","EXACT","Aethomys stannarius",2438167,"Rodentia","Muridae"
"Aethomys thomasi","Aethomys thomasi",2438174,"ACCEPTED","EXACT","Aethomys thomasi",2438174,"Rodentia","Muridae"
"Ailuropoda melanoleuca","Ailuropoda melanoleuca",2433399,"ACCEPTED","EXACT","Ailuropoda melanoleuca",2433399,"Carnivora","Ursidae"
"Ailurops melanotis","Ailurops melanotis",5219995,"ACCEPTED","EXACT","Ailurops melanotis",5219995,"Diprotodontia","Phalangeridae"
"Ailurops ursinus","Ailurops ursinus",5219990,"ACCEPTED","EXACT","Ailurops ursinus",5219990,"Diprotodontia","Phalangeridae"
"Ailurus fulgens","Ailurus fulgens",5219446,"ACCEPTED","EXACT","Ailurus fulgens",5219446,"Carnivora","Ailuridae"
"Akodon aerosus","Akodon aerosus",2437892,"ACCEPTED","EXACT","Akodon aerosus",2437892,"Rodentia","Cricetidae"
"Akodon affinis","Akodon affinis",2437908,"SYNONYM","EXACT","Peromyscus leucopus",2438019,"Rodentia","Cricetidae"
"Akodon albiventer","Akodon albiventer",2437895,"ACCEPTED","EXACT","Akodon albiventer",2437895,"Rodentia","Cricetidae"
"Akodon aliquantulus","Akodon aliquantulus",4265085,"SYNONYM","EXACT","Akodon caenosus",7780166,"Rodentia","Cricetidae"
"Akodon azarae","Akodon azarae",2437878,"ACCEPTED","EXACT","Akodon azarae",2437878,"Rodentia","Cricetidae"
"Akodon bogotensis","Akodon bogotensis",2437911,"SYNONYM","EXACT","Neomicroxus bogotensis",8197857,"Rodentia","Cricetidae"
"Akodon boliviensis","Akodon boliviensis",2437897,"ACCEPTED","EXACT","Akodon boliviensis",2437897,"Rodentia","Cricetidae"
"Akodon budini","Akodon budini",2437880,"ACCEPTED","EXACT","Akodon budini",2437880,"Rodentia","Cricetidae"
"Akodon cursor","Akodon cursor",2437913,"ACCEPTED","EXACT","Akodon cursor",2437913,"Rodentia","Cricetidae"
"Akodon dayi","Akodon dayi",2437899,"ACCEPTED","EXACT","Akodon dayi",2437899,"Rodentia","Cricetidae"
"Akodon dolores","Akodon dolores",2437882,"ACCEPTED","EXACT","Akodon dolores",2437882,"Rodentia","Cricetidae"
"Akodon fumeus","Akodon fumeus",2437915,"ACCEPTED","EXACT","Akodon fumeus",2437915,"Rodentia","Cricetidae"
"Akodon iniscatus","Akodon iniscatus",2437886,"ACCEPTED","EXACT","Akodon iniscatus",2437886,"Rodentia","Cricetidae"
"Akodon juninensis","Akodon juninensis",2437918,"ACCEPTED","EXACT","Akodon juninensis",2437918,"Rodentia","Cricetidae"
"Akodon kofordi","Akodon kofordi",2437888,"ACCEPTED","EXACT","Akodon kofordi",2437888,"Rodentia","Cricetidae"
"Akodon latebricola","Akodon latebricola",2437905,"SYNONYM","EXACT","Neomicroxus latebricola",7684285,"Rodentia","Cricetidae"
