"mentionned_species","canonical_names","gbif_id","status","match_type","accepted_species","accepted_gbif_id","order","family"
"Cricetus cricetus","Cricetus cricetus",2438704,"ACCEPTED","EXACT","Cricetus cricetus",2438704,"Rodentia","Cricetidae"
"Crocidura aleksandrisi","Crocidura aleksandrisi",2435693,"ACCEPTED","EXACT","Crocidura aleksandrisi",2435693,"Soricomorpha","Soricidae"
"Crocidura allex","Crocidura allex",2435676,"ACCEPTED","EXACT","Crocidura allex",2435676,"Soricomorpha","Soricidae"
"Crocidura andamanensis","Crocidura andamanensis",2435622,"ACCEPTED","EXACT","Crocidura andamanensis",2435622,"Soricomorpha","Soricidae"
"Crocidura ansellorum","Crocidura ansellorum",2435610,"ACCEPTED","EXACT","Crocidura ansellorum",2435610,"Soricomorpha","Soricidae"
"Crocidura arabica","Crocidura arabica",2435573,"ACCEPTED","EXACT","Crocidura arabica",2435573,"Soricomorpha","Soricidae"
"Crocidura arispa","Crocidura arispa",2435612,"ACCEPTED","EXACT","Crocidura arispa",2435612,"Soricomorpha","Soricidae"
"Crocidura armenica","Crocidura armenica",2435558,"ACCEPTED","EXACT","Crocidura armenica",2435558,"Soricomorpha","Soricidae"
"Crocidura attenuata","Crocidura attenuata",2435537,"ACCEPTED","EXACT","Crocidura attenuata",2435537,"Soricomorpha","Soricidae"
"Crocidura attila","Crocidura attila",2435737,"ACCEPTED","EXACT","Crocidura attila",2435737,"Soricomorpha","Soricidae"
"Crocidura baileyi","Crocidura baileyi",2435722,"ACCEPTED","EXACT","Crocidura baileyi",2435722,"Soricomorpha","Soricidae"
"Crocidura baluensis","Crocidura baluensis",2435668,"ACCEPTED","EXACT","Crocidura baluensis",2435668,"Soricomorpha","Soricidae"
"Crocidura batesi","Crocidura batesi",2435708,"ACCEPTED","EXACT","Crocidura batesi",2435708,"Soricomorpha","Soricidae"
"Crocidura beatus","Crocidura beatus",2435689,"ACCEPTED","EXACT","Crocidura beatus",2435689,"Soricomorpha","Soricidae"
"Crocidura beccarii","Crocidura beccarii",2435653,"ACCEPTED","EXACT","Crocidura beccarii",2435653,"Soricomorpha","Soricidae"
"Crocidura bottegi","Crocidura bottegi",2435638,"ACCEPTED","EXACT","Crocidura bottegi",2435638,"Soricomorpha","Soricidae"
"Crocidura bottegoides","Crocidura bottegoides",2435619,"ACCEPTED","EXACT","Crocidura bottegoides",2435619,"Soricomorpha","Soricidae"
"Crocidura brunnea","Crocidura brunnea",2435644,"ACCEPTED","EXACT","Crocidura brunnea",2435644,"Soricomorpha","Soricidae"
"Crocidura buettikoferi","Crocidura buettikoferi",2435607,"ACCEPTED","EXACT","Crocidura buettikoferi",2435607,"Soricomorpha","Soricidae"
"Crocidura caliginea","Crocidura caliginea",2435571,"ACCEPTED","EXACT","Crocidura caliginea",2435571,"Soricomorpha","Soricidae"
"Crocidura canariensis","Crocidura canariensis",2435551,"ACCEPTED","EXACT","Crocidura canariensis",2435551,"Soricomorpha","Soricidae"
"Crocidura caspica","Crocidura caspica",2435744,"ACCEPTED","EXACT","Crocidura caspica",2435744,"Soricomorpha","Soricidae"
"Crocidura cinderella","Crocidura cinderella",2435755,"ACCEPTED","EXACT","Crocidura cinderella",2435755,"Soricomorpha","Soricidae"
"Crocidura congobelgica","Crocidura congobelgica",2435734,"ACCEPTED","EXACT","Crocidura congobelgica",2435734,"Soricomorpha","Soricidae"
"Crocidura crenata","Crocidura crenata",2435685,"ACCEPTED","EXACT","Crocidura crenata",2435685,"Soricomorpha","Soricidae"
"Crocidura crossei","Crocidura crossei",2435671,"ACCEPTED","EXACT","Crocidura crossei",2435671,"Soricomorpha","Soricidae"
"Crocidura cyanea","Crocidura cyanea",2435651,"ACCEPTED","EXACT","Crocidura cyanea",2435651,"Soricomorpha","Soricidae"
"Crocidura denti","Crocidura denti",2435631,"ACCEPTED","EXACT","Crocidura denti",2435631,"Soricomorpha","Soricidae"
"Crocidura desperata","Crocidura desperata",2435617,"ACCEPTED","EXACT","Crocidura desperata",2435617,"Soricomorpha","Soricidae"
"Crocidura dhofarensis","Crocidura dhofarensis",2435603,"ACCEPTED","EXACT","Crocidura dhofarensis",2435603,"Soricomorpha","Soricidae"
"Crocidura dolichura","Crocidura dolichura",2435567,"ACCEPTED","EXACT","Crocidura dolichura",2435567,"Soricomorpha","Soricidae"
"Crocidura douceti","Crocidura douceti",2435548,"ACCEPTED","EXACT","Crocidura douceti",2435548,"Soricomorpha","Soricidae"
"Crocidura dsinezumi","Crocidura dsinezumi",2435532,"ACCEPTED","EXACT","Crocidura dsinezumi",2435532,"Soricomorpha","Soricidae"
"Crocidura eisentrauti","Crocidura eisentrauti",2435747,"ACCEPTED","EXACT","Crocidura eisentrauti",2435747,"Soricomorpha","Soricidae"
"Crocidura elgonius","Crocidura elgonius",2435715,"ACCEPTED","EXACT","Crocidura elgonius",2435715,"Soricomorpha","Soricidae"
"Crocidura elongata","Crocidura elongata",2435703,"ACCEPTED","EXACT","Crocidura elongata",2435703,"Soricomorpha","Soricidae"
"Crocidura erica","Crocidura erica",2435681,"ACCEPTED","EXACT","Crocidura erica",2435681,"Soricomorpha","Soricidae"
"Crocidura fischeri","Crocidura fischeri",2435667,"ACCEPTED","EXACT","Crocidura fischeri",2435667,"Soricomorpha","Soricidae"
"Crocidura flavescens","Crocidura flavescens",9177524,"ACCEPTED","EXACT","Crocidura flavescens",9177524,"Soricomorpha","Soricidae"
"Crocidura floweri","Crocidura floweri",2435628,"ACCEPTED","EXACT","Crocidura floweri",2435628,"Soricomorpha","Soricidae"
"Crocidura foetida","Crocidura foetida",2435541,"ACCEPTED","EXACT","Crocidura foetida",2435541,"Soricomorpha","Soricidae"
"Crocidura foxi","Crocidura foxi",2435614,"ACCEPTED","EXACT","Crocidura foxi",2435614,"Soricomorpha","Soricidae"
"Crocidura fuliginosa","Crocidura fuliginosa",2435562,"ACCEPTED","EXACT","Crocidura fuliginosa",2435562,"Soricomorpha","Soricidae"
"Crocidura fulvastra","Crocidura fulvastra",2435545,"ACCEPTED","EXACT","Crocidura fulvastra",2435545,"Soricomorpha","Soricidae"
"Crocidura fumosa","Crocidura fumosa",2435745,"ACCEPTED","EXACT","Crocidura fumosa",2435745,"Soricomorpha","Soricidae"
"Crocidura fuscomurina","Crocidura fuscomurina",2435727,"ACCEPTED","EXACT","Crocidura fuscomurina",2435727,"Soricomorpha","Soricidae"
"Crocidura glassi","Crocidura glassi",2435712,"ACCEPTED","EXACT","Crocidura glassi",2435712,"Soricomorpha","Soricidae"
"Crocidura gmelini","Crocidura gmelini",2435600,"ACCEPTED","EXACT","Crocidura gmelini",2435600,"Soricomorpha","Soricidae"
"Crocidura goliath","Crocidura goliath",2435696,"ACCEPTED","EXACT","Crocidura goliath",2435696,"Soricomorpha","Soricidae"
"Crocidura gracilipes","Crocidura gracilipes",2435679,"ACCEPTED","EXACT","Crocidura gracilipes",2435679,"Soricomorpha","Soricidae"
"Crocidura grandiceps","Crocidura grandiceps",2435664,"ACCEPTED","EXACT","Crocidura grandiceps",2435664,"Soricomorpha","Soricidae"
"Crocidura grandis","Crocidura grandis",2435642,"ACCEPTED","EXACT","Crocidura grandis",2435642,"Soricomorpha","Soricidae"
"Crocidura grassei","Crocidura grassei",2435625,"ACCEPTED","EXACT","Crocidura grassei",2435625,"Soricomorpha","Soricidae"
"Crocidura grayi","Crocidura grayi",2435578,"ACCEPTED","EXACT","Crocidura grayi",2435578,"Soricomorpha","Soricidae"
"Crocidura greenwoodi","Crocidura greenwoodi",2435539,"ACCEPTED","EXACT","Crocidura greenwoodi",2435539,"Soricomorpha","Soricidae"
"Crocidura harenna","Crocidura harenna",2435740,"ACCEPTED","EXACT","Crocidura harenna",2435740,"Soricomorpha","Soricidae"
"Crocidura hildegardeae","Crocidura hildegardeae",2435725,"ACCEPTED","EXACT","Crocidura hildegardeae",2435725,"Soricomorpha","Soricidae"
"Crocidura hilliana","Crocidura hilliana",2435627,"ACCEPTED","EXACT","Crocidura hilliana",2435627,"Soricomorpha","Soricidae"
"Crocidura hirta","Crocidura hirta",2435710,"ACCEPTED","EXACT","Crocidura hirta",2435710,"Soricomorpha","Soricidae"
"Crocidura hispida","Crocidura hispida",2435694,"ACCEPTED","EXACT","Crocidura hispida",2435694,"Soricomorpha","Soricidae"
"Crocidura horsfieldii","Crocidura horsfieldii",2435677,"ACCEPTED","EXACT","Crocidura horsfieldii",2435677,"Soricomorpha","Soricidae"
"Crocidura hutanis","Crocidura hutanis",2435666,"ACCEPTED","EXACT","Crocidura hutanis",2435666,"Soricomorpha","Soricidae"
"Crocidura ichnusae","Crocidura ichnusae",2435728,"ACCEPTED","EXACT","Crocidura ichnusae",2435728,"Soricomorpha","Soricidae"
"Crocidura indochinensis","Crocidura indochinensis",2435713,"ACCEPTED","EXACT","Crocidura indochinensis",2435713,"Soricomorpha","Soricidae"
"Crocidura jacksoni","Crocidura jacksoni",2435662,"ACCEPTED","EXACT","Crocidura jacksoni",2435662,"Soricomorpha","Soricidae"
"Crocidura jenkinsi","Crocidura jenkinsi",2435640,"ACCEPTED","EXACT","Crocidura jenkinsi",2435640,"Soricomorpha","Soricidae"
"Crocidura jouvenetae","Crocidura jouvenetae",2435601,"ACCEPTED","EXACT","Crocidura jouvenetae",2435601,"Soricomorpha","Soricidae"
"Crocidura katinka","Crocidura katinka",2435647,"ACCEPTED","EXACT","Crocidura katinka",2435647,"Soricomorpha","Soricidae"
"Crocidura kivuana","Crocidura kivuana",2435623,"ACCEPTED","EXACT","Crocidura kivuana",2435623,"Soricomorpha","Soricidae"
"Crocidura lamottei","Crocidura lamottei",2435574,"ACCEPTED","EXACT","Crocidura lamottei",2435574,"Soricomorpha","Soricidae"
"Crocidura lanosa","Crocidura lanosa",2435559,"ACCEPTED","EXACT","Crocidura lanosa",2435559,"Soricomorpha","Soricidae"
"Crocidura lasiura","Crocidura lasiura",2435538,"ACCEPTED","EXACT","Crocidura lasiura",2435538,"Soricomorpha","Soricidae"
"Crocidura latona","Crocidura latona",2435760,"ACCEPTED","EXACT","Crocidura latona",2435760,"Soricomorpha","Soricidae"
"Crocidura lea","Crocidura lea",2435738,"ACCEPTED","EXACT","Crocidura lea",2435738,"Soricomorpha","Soricidae"
"Crocidura lepidura","Crocidura lepidura",2435670,"ACCEPTED","EXACT","Crocidura lepidura",2435670,"Soricomorpha","Soricidae"
"Crocidura leucodon","Crocidura leucodon",2435723,"ACCEPTED","EXACT","Crocidura leucodon",2435723,"Soricomorpha","Soricidae"
"Crocidura levicula","Crocidura levicula",2435709,"ACCEPTED","EXACT","Crocidura levicula",2435709,"Soricomorpha","Soricidae"
"Crocidura littoralis","Crocidura littoralis",2435690,"ACCEPTED","EXACT","Crocidura littoralis",2435690,"Soricomorpha","Soricidae"
"Crocidura longipes","Crocidura longipes",2435673,"ACCEPTED","EXACT","Crocidura longipes",2435673,"Soricomorpha","Soricidae"
"Crocidura lucina","Crocidura lucina",2435620,"ACCEPTED","EXACT","Crocidura lucina",2435620,"Soricomorpha","Soricidae"
"Crocidura ludia","Crocidura ludia",2435608,"ACCEPTED","EXACT","Crocidura ludia",2435608,"Soricomorpha","Soricidae"
"Crocidura luna","Crocidura luna",2435572,"ACCEPTED","EXACT","Crocidura luna",2435572,"Soricomorpha","Soricidae"
"Crocidura lusitania","Crocidura lusitania",2435552,"ACCEPTED","EXACT","Crocidura lusitania",2435552,"Soricomorpha","Soricidae"
"Crocidura macarthuri","Crocidura macarthuri",2435535,"ACCEPTED","EXACT","Crocidura macarthuri",2435535,"Soricomorpha","Soricidae"
"Crocidura macmillani","Crocidura macmillani",2435756,"ACCEPTED","EXACT","Crocidura macmillani",2435756,"Soricomorpha","Soricidae"
"Crocidura macowi","Crocidura macowi",2435735,"ACCEPTED","EXACT","Crocidura macowi",2435735,"Soricomorpha","Soricidae"
"Crocidura malayana","Crocidura malayana",2435721,"ACCEPTED","EXACT","Crocidura malayana",2435721,"Soricomorpha","Soricidae"
"Crocidura manengubae","Crocidura manengubae",2435706,"ACCEPTED","EXACT","Crocidura manengubae",2435706,"Soricomorpha","Soricidae"
"Crocidura maquassiensis","Crocidura maquassiensis",2435686,"ACCEPTED","EXACT","Crocidura maquassiensis",2435686,"Soricomorpha","Soricidae"
"Crocidura mariquensis","Crocidura mariquensis",2435632,"ACCEPTED","EXACT","Crocidura mariquensis",2435632,"Soricomorpha","Soricidae"
"Crocidura maurisca","Crocidura maurisca",2435618,"ACCEPTED","EXACT","Crocidura maurisca",2435618,"Soricomorpha","Soricidae"
"Crocidura maxi","Crocidura maxi",2435604,"ACCEPTED","EXACT","Crocidura maxi",2435604,"Soricomorpha","Soricidae"
"Crocidura mindorus","Crocidura mindorus",2435568,"ACCEPTED","EXACT","Crocidura mindorus",2435568,"Soricomorpha","Soricidae"
"Crocidura miya","Crocidura miya",2435533,"ACCEPTED","EXACT","Crocidura miya",2435533,"Soricomorpha","Soricidae"
"Crocidura monax","Crocidura monax",2435748,"ACCEPTED","EXACT","Crocidura monax",2435748,"Soricomorpha","Soricidae"
"Crocidura monticola","Crocidura monticola",2435731,"ACCEPTED","EXACT","Crocidura monticola",2435731,"Soricomorpha","Soricidae"
"Crocidura montis","Crocidura montis",2435716,"ACCEPTED","EXACT","Crocidura montis",2435716,"Soricomorpha","Soricidae"
"Crocidura muricauda","Crocidura muricauda",2435682,"ACCEPTED","EXACT","Crocidura muricauda",2435682,"Soricomorpha","Soricidae"
"Crocidura musseri","Crocidura musseri",2435684,"ACCEPTED","EXACT","Crocidura musseri",2435684,"Soricomorpha","Soricidae"
"Crocidura mutesae","Crocidura mutesae",2435649,"ACCEPTED","EXACT","Crocidura mutesae",2435649,"Soricomorpha","Soricidae"
"Crocidura nana","Crocidura nana",2435629,"ACCEPTED","EXACT","Crocidura nana",2435629,"Soricomorpha","Soricidae"
"Crocidura nanilla","Crocidura nanilla",2435615,"ACCEPTED","EXACT","Crocidura nanilla",2435615,"Soricomorpha","Soricidae"
"Crocidura negligens","Crocidura negligens",2435705,"ACCEPTED","EXACT","Crocidura negligens",2435705,"Soricomorpha","Soricidae"
"Crocidura negrina","Crocidura negrina",2435565,"ACCEPTED","EXACT","Crocidura negrina",2435565,"Soricomorpha","Soricidae"
"Crocidura nicobarica","Crocidura nicobarica",2435546,"ACCEPTED","EXACT","Crocidura nicobarica",2435546,"Soricomorpha","Soricidae"
"Crocidura nigeriae","Crocidura nigeriae",2435530,"ACCEPTED","EXACT","Crocidura nigeriae",2435530,"Soricomorpha","Soricidae"
"Crocidura nigricans","Crocidura nigricans",2435746,"ACCEPTED","EXACT","Crocidura nigricans",2435746,"Soricomorpha","Soricidae"
"Crocidura nigripes","Crocidura nigripes",2435699,"ACCEPTED","EXACT","Crocidura nigripes",2435699,"Soricomorpha","Soricidae"
"Crocidura nigrofusca","Crocidura nigrofusca",2435680,"ACCEPTED","EXACT","Crocidura nigrofusca",2435680,"Soricomorpha","Soricidae"
"Crocidura nimbae","Crocidura nimbae",2435643,"ACCEPTED","EXACT","Crocidura nimbae",2435643,"Soricomorpha","Soricidae"
"Crocidura niobe","Crocidura niobe",2435626,"ACCEPTED","EXACT","Crocidura niobe",2435626,"Soricomorpha","Soricidae"
"Crocidura obscurior","Crocidura obscurior",2435613,"ACCEPTED","EXACT","Crocidura obscurior",2435613,"Soricomorpha","Soricidae"
"Crocidura olivieri","Crocidura olivieri",2435579,"ACCEPTED","EXACT","Crocidura olivieri",2435579,"Soricomorpha","Soricidae"
"Crocidura orientalis","Crocidura orientalis",2435718,"ACCEPTED","EXACT","Crocidura orientalis",2435718,"Soricomorpha","Soricidae"
"Crocidura orii","Crocidura orii",2435561,"ACCEPTED","EXACT","Crocidura orii",2435561,"Soricomorpha","Soricidae"
"Crocidura palawanensis","Crocidura palawanensis",2435529,"ACCEPTED","EXACT","Crocidura palawanensis",2435529,"Soricomorpha","Soricidae"
"Crocidura paradoxura","Crocidura paradoxura",2435726,"ACCEPTED","EXACT","Crocidura paradoxura",2435726,"Soricomorpha","Soricidae"
"Crocidura parvipes","Crocidura parvipes",2435711,"ACCEPTED","EXACT","Crocidura parvipes",2435711,"Soricomorpha","Soricidae"
"Crocidura pasha","Crocidura pasha",2435695,"ACCEPTED","EXACT","Crocidura pasha",2435695,"Soricomorpha","Soricidae"
"Crocidura pergrisea","Crocidura pergrisea",2435678,"ACCEPTED","EXACT","Crocidura pergrisea",2435678,"Soricomorpha","Soricidae"
"Crocidura phaeura","Crocidura phaeura",2435663,"ACCEPTED","EXACT","Crocidura phaeura",2435663,"Soricomorpha","Soricidae"
"Crocidura picea","Crocidura picea",2435641,"ACCEPTED","EXACT","Crocidura picea",2435641,"Soricomorpha","Soricidae"
"Crocidura pitmani","Crocidura pitmani",2435624,"ACCEPTED","EXACT","Crocidura pitmani",2435624,"Soricomorpha","Soricidae"
"Crocidura planiceps","Crocidura planiceps",2435611,"ACCEPTED","EXACT","Crocidura planiceps",2435611,"Soricomorpha","Soricidae"
"Crocidura poensis","Crocidura poensis",2435577,"ACCEPTED","EXACT","Crocidura poensis",2435577,"Soricomorpha","Soricidae"
"Crocidura polia","Crocidura polia",2435560,"ACCEPTED","EXACT","Crocidura polia",2435560,"Soricomorpha","Soricidae"
"Crocidura pullata","Crocidura pullata",2435761,"ACCEPTED","EXACT","Crocidura pullata",2435761,"Soricomorpha","Soricidae"
"Crocidura raineyi","Crocidura raineyi",2435739,"ACCEPTED","EXACT","Crocidura raineyi",2435739,"Soricomorpha","Soricidae"
"Crocidura ramona","Crocidura ramona",2435540,"ACCEPTED","EXACT","Crocidura ramona",2435540,"Soricomorpha","Soricidae"
"Crocidura rapax","Crocidura rapax",2435750,"ACCEPTED","EXACT","Crocidura rapax",2435750,"Soricomorpha","Soricidae"
"Crocidura religiosa","Crocidura religiosa",8934499,"ACCEPTED","EXACT","Crocidura religiosa",8934499,"Soricomorpha","Soricidae"
"Crocidura rhoditis","Crocidura rhoditis",2435691,"ACCEPTED","EXACT","Crocidura rhoditis",2435691,"Soricomorpha","Soricidae"
"Crocidura roosevelti","Crocidura roosevelti",2435674,"ACCEPTED","EXACT","Crocidura roosevelti",2435674,"Soricomorpha","Soricidae"
"Crocidura russula","Crocidura russula",2435654,"ACCEPTED","EXACT","Crocidura russula",2435654,"Soricomorpha","Soricidae"
"Crocidura selina","Crocidura selina",2435639,"ACCEPTED","EXACT","Crocidura selina",2435639,"Soricomorpha","Soricidae"
"Crocidura serezkyensis","Crocidura serezkyensis",2435621,"ACCEPTED","EXACT","Crocidura serezkyensis",2435621,"Soricomorpha","Soricidae"
"Crocidura shantungensis","Crocidura shantungensis",2435741,"ACCEPTED","EXACT","Crocidura shantungensis",2435741,"Soricomorpha","Soricidae"
"Crocidura sibirica","Crocidura sibirica",2435609,"ACCEPTED","EXACT","Crocidura sibirica",2435609,"Soricomorpha","Soricidae"
"Crocidura sicula","Crocidura sicula",2435553,"ACCEPTED","EXACT","Crocidura sicula",2435553,"Soricomorpha","Soricidae"
"Crocidura silacea","Crocidura silacea",2435536,"ACCEPTED","EXACT","Crocidura silacea",2435536,"Soricomorpha","Soricidae"
"Crocidura smithii","Crocidura smithii",2435757,"ACCEPTED","EXACT","Crocidura smithii",2435757,"Soricomorpha","Soricidae"
"Crocidura somalica","Crocidura somalica",2435736,"ACCEPTED","EXACT","Crocidura somalica",2435736,"Soricomorpha","Soricidae"
"Crocidura stenocephala","Crocidura stenocephala",2435707,"ACCEPTED","EXACT","Crocidura stenocephala",2435707,"Soricomorpha","Soricidae"
"Crocidura suaveolens","Crocidura suaveolens",2435687,"ACCEPTED","EXACT","Crocidura suaveolens",2435687,"Soricomorpha","Soricidae"
"Crocidura susiana","Crocidura susiana",2435672,"ACCEPTED","EXACT","Crocidura susiana",2435672,"Soricomorpha","Soricidae"
"Crocidura tanakae","Crocidura tanakae",2435550,"ACCEPTED","EXACT","Crocidura tanakae",2435550,"Soricomorpha","Soricidae"
"Crocidura tansaniana","Crocidura tansaniana",2435652,"ACCEPTED","EXACT","Crocidura tansaniana",2435652,"Soricomorpha","Soricidae"
"Crocidura tarella","Crocidura tarella",2435636,"ACCEPTED","EXACT","Crocidura tarella",2435636,"Soricomorpha","Soricidae"
"Crocidura tarfayensis","Crocidura tarfayensis",2435605,"ACCEPTED","EXACT","Crocidura tarfayensis",2435605,"Soricomorpha","Soricidae"
"Crocidura telfordi","Crocidura telfordi",2435569,"ACCEPTED","EXACT","Crocidura telfordi",2435569,"Soricomorpha","Soricidae"
"Crocidura tenuis","Crocidura tenuis",2435549,"ACCEPTED","EXACT","Crocidura tenuis",2435549,"Soricomorpha","Soricidae"
"Crocidura thalia","Crocidura thalia",2435534,"ACCEPTED","EXACT","Crocidura thalia",2435534,"Soricomorpha","Soricidae"
"Crocidura theresae","Crocidura theresae",2435749,"ACCEPTED","EXACT","Crocidura theresae",2435749,"Soricomorpha","Soricidae"
"Crocidura thomensis","Crocidura thomensis",2435717,"ACCEPTED","EXACT","Crocidura thomensis",2435717,"Soricomorpha","Soricidae"
"Crocidura trichura","Crocidura trichura",2435570,"ACCEPTED","EXACT","Crocidura trichura",2435570,"Soricomorpha","Soricidae"
"Crocidura turba","Crocidura turba",2435704,"ACCEPTED","EXACT","Crocidura turba",2435704,"Soricomorpha","Soricidae"
"Crocidura ultima","Crocidura ultima",2435683,"ACCEPTED","EXACT","Crocidura ultima",2435683,"Soricomorpha","Soricidae"
"Crocidura usambarae","Crocidura usambarae",2435669,"ACCEPTED","EXACT","Crocidura usambarae",2435669,"Soricomorpha","Soricidae"
"Crocidura viaria","Crocidura viaria",2435630,"ACCEPTED","EXACT","Crocidura viaria",2435630,"Soricomorpha","Soricidae"
"Crocidura virgata","Crocidura virgata",2435606,"ACCEPTED","EXACT","Crocidura virgata",2435606,"Soricomorpha","Soricidae"
"Crocidura voi","Crocidura voi",2435616,"ACCEPTED","EXACT","Crocidura voi",2435616,"Soricomorpha","Soricidae"
"Crocidura vorax","Crocidura vorax",2435637,"ACCEPTED","EXACT","Crocidura vorax",2435637,"Soricomorpha","Soricidae"
"Crocidura vosmaeri","Crocidura vosmaeri",2435675,"ACCEPTED","EXACT","Crocidura vosmaeri",2435675,"Soricomorpha","Soricidae"
"Crocidura watasei","Crocidura watasei",2435692,"ACCEPTED","EXACT","Crocidura watasei",2435692,"Soricomorpha","Soricidae"
"Crocidura whitakeri","Crocidura whitakeri",2435602,"ACCEPTED","EXACT","Crocidura whitakeri",2435602,"Soricomorpha","Soricidae"
"Crocidura wimmeri","Crocidura wimmeri",2435566,"ACCEPTED","EXACT","Crocidura wimmeri",2435566,"Soricomorpha","Soricidae"
"Crocidura wuchihensis","Crocidura wuchihensis",2435650,"ACCEPTED","EXACT","Crocidura wuchihensis",2435650,"Soricomorpha","Soricidae"
"Crocidura xantippe","Crocidura xantippe",2435547,"ACCEPTED","EXACT","Crocidura xantippe",2435547,"Soricomorpha","Soricidae"
"Crocidura yankariensis","Crocidura yankariensis",2435531,"ACCEPTED","EXACT","Crocidura yankariensis",2435531,"Soricomorpha","Soricidae"
"Crocidura zaphiri","Crocidura zaphiri",2435730,"ACCEPTED","EXACT","Crocidura zaphiri",2435730,"Soricomorpha","Soricidae"
"Crocidura zarudnyi","Crocidura zarudnyi",2435714,"ACCEPTED","EXACT","Crocidura zarudnyi",2435714,"Soricomorpha","Soricidae"
"Crocidura zimmeri","Crocidura zimmeri",2435702,"ACCEPTED","EXACT","Crocidura zimmeri",2435702,"Soricomorpha","Soricidae"
"Crocidura zimmermanni","Crocidura zimmermanni",2435665,"ACCEPTED","EXACT","Crocidura zimmermanni",2435665,"Soricomorpha","Soricidae"
"Crocuta crocuta","Crocuta crocuta",5218781,"ACCEPTED","EXACT","Crocuta crocuta",5218781,"Carnivora","Hyaenidae"
"Crossarchus alexandri","Crossarchus alexandri",5219136,"ACCEPTED","EXACT","Crossarchus alexandri",5219136,"Carnivora","Herpestidae"
"Crossarchus ansorgei","Crossarchus ansorgei",5219139,"ACCEPTED","EXACT","Crossarchus ansorgei",5219139,"Carnivora","Herpestidae"
"Crossarchus obscurus","Crossarchus obscurus",5219137,"ACCEPTED","EXACT","Crossarchus obscurus",5219137,"Carnivora","Herpestidae"
"Crossarchus platycephalus","Crossarchus platycephalus",5219138,"ACCEPTED","EXACT","Crossarchus platycephalus",5219138,"Carnivora","Herpestidae"
"Crossomys moncktoni","Crossomys moncktoni",2438683,"SYNONYM","EXACT","Paramelomys moncktoni",4264871,"Rodentia","Muridae"
"Crunomys celebensis","Crunomys celebensis",2438561,"ACCEPTED","EXACT","Crunomys celebensis",2438561,"Rodentia","Muridae"
"Crunomys fallax","Crunomys fallax",2438562,"ACCEPTED","EXACT","Crunomys fallax",2438562,"Rodentia","Muridae"
"Crunomys melanius","Crunomys melanius",2438560,"ACCEPTED","EXACT","Crunomys melanius",2438560,"Rodentia","Muridae"
"Crunomys suncoides","Crunomys suncoides",4264833,"ACCEPTED","EXACT","Crunomys suncoides",4264833,"Rodentia","Muridae"
"Cryptochloris wintoni","Cryptochloris wintoni",5218453,"ACCEPTED","EXACT","Cryptochloris wintoni",5218453,"Afrosoricida","Chrysochloridae"
"Cryptochloris zyli","Cryptochloris zyli",5218454,"ACCEPTED","EXACT","Cryptochloris zyli",5218454,"Afrosoricida","Chrysochloridae"
"Cryptomys amatus","Cryptomys amatus",4263045,"ACCEPTED","EXACT","Cryptomys amatus",4263045,"Rodentia","Bathyergidae"
"Cryptomys anselli","Cryptomys anselli",4263049,"ACCEPTED","EXACT","Cryptomys anselli",4263049,"Rodentia","Bathyergidae"
"Cryptomys bocagei","Cryptomys bocagei",2437216,"ACCEPTED","EXACT","Cryptomys bocagei",2437216,"Rodentia","Bathyergidae"
"Cryptomys damarensis","Cryptomys damarensis",2437214,"ACCEPTED","EXACT","Cryptomys damarensis",2437214,"Rodentia","Bathyergidae"
"Cryptomys darlingi","Cryptomys darlingi",4263050,"ACCEPTED","EXACT","Cryptomys darlingi",4263050,"Rodentia","Bathyergidae"
"Cryptomys foxi","Cryptomys foxi",2437218,"ACCEPTED","EXACT","Cryptomys foxi",2437218,"Rodentia","Bathyergidae"
"Cryptomys hottentotus","Cryptomys hottentotus",2437213,"ACCEPTED","EXACT","Cryptomys hottentotus",2437213,"Rodentia","Bathyergidae"
"Cryptomys kafuensis","Cryptomys kafuensis",4263052,"ACCEPTED","EXACT","Cryptomys kafuensis",4263052,"Rodentia","Bathyergidae"
"Cryptomys mechowi","Cryptomys mechowi",2437217,"ACCEPTED","EXACT","Cryptomys mechowi",2437217,"Rodentia","Bathyergidae"
"Cryptomys ochraceocinereus","Cryptomys ochraceocinereus",2437215,"ACCEPTED","EXACT","Cryptomys ochraceocinereus",2437215,"Rodentia","Bathyergidae"
"Cryptomys zechi","Cryptomys zechi",2437212,"ACCEPTED","EXACT","Cryptomys zechi",2437212,"Rodentia","Bathyergidae"
"Cryptoprocta ferox","Cryptoprocta ferox",2433516,"ACCEPTED","EXACT","Cryptoprocta ferox",2433516,"Carnivora","Eupleridae"
"Cryptotis alticola","Cryptotis alticola",5219500,"ACCEPTED","EXACT","Cryptotis alticola",5219500,"Soricomorpha","Soricidae"
"Cryptotis brachyonyx","Cryptotis brachyonyx",5219485,"ACCEPTED","EXACT","Cryptotis brachyonyx",5219485,"Soricomorpha","Soricidae"
"Cryptotis colombiana","Cryptotis colombiana",5219478,"ACCEPTED","EXACT","Cryptotis colombiana",5219478,"Soricomorpha","Soricidae"
"Cryptotis endersi","Cryptotis endersi",5219503,"ACCEPTED","EXACT","Cryptotis endersi",5219503,"Soricomorpha","Soricidae"
"Cryptotis equatoris","Cryptotis equatoris",5219501,"ACCEPTED","EXACT","Cryptotis equatoris",5219501,"Soricomorpha","Soricidae"
