"accepted_gbif_id","species","status","order","family","carnivore_vertebrate","carnivore_invertebrate","herbivore_plantseed","herbivore_fruitnect","omnivore","diet_invertebrate","diet_vertebrate_endo","diet_vertebrate_ecto","diet_vertebrate_fish","diet_vertebrate_unk","diet_scav","diet_fruit","diet_nect","diet_seed","diet_plant","diet_source","diet_certainty","bodymass_kg","bodymass_source","bodymass_speclevel","msw3_id","mswfamilylatin","forstrat_value","forstrat_certainty","forstrat_comment","activity_nocturnal","activity_crepuscular","activity_diurnal","activity_source","activity_certainty","specid","passnonpass","iocorder","blfamilylatin","blfamilyenglish","blfamsequid","taxo","english","diet_enteredby","forstrat_watbelowsurf","forstrat_wataroundsurf","forstrat_ground","forstrat_understory","forstrat_midhigh","forstrat_canopy","forstrat_aerial","pelagicspecialist","forstrat_source","forstrat_speclevel","forstrat_enteredby","bodymass_comment","record_comment"
4265093,"abrothrix_illuteus","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.04779,"Ref_58","1",1665,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265098,"abrothrix_jelskii","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_1","ABC",0.0345,"Ref_58","1",1664,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265095,"abrothrix_lanosus","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.02783,"Ref_58","1",1663,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265092,"abrothrix_longipilis","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.03886,"Ref_58","1",1662,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265097,"abrothrix_markhami","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.02903,"Ref_178","2",1661,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265094,"abrothrix_olivaceus","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.02452,"Ref_58","1",1660,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265091,"abrothrix_sanborni","ACCEPTED","Rodentia","Cricetidae",NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,"Ref_2","D1",0.0247,"Ref_58","1",1667,"Cricetidae","G","A",NA,1,1,1,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2482313,"aburria_aburri","ACCEPTED","Galliformes","Cracidae",NA,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,"Ref_2","A",1.40508,"Dunning08","1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,169,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows",8,"BL3","Wattled Guan","Jennifer",0,0,0,0,100,0,0,0,"Ref_2",1,"Jessica",NA,NA
5218704,"acerodon_celebensis","ACCEPTED","Chiroptera","Pteropodidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"Ref_1","ABC",0.39,"Ref_117","1",3667,"Pteropodidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218706,"acerodon_humilis","ACCEPTED","Chiroptera","Pteropodidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"Ref_1","ABC",0.46247,"Ref_178","2",3668,"Pteropodidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218703,"acerodon_jubatus","ACCEPTED","Chiroptera","Pteropodidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"Ref_1","ABC",1.075,"Ref_117","1",3669,"Pteropodidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5218707,"acerodon_leucotis","ACCEPTED","Chiroptera","Pteropodidae",NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,"Ref_2","D1",0.46247,"Ref_178","2",3670,"Pteropodidae","Ar","A",NA,1,0,0,"Ref_1","ABC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
