Herbivore species;Site;Season;Body weight (kg);C;N;P;C:N;C:P;N:P;feces_ID;unit
G;K;S;5;452.6503445;24.57550045;1.319254735;18.41876406;343.1106461;18.62832082;61;mg/g
G;K;S;5;261.6218671;10.25469511;1.835900416;25.51239841;142.5032997;5.585648882;62;mg/g
G;K;S;5;352.6086635;16.84900225;1.739227085;20.92756938;202.7387145;9.687637914;63;mg/g
G;K;S;5;342.7286413;17.22649726;2.855383813;19.89543412;120.0289221;6.032988342;64;mg/g
G;K;S;5;383.8773319;15.67318651;1.977100403;24.49261556;194.1617792;7.927359931;65;mg/g
HA;ZW;W;4;487.0471229;26.47468527;5.567692079;18.39671059;87.47738128;4.755055577;66;mg/g
HA;ZW;W;4;489.319448;20.81441639;1.620737788;23.5086797;301.911544;12.84255636;67;mg/g
HA;ZW;W;4;478.3771501;28.09866043;6.62376827;17.02490947;72.2212992;4.242095932;68;mg/g
HA;ZW;W;4;495.3639145;19.78905685;1.310219306;25.03221443;378.0770992;15.10362178;69;mg/g
HA;ZW;W;4;509.2931923;17.04218238;1.293520527;29.88427074;393.7264092;13.17503822;70;mg/g
HR;O;S;900;251.6905602;17.79821433;0.957052854;14.14133775;262.9850161;18.59689803;71;mg/g
HR;O;S;900;268.9479492;20.70860379;3.862029091;12.9872565;69.63902728;5.362104558;72;mg/g
HR;O;S;900;262.7307501;18.7834248;5.362541332;13.987372;48.99370165;3.502709562;73;mg/g
HR;O;S;900;239.4757078;15.80619333;5.232743751;15.15075153;45.76484521;3.020632021;74;mg/g
HR;O;S;900;237.136507;13.47739521;3.086564555;17.59512898;76.8286238;4.366471192;75;mg/g
HR;O;W;900;382.8656045;12.75113875;0.328833165;30.02599312;1164.315663;38.77692432;76;mg/g
HR;O;W;900;322.021643;14.80761103;1.954730619;21.74703551;164.7396525;7.575269394;77;mg/g
HR;O;W;900;347.618533;12.59963167;3.47550838;27.58957898;100.0194777;3.625262922;78;mg/g
HR;O;W;900;346.7438813;13.23656533;1.600637568;26.19591054;216.6286036;8.269558078;79;mg/g
HR;O;W;900;401.5499796;10.42282812;1.600016081;38.52600991;250.9662149;6.514202106;80;mg/g
KO;K;S;2;405.5811465;20.68787518;2.092427981;19.6047754;193.8327867;9.887018991;81;mg/g
KO;K;S;2;484.3112374;22.09840039;3.972598433;21.91612193;121.9129609;5.562706819;82;mg/g
KO;K;S;2;452.6524833;21.3229578;1.518030465;21.22840966;298.1840574;14.04646236;83;mg/g
KO;K;S;2;364.2584042;28.0391429;3.214758834;12.99106772;113.3081587;8.722005087;84;mg/g
KO;K;S;2;368.8454208;21.66466249;1.89394819;17.02520965;194.7494777;11.43888867;85;mg/g
KO;K;W;2;440.921329;16.35641253;1.34891655;26.95709271;326.8707237;12.1255926;86;mg/g
KO;K;W;2;435.5863814;18.56910103;0.740171846;23.45759123;588.4935826;25.08755382;87;mg/g
KO;K;W;2;446.0397281;15.60983234;0.99450398;28.57428052;448.504719;15.69609841;88;mg/g
KO;K;W;2;448.0860633;16.38726503;0.822423587;27.34355382;544.8361043;19.92557763;89;mg/g
KO;K;W;2;453.512698;18.35458257;1.611797665;24.70841798;281.3707377;11.38764683;90;mg/g
KO;K;W;2;477.8254604;16.54480428;0.692787368;28.88069586;689.7144528;23.88150397;91;mg/g
KO;K;W;2;491.8517633;17.70771927;0.694313585;27.77612157;708.4000284;25.50392165;92;mg/g
KO;K;W;2;403.4433807;15.07738197;1.162805008;26.7581853;346.9570375;12.96638892;93;mg/g
KO;K;W;2;390.8042708;14.94039275;1.328618116;26.15756342;294.1434157;11.24506174;94;mg/g
KO;K;W;2;393.12023;16.83476016;1.0156899;23.35169769;387.0474935;16.5747047;95;mg/g
KP;K;S;250;476.0011701;18.81056261;3.000761155;25.30499379;158.6268102;6.26859708;96;mg/g
KP;K;S;250;471.0382068;18.23831778;3.116159845;25.82684503;151.1598346;5.852818432;97;mg/g
KP;K;S;250;469.1599569;18.06883651;3.23430909;25.96514483;145.0572422;5.586614021;98;mg/g
KP;K;S;250;469.1396617;19.94498767;2.941341154;23.52168221;159.4985543;6.780916128;99;mg/g
KP;K;S;250;447.4884082;17.09625807;3.377354642;26.17464046;132.4967188;5.062026314;100;mg/g
KP;K;S;250;427.5103704;16.13932809;3.119140948;26.48873411;137.0602924;5.174286239;101;mg/g
KP;K;S;250;447.6460553;13.90067264;2.432828087;32.20319383;184.0023377;5.713791579;102;mg/g
KP;K;S;250;390.5020552;15.18445692;3.075013618;25.71722237;126.9919759;4.938012902;103;mg/g
KP;K;S;250;485.8559362;20.16407956;2.922689192;24.09512097;166.2359233;6.89915288;104;mg/g
KP;K;W;250;481.4264731;10.32882269;1.073671339;46.61000461;448.3927769;9.620097243;105;mg/g
KP;K;W;250;464.0197258;11.12347583;1.619903033;41.71535346;286.4490752;6.86675412;106;mg/g
KP;K;W;250;454.3376515;9.300116457;1.108686068;48.85289916;409.798287;8.388412848;107;mg/g
KP;K;W;250;476.711602;11.44658116;1.472503228;41.64663627;323.7423138;7.773552506;108;mg/g
KP;K;W;250;486.9690299;11.49865905;1.189775091;42.35007123;409.2950286;9.664565293;109;mg/g
KP;O;S;250;220.9982831;14.53712149;3.183100979;15.20234135;69.42861209;4.566968369;110;mg/g
KP;O;S;250;257.7974046;17.71143876;4.579317826;14.55541857;56.29602801;3.867702446;111;mg/g
KP;O;S;250;238.8101461;16.9014546;4.760638459;14.12956173;50.16347032;3.55024956;112;mg/g
KP;O;S;250;227.611668;14.96290061;3.801736149;15.21173427;59.87045366;3.935807227;113;mg/g
KP;O;S;250;258.910407;19.82341789;5.018966133;13.06083584;51.58640248;3.949701466;114;mg/g
KP;O;W;250;275.4830287;11.37726829;2.877562157;24.21345983;95.73486641;3.953787153;115;mg/g
KP;O;W;250;298.3251503;13.62312064;3.089226731;21.89844443;96.56952249;4.409880473;116;mg/g
KP;O;W;250;295.9547851;11.91872377;2.699768596;24.83108013;109.6222786;4.414720503;117;mg/g
KP;O;W;250;355.5305469;13.16378095;2.495139501;27.00823937;142.4892463;5.27576953;118;mg/g
KP;O;W;250;354.1784651;12.14567245;2.53990491;29.16087738;139.445561;4.78193983;119;mg/g
KP;ZW;S;250;477.860934;22.23640354;6.222511197;21.49002797;76.79551212;3.573541748;120;mg/g
KP;ZW;S;250;527.5919197;21.75555991;6.019782035;24.25090054;87.64302704;3.614011236;121;mg/g
KP;ZW;S;250;457.0259931;26.89772588;8.100469384;16.99125031;56.41969266;3.320514479;122;mg/g
KP;ZW;S;250;452.6876272;21.68010864;5.011726783;20.88032098;90.32567952;4.325876006;123;mg/g
KP;ZW;S;250;462.8973132;22.88376692;3.696091171;20.2281956;125.2396902;6.191342653;124;mg/g
KP;ZW;W;250;433.4135007;9.913142;2.289488643;43.72110283;189.3058094;4.329849825;125;mg/g
KP;ZW;W;250;459.4895547;10.82163187;2.962828554;42.46028328;155.0847598;3.652466442;126;mg/g
KP;ZW;W;250;446.1236483;9.628053603;2.098445306;46.33580853;212.5972247;4.588184203;127;mg/g
KP;ZW;W;250;439.6203786;10.71422044;3.10296572;41.03148531;141.6774848;3.452896811;128;mg/g
KP;ZW;W;250;436.5973138;11.39404273;2.99831661;38.31803376;145.6141464;3.800146618;129;mg/g
RE;ZW;S;23;488.7779164;42.36718042;11.52595637;11.536711;42.40671235;3.675806072;130;mg/g
RE;ZW;S;23;453.8520503;40.34749279;11.6723357;11.24858123;38.88271054;3.456676867;131;mg/g
RE;ZW;S;23;498.8258218;46.59523796;7.36201788;10.70551077;67.75667079;6.329139472;132;mg/g
RE;ZW;S;23;491.7005012;39.3727953;9.966774483;12.48833103;49.33396477;3.950404955;133;mg/g
RE;ZW;S;23;493.4929286;49.82492886;8.320508299;9.90453855;59.31043043;5.988207339;134;mg/g
RE;ZW;S;23;534.7063246;48.76289895;8.210363253;10.96543348;65.12578167;5.939188979;135;mg/g
RE;ZW;S;23;496.1128661;45.9330112;7.864914274;10.80079126;63.07924648;5.840243085;136;mg/g
RE;ZW;S;23;520.7191114;36.52192015;7.402545054;14.25771453;70.3432546;4.933697787;137;mg/g
RE;ZW;S;23;498.4747958;45.87803994;5.212316118;10.86521561;95.63402997;8.801852939;138;mg/g
RE;ZW;S;23;493.8695856;38.39402738;8.428066032;12.86318782;58.59821028;4.555496746;139;mg/g
RE;ZW;S;23;488.0887105;40.14294653;7.118022493;12.15876642;68.57083002;5.639620635;140;mg/g
RE;ZW;S;23;415.4339028;39.17454218;12.02198435;10.60469069;34.55618396;3.258575377;141;mg/g
RE;ZW;W;23;484.7494119;24.83125225;1.880193233;19.52174651;257.8189323;13.20675546;142;mg/g
RE;ZW;W;23;503.1998487;25.55195309;2.635340392;19.69320494;190.9430183;9.695883373;143;mg/g
RE;ZW;W;23;500.3719348;22.79581496;1.629361724;21.95016654;307.0969002;13.99064101;144;mg/g
RE;ZW;W;23;510.4997182;23.56402449;5.004200526;21.66436885;102.0142409;4.70884897;145;mg/g
RE;ZW;W;23;507.4094713;25.24081571;3.36746466;20.10273666;150.6799692;7.495495353;146;mg/g
RE;ZW;W;23;503.3410846;22.7256261;1.750613559;22.14861243;287.52267;12.98152067;147;mg/g
RE;ZW;W;23;518.2020189;23.74098015;3.038658359;21.82732202;170.5364531;7.812981041;148;mg/g
RE;ZW;W;23;516.5616707;24.42861229;2.928411916;21.14576401;176.3965199;8.341931734;149;mg/g
RE;ZW;W;23;511.7354281;21.17345321;3.023719123;24.16872784;169.2403981;7.002453715;150;mg/g
RE;ZW;W;23;519.8959475;21.50338655;4.949358905;24.17739858;105.0430889;4.344681193;151;mg/g
SC;ZW;S;50;439.2171577;26.60512429;3.157208294;16.50874294;139.1156733;8.426787785;152;mg/g
SC;ZW;S;50;507.1231551;46.0640341;3.426351498;11.00909126;148.0067516;13.44404803;153;mg/g
SC;ZW;S;50;430.2530289;41.21755875;3.538027386;10.43858593;121.608168;11.6498699;154;mg/g
SC;ZW;S;50;480.9322972;45.50194732;3.251189539;10.56948824;147.925026;13.99547666;155;mg/g
SC;ZW;S;50;460.3879295;40.06161533;2.410797315;11.49199616;190.9691564;16.61757921;156;mg/g
SC;ZW;W;50;509.1735026;17.77835744;1.810615248;28.64007568;281.2157377;9.818959309;157;mg/g
SC;ZW;W;50;516.2440933;18.49642617;3.601636278;27.91047787;143.3359877;5.135561935;158;mg/g
SC;ZW;W;50;527.4099946;17.75139153;2.261810121;29.71090991;233.180491;7.848312008;159;mg/g
SC;ZW;W;50;508.732464;19.53749805;1.304435871;26.03877234;390.0018969;14.97773749;160;mg/g
SC;ZW;W;50;486.6615974;19.20214081;1.899964417;25.34413231;256.1424799;10.10657918;161;mg/g
SC;ZW;W;50;482.3938933;17.83874009;3.219831028;27.04192621;149.81963;5.540272126;162;mg/g
SH;K;S;900;440.2333177;20.10821648;3.386596606;21.8932056;129.992842;5.937588328;163;mg/g
SH;K;S;900;431.1545162;25.83302195;1.613068391;16.69005342;267.2884291;16.01483365;164;mg/g
SH;K;S;900;447.4765669;25.12882173;1.89180959;17.80730397;236.533618;13.28295504;165;mg/g
SH;K;S;900;449.1421778;22.03890721;4.197450695;20.37951218;107.0035625;5.250545821;166;mg/g
SH;K;S;900;423.2372044;20.51785148;2.216650879;20.62775456;190.9354371;9.256239525;167;mg/g
SH;K;W;900;476.8937672;10.82270683;1.268244237;44.06418603;376.0267567;8.533614042;168;mg/g
SH;K;W;900;481.2001715;9.991838653;3.164710845;48.15932165;152.0518604;3.157267486;169;mg/g
SH;K;W;900;473.0136683;10.21285445;1.164553117;46.31552039;406.1761215;8.769762665;170;mg/g
SH;K;W;900;478.8700753;10.46812448;1.379138088;45.74554651;347.2241681;7.590338176;171;mg/g
SH;K;W;900;494.5719587;10.48346613;1.368849143;47.17637777;361.3049409;7.658598603;172;mg/g
SH;K;W;900;466.983081;9.888872262;1.803565444;47.22308759;258.9221714;5.48295727;173;mg/g
SH;K;W;900;490.4804803;11.99985818;1.540111237;40.87385642;318.4708146;7.791552902;174;mg/g
SP;K;S;250;469.2886228;16.18707278;5.130317703;28.9915681;91.47359871;3.155179409;175;mg/g
SP;K;S;250;472.7040013;13.68082057;4.927546171;34.55231352;95.93091266;2.776396221;176;mg/g
SP;K;S;250;481.3121446;15.00833718;4.03868634;32.06965162;119.1754209;3.716143298;177;mg/g
SP;K;S;250;496.5562565;17.79837549;6.323397033;27.8989651;78.52681936;2.814685745;178;mg/g
SP;K;S;250;501.7776276;17.49162644;4.455134646;28.68673359;112.6290601;3.926172344;179;mg/g
SP;K;W;250;477.9130986;8.693755549;1.03188539;54.97199638;463.1455229;8.425117395;180;mg/g
SP;K;W;250;137.90155;2.413732297;1.737780485;57.13208136;79.35498827;1.388974222;181;mg/g
SP;K;W;250;489.6699501;9.023173875;1.406070238;54.26803883;348.2542599;6.417299528;182;mg/g
SP;K;W;250;486.3853581;8.160861985;1.188495466;59.59975294;409.2446055;6.86654869;183;mg/g
SP;K;W;250;490.5698956;12.98097525;1.429690272;37.79145143;343.1301906;9.079571638;184;mg/g
SP;K;W;250;496.7759523;8.163007375;1.318744319;60.85697702;376.7037667;6.189984865;185;mg/g
SP;K;W;250;501.2105634;9.307538856;1.288897911;53.8499566;388.8675427;7.221315805;186;mg/g
