"reference_ID","first_author","reference_year","data_source","data_digitizer","data_checker","sample_type","body_part","food_ref","egestion_age","egestion_age_unit","bodymass_mean","bodymass_min","bodymass_max","bodymass_value_error","bodymass_error_type","bodymass_n_samples","bodymass_unit","bodymass_weight_type","age_mean","age_min","age_max","age_value_error","age_error_type","age_n_samples","age_unit","male_prop","sampling_year","sampling_month","sampling_day","sampling_season","sampling_location","sampling_latitude","sampling_longitude","location_in_reference","organism_name_ref","species_latin_name_ref","species_latin_name_gbif","gbif_id","gbif_id2","organism_stage","environment","temperature","food_ID","body_ID","feces_ID","urine_ID","nb_items_per_sample","nb_individuals_per_sample","individual_known","observation_resolution","observation_ID","animal_group_ID","times_series_ID","time_point","time_unit","repetition_ID","component_name","component_mean","component_min","component_max","component_value_error","component_error_type","component_n_samples","component_unit","component_weight_type","component_data_type","component_detail","component_extraction_method","component_measure_method","freezing","autoclaving","drying","oven","drying_time","drying_time_unit","drying_temp","drying_temp_unit","grinding","grinding_fineness","grinding_fineness_unit","comments"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",12,NA,NA,NA,NA,NA,"kg","ww",3,NA,NA,NA,NA,NA,"year",NA,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"dolichotis_patagonum","dolichotis_patagonum",2437619,2437619,NA,"zoo","12",NA,NA,160,NA,NA,NA,0,"population",882,NA,NA,NA,NA,NA,"Mg",2123,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2437619-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",12,NA,NA,NA,NA,NA,"kg","ww",3,NA,NA,NA,NA,NA,"year",NA,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"dolichotis_patagonum","dolichotis_patagonum",2437619,2437619,NA,"zoo","12",NA,NA,160,NA,NA,NA,0,"population",883,NA,NA,NA,NA,NA,"P",6106,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2437619-103-g1-1"
"1030_999","charberet",2020,823,"charberet",NA,"feces",NA,NA,NA,NA,220,NA,NA,NA,NA,NA,"kg","ww",NA,NA,NA,NA,NA,NA,NA,NA,2021,3,2,NA,"reserve_africaine_de_sigean",NA,NA,NA,NA,"hippotragus_equinus","hippotragus_equinus",2441030,2441030,"adult","zoo",NA,NA,NA,132,NA,NA,NA,0,"individual",884,NA,NA,NA,NA,NA,"K",1.4,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441030-823-i-1"
"1030_999","charberet",2020,823,"charberet",NA,"feces",NA,NA,NA,NA,220,NA,NA,NA,NA,NA,"kg","ww",NA,NA,NA,NA,NA,NA,NA,NA,2021,3,2,NA,"reserve_africaine_de_sigean",NA,NA,NA,NA,"hippotragus_equinus","hippotragus_equinus",2441030,2441030,"adult","zoo",NA,NA,NA,132,NA,NA,NA,0,"individual",885,NA,NA,NA,NA,NA,"Mg",5988,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441030-823-i-1"
"1030_999","charberet",2020,823,"charberet",NA,"feces",NA,NA,NA,NA,220,NA,NA,NA,NA,NA,"kg","ww",NA,NA,NA,NA,NA,NA,NA,NA,2021,3,2,NA,"reserve_africaine_de_sigean",NA,NA,NA,NA,"hippotragus_equinus","hippotragus_equinus",2441030,2441030,"adult","zoo",NA,NA,NA,132,NA,NA,NA,0,"individual",886,NA,NA,NA,NA,NA,"P",3456,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2441030-823-i-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"macropus_rufogriseus","macropus_rufogriseus",2440196,2440196,NA,"zoo","12",NA,NA,152,NA,NA,NA,0,"population",887,NA,NA,NA,NA,NA,"K",1,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440196-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"macropus_rufogriseus","macropus_rufogriseus",2440196,2440196,NA,"zoo","12",NA,NA,152,NA,NA,NA,0,"population",888,NA,NA,NA,NA,NA,"Mg",2609,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440196-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"macropus_rufogriseus","macropus_rufogriseus",2440196,2440196,NA,"zoo","12",NA,NA,152,NA,NA,NA,0,"population",889,NA,NA,NA,NA,NA,"P",8303,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440196-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",250,NA,NA,NA,NA,NA,"kg","ww",9,NA,NA,NA,NA,NA,"year",0.33,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"tapirus_terrestris","tapirus_terrestris",2440898,2440898,NA,"zoo","12",NA,NA,172,NA,NA,2,1,"population",890,NA,NA,NA,NA,NA,"K",1.42,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440898-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",250,NA,NA,NA,NA,NA,"kg","ww",9,NA,NA,NA,NA,NA,"year",0.33,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"tapirus_terrestris","tapirus_terrestris",2440898,2440898,NA,"zoo","12",NA,NA,172,NA,NA,2,1,"population",891,NA,NA,NA,NA,NA,"Mg",2117,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440898-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24","hour",250,NA,NA,NA,NA,NA,"kg","ww",9,NA,NA,NA,NA,NA,"year",0.33,2021,1,27,NA,"zoo_african_safari",NA,NA,NA,NA,"tapirus_terrestris","tapirus_terrestris",2440898,2440898,NA,"zoo","12",NA,NA,172,NA,NA,2,1,"population",892,NA,NA,NA,NA,NA,"P",8315,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2440898-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24",NA,4,NA,NA,NA,NA,NA,"kg","ww",14,NA,NA,NA,NA,NA,"year",1,2021,1,25,NA,"zoo_african_safari",NA,NA,NA,NA,"sapajus_xanthosternos","sapajus_xanthosternos",7549160,7549160,NA,"zoo","25",NA,NA,166,NA,NA,4,0,"population",893,NA,NA,NA,NA,NA,"K",1.41,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7549160-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24",NA,4,NA,NA,NA,NA,NA,"kg","ww",14,NA,NA,NA,NA,NA,"year",1,2021,1,25,NA,"zoo_african_safari",NA,NA,NA,NA,"sapajus_xanthosternos","sapajus_xanthosternos",7549160,7549160,NA,"zoo","25",NA,NA,166,NA,NA,4,0,"population",894,NA,NA,NA,NA,NA,"Mg",2302,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7549160-103-g1-1"
"1030_999","charberet",2020,103,"charberet",NA,"feces",NA,NA,"<24",NA,4,NA,NA,NA,NA,NA,"kg","ww",14,NA,NA,NA,NA,NA,"year",1,2021,1,25,NA,"zoo_african_safari",NA,NA,NA,NA,"sapajus_xanthosternos","sapajus_xanthosternos",7549160,7549160,NA,"zoo","25",NA,NA,166,NA,NA,4,0,"population",895,NA,NA,NA,NA,NA,"P",1296,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-7549160-103-g1-1"
"1030_999","charberet",2020,800,"charberet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timon_lepidus","timon_lepidus",2468542,2468542,NA,"zoo",NA,NA,NA,196,NA,NA,NA,NA,"population",896,NA,NA,NA,NA,NA,"K",1.16,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2468542-800-g1-1"
"1030_999","charberet",2020,800,"charberet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timon_lepidus","timon_lepidus",2468542,2468542,NA,"zoo",NA,NA,NA,196,NA,NA,NA,NA,"population",897,NA,NA,NA,NA,NA,"Mg",1959,NA,NA,NA,NA,1,"mg/kg","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2468542-800-g1-1"
"1030_999","charberet",2020,800,"charberet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timon_lepidus","timon_lepidus",2468542,2468542,NA,"zoo",NA,NA,NA,196,NA,NA,NA,NA,"population",898,NA,NA,NA,NA,NA,"P",3.77,NA,NA,NA,NA,1,"%","dw","stock",NA,NA,"icp",1,1,1,1,48,"hour",60,"c",1,80,"µm","F-2468542-800-g1-1"
