Species;C (mg/g);N (mg/g);P (mg/g);date;day;month;year;data;location;period;feces_ID
Reedbuck;374.6;18.82;4.19;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;63
Reedbuck;377.6;18.18;3.89;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;64
Reedbuck;376.5;18.43;4.24;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;65
Reedbuck;395.6;19.73;4.07;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;66
Reedbuck;378.3;18.94;4.26;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;67
Reedbuck;376.8;18.47;3.99;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;68
Reedbuck;385.3;18.22;4.26;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;69
Reedbuck;390.7;18.86;4.07;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;70
Waterbuck;378.8;8.58;2.09;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;71
Waterbuck;384.3;16.35;3.34;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;72
Waterbuck;362.3;20.75;2.78;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;73
Waterbuck;380.7;15.93;3.78;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;74
Waterbuck;377.2;16.71;3.00;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;75
Waterbuck;379.9;15.23;3.62;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;76
Waterbuck;384.3;16.91;2.61;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;77
Waterbuck;379.6;17.10;2.74;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;78
Waterbuck;373.9;15.74;2.98;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;79
Waterbuck;378.2;16.39;3.66;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;80
Wildebeest;323.9;15.83;2.81;mardi 31 janvier 2006;31;1;2006;DBP1;SA;dry;81
