"","Species","date","day","month","year","data","location","period","feces_ID","component_name","component_mean"
"64","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",25,"N",18.22
"65","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",25,"P",4.26
"66","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",26,"C",377.6
"67","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",26,"N",18.18
"68","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",26,"P",3.89
"69","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",27,"C",376.5
"70","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",27,"N",18.43
"71","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",27,"P",4.24
"72","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",28,"C",378.3
"73","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",28,"N",18.94
"74","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",28,"P",4.26
"75","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",29,"C",376.8
"76","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",29,"N",18.47
"77","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",29,"P",3.99
"78","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",30,"C",390.7
"79","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",30,"N",18.86
"80","Reedbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",30,"P",4.07
"81","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",31,"C",362.3
"82","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",31,"N",20.75
"83","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",31,"P",2.78
"84","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",32,"C",377.2
"85","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",32,"N",16.71
"86","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",32,"P",3
"87","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",33,"C",384.3
"88","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",33,"N",16.91
"89","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",33,"P",2.61
"90","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",34,"C",379.6
"91","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",34,"N",17.1
"92","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",34,"P",2.74
"93","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",35,"C",373.9
"94","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",35,"N",15.74
"95","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",35,"P",2.98
"96","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",36,"C",378.8
"97","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",36,"N",8.58
"98","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",36,"P",2.09
"99","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",37,"C",384.3
"100","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",37,"N",16.35
"101","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",37,"P",3.34
"102","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",38,"C",380.7
"103","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",38,"N",15.93
"104","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",38,"P",3.78
"105","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",39,"C",379.9
"106","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",39,"N",15.23
"107","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",39,"P",3.62
"108","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",40,"C",378.2
"109","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",40,"N",16.39
"110","Waterbuck","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",40,"P",3.66
"111","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",41,"C",323.9
"112","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",41,"N",15.83
"113","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",41,"P",2.81
"114","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",42,"C",346.7
"115","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",42,"N",14.86
"116","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",42,"P",2.45
"117","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",43,"C",339.4
"118","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",43,"N",15.02
"119","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",43,"P",2.17
"120","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",44,"C",344.3
"121","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",44,"N",14.31
"122","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",44,"P",2.28
"123","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",45,"C",332.4
"124","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",45,"N",16.34
"125","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",45,"P",3.45
"126","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",46,"C",338.5
"127","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",46,"N",15.93
"128","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",46,"P",2.35
"129","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",47,"C",339.5
"130","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",47,"N",16.75
"131","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",47,"P",2.29
"132","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",48,"C",341.9
"133","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",48,"N",19.09
"134","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",48,"P",2.39
"135","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",49,"C",337.8
"136","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",49,"N",15.94
"137","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",49,"P",2.26
"138","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",50,"C",341.9
"139","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",50,"N",17.56
"140","Wildebeest","samedi 31 décembre 2005",31,12,2005,"DDE2","SA","wet",50,"P",2.54
"141","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",51,"C",449.2
"142","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",51,"N",40.47
"143","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",51,"P",4.26
"144","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",52,"C",449.4
"145","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",52,"N",41.75
"146","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",52,"P",3.99
"147","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",53,"C",452.9
"148","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",53,"N",29.49
"149","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",53,"P",2.92
"150","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",54,"C",452.4
"151","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",54,"N",34.77
"152","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",54,"P",3.62
"153","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",55,"C",451.3
"154","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",55,"N",21.57
"155","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",55,"P",2.18
"156","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",56,"C",451.7
"157","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",56,"N",36.55
"158","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",56,"P",3.59
"159","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",57,"C",461.9
"160","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",57,"N",30.82
"161","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",57,"P",3.57
"162","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",58,"C",454.4
"163","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",58,"N",42.08
"164","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",58,"P",3.94
"165","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",59,"C",452.9
"166","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",59,"N",31.59
"167","Giraffe","mardi 31 janvier 2006",31,1,2006,"DBP1","SA","dry",59,"P",3.51
