Visibility,Source ID,Locality ID,Traits ID,Genus,Species,Morphospecies,Contributor,Latitude,Longitude,Caste,N,Head width across eyes (mm),Head length (mm),Clypeus length (mm),Mandible length (mm),Hind femur length (mm),Scape length (mm),Weber's length (mm),Pronotum width (mm),Inter-ocular width (mm),Max eye width (mm),Whole body length (mm),Sculpturing,Pilosity (#),Number of Spines (#),Dominant colour head (Fig. 16),Dominant colour mesosoma (Fig. 16),Dominant colour gaster (Fig. 16),Polymorphism,Queen number,Worker number (#),Colony type,Colony founding,Nest Site,Activity,Diet,Notes
Public,Donoso_2014,,Donoso_2014_traits_0,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.24,0.95,Not in paper,Not in paper,Not in paper,Not in paper,1.52,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),SeAmMean
Public,Donoso_2014,,Donoso_2014_traits_1,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.13,1,0.28,0.69,1.23,0.63,1.55,0.83,1,0.13,4.75,Not in paper,50,0,21,21,21,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11542
Public,Donoso_2014,,Donoso_2014_traits_2,Sericomyrmex,amabilis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.1,1.06,0.25,0.29,1.23,0.8,1.4,0.83,0.94,0.14,4.25,Not in paper,50,0,21,21,21,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11425
Public,Donoso_2014,,Donoso_2014_traits_43,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.72,0.69,Not in paper,Not in paper,Not in paper,Not in paper,0.98,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),3067
Public,Donoso_2014,,Donoso_2014_traits_44,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.8,0.8,Not in paper,Not in paper,0.95,Not in paper,1.1,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),11532
Public,Donoso_2014,,Donoso_2014_traits_45,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.73,0.68,0.28,0.46,0.86,0.58,1.02,0.5,0.56,0.14,3.25,3,3,0,9,9,9,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),8811
Public,Donoso_2014,,Donoso_2014_traits_46,Trachymyrmex,bugnioni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.81,0.78,Not in paper,Not in paper,1,Not in paper,1.17,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175793a
Public,Donoso_2014,,Donoso_2014_traits_53,Trachymyrmex,cornetzi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.86,0.78,0.26,0.56,1.04,0.72,1.18,0.56,0.7,0.14,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175793
Public,Donoso_2014,,Donoso_2014_traits_54,Cyphomyrmex,costatus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.48,0.48,Not in paper,Not in paper,Not in paper,Not in paper,0.63,Not in paper,Not in paper,Not in paper,Not in paper,3,0,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),10040
Public,Donoso_2014,,Donoso_2014_traits_118,Trachymyrmex,iisthmica,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.44,1.15,0.41,1,0.75,0.75,2,0.93,1.15,0.18,5.4,3,46,8,21,21,20,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),8693
Public,Donoso_2014,,Donoso_2014_traits_119,Trachymyrmex,iisthmica,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.45,1.48,0.4,0.88,1.95,0.28,1.75,0.83,1.2,0.16,5.73,3,29,8,22,22,22,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),16323a
Public,Donoso_2014,,Donoso_2014_traits_135,Trachymyrmex,isthmica,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.51,1.24,Not in paper,Not in paper,Not in paper,Not in paper,2.04,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),8617
Public,Donoso_2014,,Donoso_2014_traits_150,Myrmicocrypta,mek1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.61,0.64,Not in paper,Not in paper,Not in paper,Not in paper,0.86,Not in paper,Not in paper,Not in paper,Not in paper,2,1,2,10,10,10,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),10115
Public,Donoso_2014,,Donoso_2014_traits_152,Trachymyrmex,mek1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.81,0.81,0.25,0.5,1.13,0.75,1.06,0.5,0.69,0.13,4.06,3,11,8,18,18,18,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),2153
Public,Donoso_2014,,Donoso_2014_traits_174,Apterostigma,pilosum,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.69,0.84,Not in paper,Not in paper,Not in paper,Not in paper,1.22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),203648
Public,Donoso_2014,,Donoso_2014_traits_176,Cyphomyrmex,rimosus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.5,0.5,Not in paper,Not in paper,Not in paper,Not in paper,0.67,Not in paper,Not in paper,Not in paper,Not in paper,1,0,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),10461
Public,Donoso_2014,,Donoso_2014_traits_219,Trachymyrmex,zeteki,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.03,0.95,Not in paper,Not in paper,Not in paper,Not in paper,1.55,Not in paper,Not in paper,Not in paper,Not in paper,2,12,16,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),188359b
Public,Donoso_2014,,Donoso_2014_traits_220,Trachymyrmex,zeteki,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.1,1.02,0.42,0.8,0.8,1,1.58,0.3,0.92,0.18,5,2,12,16,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175791a
Public,Donoso_2014,,Donoso_2014_traits_221,Trachymyrmex,zeteki,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.15,1.03,0.43,0.88,1.63,1.03,1.65,0.73,1,0.18,5.1,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Fungivore (7),175791b
Public,Baccaro_noyear,,Baccaro_noyear_traits_93,Acromyrmex,aspersus,False,"Baccaro, Fabricio",Not in paper,Not in paper,Worker,1,1.48,1.26,0.44,0.95,2.16,1.6,1.9,0.81,1.29,0.22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Fungivore (7),Not in paper
Public,Baccaro_noyear,,Baccaro_noyear_traits_104,Acromyrmex,crassispinus,False,"Baccaro, Fabricio",Not in paper,Not in paper,Worker,1,1.92,1.42,0.54,1.23,2.46,1.73,2.31,1.15,1.58,0.23,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Fungivore (7),Not in paper
Public,Baccaro_noyear,,Baccaro_noyear_traits_106,Acromyrmex,disciger,False,"Baccaro, Fabricio",Not in paper,Not in paper,Worker,1,1.54,1.15,0.42,1,2.19,1.58,2.12,0.92,1.39,0.23,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Fungivore (7),Not in paper
Public,Donoso_2014,,Donoso_2014_traits_3,Pheidole,angulifera,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.42,0.44,Not in paper,Not in paper,0.34,Not in paper,0.46,Not in paper,Not in paper,0.06,Not in paper,3,4,2,21,22,21,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),20826a
Public,Donoso_2014,,Donoso_2014_traits_4,Solenopsis,antcnp_sp1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.25,0.3,Not in paper,Not in paper,Not in paper,Not in paper,0.3,Not in paper,Not in paper,Not in paper,Not in paper,2,4,0,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),10568
Public,Donoso_2014,,Donoso_2014_traits_5,Solenopsis,antcnp_sp1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.26,0.34,0.1,0.16,0.2,0.24,0.36,0.18,0.26,0.02,1.1,1,4,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),24342_1
Public,Donoso_2014,,Donoso_2014_traits_6,Solenopsis,antcnp_sp1,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.28,0.32,0.08,0.14,0.22,0.2,0.32,0.18,0.26,0.02,1.16,1,4,0,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),24342_2
Public,Donoso_2014,,Donoso_2014_traits_7,Crematogaster,antcnp_sp11,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.55,0.51,Not in paper,Not in paper,0.41,Not in paper,0.55,Not in paper,Not in paper,0.12,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),26863
Public,Donoso_2014,,Donoso_2014_traits_8,Crematogaster,antcnp_sp11,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.58,0.56,Not in paper,Not in paper,0.43,Not in paper,0.58,Not in paper,Not in paper,0.14,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),104544
Public,Donoso_2014,,Donoso_2014_traits_9,Hypoponera,antcnp_sp2,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.48,0.52,Not in paper,Not in paper,Not in paper,Not in paper,0.71,Not in paper,Not in paper,Not in paper,Not in paper,1,6,0,10,10,10,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9914
Public,Donoso_2014,,Donoso_2014_traits_10,Rogeria,antcnp_sp2,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.46,0.5,Not in paper,Not in paper,0.35,Not in paper,0.56,Not in paper,Not in paper,0.08,Not in paper,3,10,2,21,21,20,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),26846b
Public,Donoso_2014,,Donoso_2014_traits_18,Rogeria,antcnp_sp3,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.43,0.48,Not in paper,Not in paper,0.3,Not in paper,0.55,Not in paper,Not in paper,0.06,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),12053a
Public,Donoso_2014,,Donoso_2014_traits_19,Rogeria,antcnp_sp3,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.42,0.51,Not in paper,Not in paper,0.31,Not in paper,0.55,Not in paper,Not in paper,0.06,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),12053c
Public,Donoso_2014,,Donoso_2014_traits_20,Rogeria,antcnp_sp3,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.43,0.5,0.04,0.25,0.31,0.31,0.54,0.33,0.05,0.4,2,3,16,2,17,17,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),12070
Public,Donoso_2014,,Donoso_2014_traits_21,Solenopsis,antcnp_sp3,True,"Donoso, David",Not in paper,Not in paper,Worker,1,0.3,0.35,Not in paper,Not in paper,Not in paper,Not in paper,0.38,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11241
Public,Donoso_2014,,Donoso_2014_traits_24,Aphaenogaster,aranoides,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.12,1.79,Not in paper,Not in paper,2.46,Not in paper,2.66,Not in paper,Not in paper,0.38,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),8726
Public,Donoso_2014,,Donoso_2014_traits_25,Aphaenogaster,aranoides,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.22,1.44,0.42,0.9,3.5,2.8,2.65,0.92,0.74,0.38,8.25,2,25,0,9,9,9,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),8726
Public,Donoso_2014,,Donoso_2014_traits_26,Aphaenogaster,aranoides,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.05,1.7,Not in paper,Not in paper,2.21,Not in paper,2.5,Not in paper,Not in paper,0.35,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),14252
Public,Donoso_2014,,Donoso_2014_traits_27,Aphaenogaster,aranoides,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.13,1.88,Not in paper,Not in paper,2.4,Not in paper,2.65,Not in paper,Not in paper,0.38,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),AG9
Public,Donoso_2014,,Donoso_2014_traits_28,Cephalotes,atratus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,3.86,2.73,Not in paper,Not in paper,Not in paper,Not in paper,4.43,Not in paper,Not in paper,Not in paper,Not in paper,2,0,4,1,1,1,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),172079
Public,Donoso_2014,,Donoso_2014_traits_34,Dolichoderus,bispinosus,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.36,1.51,Not in paper,Not in paper,Not in paper,Not in paper,1.67,Not in paper,Not in paper,Not in paper,Not in paper,2,27,4,1,1,8,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Aboreal (5),Diurnal (1),Generalist (2),10466
Public,Donoso_2014,,Donoso_2014_traits_40,Crematogaster,brasiliensis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.69,0.58,Not in paper,Not in paper,Not in paper,Not in paper,0.69,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),8604
Public,Donoso_2014,,Donoso_2014_traits_41,Crematogaster,brasiliensis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.5,0.48,Not in paper,Not in paper,Not in paper,Not in paper,0.52,Not in paper,Not in paper,Not in paper,Not in paper,1,4,2,8,8,8,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),175628
Public,Donoso_2014,,Donoso_2014_traits_47,Pheidole,cocciphaga,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.56,0.6,0.14,0.36,0.88,0.84,0.84,0.36,0.36,0.16,2.5,2,8,2,24,24,24,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),008423_1
Public,Donoso_2014,,Donoso_2014_traits_48,Pheidole,cocciphaga,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.56,0.62,0.16,0.36,0.88,0.88,0.86,0.36,0.4,0.16,2.5,2,7,2,24,24,24,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),008423_2
Public,Donoso_2014,,Donoso_2014_traits_55,Rogeria,creightoni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.44,0.54,0.1,0.26,0.32,0.3,0.62,0.3,0.4,0.06,2,2,3,2,19,19,19,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),100631
Public,Donoso_2014,,Donoso_2014_traits_56,Rogeria,creightoni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.39,0.48,Not in paper,Not in paper,Not in paper,Not in paper,0.5,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),mek1
Public,Donoso_2014,,Donoso_2014_traits_57,Rogeria,creightoni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.4,0.5,Not in paper,Not in paper,Not in paper,Not in paper,0.5,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),mek2
Public,Donoso_2014,,Donoso_2014_traits_58,Rogeria,creightoni,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.43,0.52,Not in paper,Not in paper,Not in paper,Not in paper,0.52,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),mek3
Public,Donoso_2014,,Donoso_2014_traits_59,Gnamptogenys,curvoclypeata,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.28,1.28,Not in paper,Not in paper,1.29,Not in paper,1.75,Not in paper,Not in paper,0.3,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11666
Public,Donoso_2014,,Donoso_2014_traits_60,Gnamptogenys,curvoclypeata,False,"Donoso, David",Not in paper,Not in paper,Worker,1,1.25,1.2,Not in paper,Not in paper,1.24,Not in paper,1.75,Not in paper,Not in paper,0.29,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),6150a
Public,Donoso_2014,,Donoso_2014_traits_61,Pheidole,dasypyx,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.54,0.5,0.16,0.32,0.66,0.68,0.68,0.28,0.46,0.1,1.9,2,3,2,9,9,9,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),176387
Public,Donoso_2014,,Donoso_2014_traits_62,Pheidole,dasypyx,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.5,Not in paper,Not in paper,Not in paper,Not in paper,0.53,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),PhdMean
Public,Donoso_2014,,Donoso_2014_traits_73,Megalomyrmex,drifti,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.4,0.49,Not in paper,0.27,0.36,0.38,0.67,0.33,Not in paper,0.14,Not in paper,1,1,0,24,24,24,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),2020
Public,Donoso_2014,,Donoso_2014_traits_84,Rogeria,foreli,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.48,0.54,0.14,0.24,0.44,0.38,0.62,0.34,0.44,0.06,2.2,3,0,2,20,20,17,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),14856
Public,Donoso_2014,,Donoso_2014_traits_85,Rogeria,foreli,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.5,0.62,Not in paper,Not in paper,Not in paper,Not in paper,0.64,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),Not in paper
Public,Donoso_2014,,Donoso_2014_traits_98,Pheidole,glomericeps,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.42,0.42,0.12,0.26,0.4,0.4,0.46,0.22,0.36,0.06,1.4,2,4,2,9,9,17,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),101200
Public,Donoso_2014,,Donoso_2014_traits_99,Nylanderia,guatemalensis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.48,0.5,Not in paper,Not in paper,Not in paper,Not in paper,0.76,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),100500
Public,Donoso_2014,,Donoso_2014_traits_100,Nylanderia,guatemalensis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.46,0.46,Not in paper,Not in paper,Not in paper,Not in paper,0.71,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),100581
Public,Donoso_2014,,Donoso_2014_traits_101,Nylanderia,guatemalensis,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.43,0.48,Not in paper,Not in paper,Not in paper,Not in paper,0.68,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),NgMean
Public,Donoso_2014,,Donoso_2014_traits_105,Pheidole,harrisonfordi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.4,0.4,0.14,0.26,0.3,0.34,0.44,0.24,0.32,0.08,1.5,2,5,2,9,9,9,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11012
Public,Donoso_2014,,Donoso_2014_traits_106,Pheidole,harrisonfordi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.42,0.42,0.12,0.28,0.42,0.36,0.48,0.26,0.34,0.09,1.6,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11028
Public,Donoso_2014,,Donoso_2014_traits_107,Pheidole,harrisonfordi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.38,0.38,0.1,0.22,0.3,0.28,0.4,0.24,0.3,0.07,1.6,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),11352
Public,Donoso_2014,,Donoso_2014_traits_108,Pheidole,harrisonfordi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.42,0.44,0.14,0.28,0.36,0.34,0.46,0.26,0.32,0.09,1.6,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),12008
Public,Donoso_2014,,Donoso_2014_traits_109,Pheidole,harrisonfordi,False,"Donoso, David",Not in paper,Not in paper,Worker,1,Not in paper,0.42,Not in paper,Not in paper,Not in paper,Not in paper,0.44,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Dimorphic (2),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),PhhMean
Public,Donoso_2014,,Donoso_2014_traits_110,Gnamptogenys,hartmani,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.88,0.83,Not in paper,Not in paper,0.84,Not in paper,1.28,Not in paper,Not in paper,0.22,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),26836
Public,Donoso_2014,,Donoso_2014_traits_111,Gnamptogenys,hartmani,False,"Donoso, David",Not in paper,Not in paper,Worker,1,0.77,0.77,Not in paper,Not in paper,0.68,Not in paper,1.13,Not in paper,Not in paper,0.19,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Not in paper,Monomorphic (1),Monogyny (1),Not in paper,Monodomous (1),Not in paper,Litter (6),Diurnal (1),Generalist (2),9478a
